Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Blanchette,Hélène Chalifour Scherrer,Roger Clavet,Francis Fortin,Luc Harvey,Robert Hudon,Stefan Jetchick,Frédérick Têtu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Louis-Hébert/Louis-Hébert"," 1","Sainte-Foy",Merged with No. 1-1B/Fusionné avec le nº 1-1B,,,,,,,,,,55
"Louis-Hébert/Louis-Hébert"," 1-1A","Sainte-Foy",12,23,46,7,89,5,1,5,3,191,371
"Louis-Hébert/Louis-Hébert"," 1-1B","Sainte-Foy",8,19,48,6,80,5,0,4,1,171,325
"Louis-Hébert/Louis-Hébert"," 2","Sainte-Foy",11,8,44,3,79,3,0,2,2,152,371
"Louis-Hébert/Louis-Hébert"," 3","Sainte-Foy",10,12,60,4,139,6,1,2,5,239,457
"Louis-Hébert/Louis-Hébert"," 4","Sainte-Foy",17,15,43,3,82,9,0,1,0,170,292
"Louis-Hébert/Louis-Hébert"," 5","Sainte-Foy",20,17,70,3,110,4,1,8,3,236,414
"Louis-Hébert/Louis-Hébert"," 6","Sainte-Foy",5,18,71,5,93,1,0,6,0,199,327
"Louis-Hébert/Louis-Hébert"," 7","Sainte-Foy",18,13,37,5,114,5,0,10,0,202,373
"Louis-Hébert/Louis-Hébert"," 8","Sainte-Foy",24,22,52,4,104,5,0,6,2,219,315
"Louis-Hébert/Louis-Hébert"," 9","Sainte-Foy",19,15,51,4,108,5,0,4,0,206,309
"Louis-Hébert/Louis-Hébert"," 10","Sainte-Foy",17,20,33,5,118,5,0,6,2,206,375
"Louis-Hébert/Louis-Hébert"," 11","Sainte-Foy",3,7,37,1,63,3,0,2,1,117,248
"Louis-Hébert/Louis-Hébert"," 12","Sainte-Foy",23,24,77,6,114,6,0,6,5,261,440
"Louis-Hébert/Louis-Hébert"," 13","Sainte-Foy",19,12,81,5,157,14,0,5,3,296,479
"Louis-Hébert/Louis-Hébert"," 14A","Sainte-Foy",18,23,76,4,120,12,0,6,0,259,390
"Louis-Hébert/Louis-Hébert"," 14B","Sainte-Foy",11,7,57,7,94,8,0,4,1,189,298
"Louis-Hébert/Louis-Hébert"," 15","Sainte-Foy",17,23,102,6,125,9,2,2,2,288,437
"Louis-Hébert/Louis-Hébert"," 16","Sainte-Foy",11,1,60,0,63,3,0,1,0,139,231
"Louis-Hébert/Louis-Hébert"," 17","Sainte-Foy",34,24,102,5,154,9,2,7,2,339,497
"Louis-Hébert/Louis-Hébert"," 18","Sainte-Foy",20,18,105,5,135,12,0,6,1,302,477
"Louis-Hébert/Louis-Hébert"," 19","Sainte-Foy",23,21,85,2,103,9,1,12,0,256,368
"Louis-Hébert/Louis-Hébert"," 20","Sainte-Foy",22,16,78,2,112,19,0,6,0,255,479
"Louis-Hébert/Louis-Hébert"," 21","Sainte-Foy",14,23,32,5,81,6,0,5,1,167,265
"Louis-Hébert/Louis-Hébert"," 22","Sainte-Foy",10,7,42,3,61,2,0,5,1,131,243
"Louis-Hébert/Louis-Hébert"," 23","Sainte-Foy",22,12,77,3,110,12,2,5,2,245,403
"Louis-Hébert/Louis-Hébert"," 24","Sainte-Foy",20,13,65,2,115,4,0,3,2,224,393
"Louis-Hébert/Louis-Hébert"," 25","Sainte-Foy",11,12,38,4,85,6,0,2,3,161,311
"Louis-Hébert/Louis-Hébert"," 26","Sainte-Foy",19,8,63,7,73,10,3,4,4,191,319
"Louis-Hébert/Louis-Hébert"," 27","Sainte-Foy",27,32,103,4,94,9,0,6,0,275,518
"Louis-Hébert/Louis-Hébert"," 28","Sainte-Foy",15,15,71,3,71,6,1,6,2,190,371
"Louis-Hébert/Louis-Hébert"," 29","Sainte-Foy",24,20,77,2,64,18,0,9,2,216,435
"Louis-Hébert/Louis-Hébert"," 30","Sainte-Foy",36,30,127,3,87,15,0,4,0,302,523
"Louis-Hébert/Louis-Hébert"," 31","Sainte-Foy",26,8,83,5,74,6,0,7,1,210,390
"Louis-Hébert/Louis-Hébert"," 32","Sainte-Foy",24,25,64,0,57,6,0,10,0,186,334
"Louis-Hébert/Louis-Hébert"," 33","Sainte-Foy",16,20,59,4,56,10,0,10,0,175,317
"Louis-Hébert/Louis-Hébert"," 34","Sainte-Foy",23,31,75,8,60,17,3,6,2,225,366
"Louis-Hébert/Louis-Hébert"," 35","Sainte-Foy",24,48,48,3,91,9,1,4,0,228,342
"Louis-Hébert/Louis-Hébert"," 36","Sainte-Foy",21,32,57,1,69,10,0,2,0,192,268
"Louis-Hébert/Louis-Hébert"," 37","Sainte-Foy",22,14,78,2,64,7,0,9,2,198,296
"Louis-Hébert/Louis-Hébert"," 38","Sainte-Foy",16,14,50,1,30,9,0,2,0,122,241
"Louis-Hébert/Louis-Hébert"," 39","Sainte-Foy",41,64,101,4,96,10,1,7,0,324,523
"Louis-Hébert/Louis-Hébert"," 40","Sainte-Foy",28,10,81,0,55,8,2,1,3,188,390
"Louis-Hébert/Louis-Hébert"," 41","Sainte-Foy",28,31,63,0,47,11,2,4,1,187,337
"Louis-Hébert/Louis-Hébert"," 42","Sainte-Foy",25,55,124,2,106,10,4,15,4,345,524
"Louis-Hébert/Louis-Hébert"," 43","Sainte-Foy",23,17,52,1,62,10,0,4,1,170,300
"Louis-Hébert/Louis-Hébert"," 44","Sainte-Foy",7,17,56,2,45,5,2,1,1,136,292
"Louis-Hébert/Louis-Hébert"," 45","Sainte-Foy",21,28,40,2,43,12,0,1,4,151,294
"Louis-Hébert/Louis-Hébert"," 46","Sainte-Foy",25,18,71,1,52,8,0,10,1,186,407
"Louis-Hébert/Louis-Hébert"," 47","Sainte-Foy",32,23,118,1,50,15,0,5,1,245,569
"Louis-Hébert/Louis-Hébert"," 48","Sainte-Foy",27,23,93,2,53,11,0,4,1,214,315
"Louis-Hébert/Louis-Hébert"," 49","Sainte-Foy",56,25,140,1,66,21,1,2,1,313,548
"Louis-Hébert/Louis-Hébert"," 50A","Sainte-Foy",5,36,38,1,58,2,0,2,0,142,158
"Louis-Hébert/Louis-Hébert"," 50B","Sainte-Foy",34,47,121,4,55,19,0,3,0,283,515
"Louis-Hébert/Louis-Hébert"," 51","Sainte-Foy",35,38,133,3,49,22,1,2,3,286,486
"Louis-Hébert/Louis-Hébert"," 52","Sainte-Foy",36,23,70,0,31,10,0,0,1,171,270
"Louis-Hébert/Louis-Hébert"," 53","Sainte-Foy",28,22,87,0,49,13,0,1,0,200,334
"Louis-Hébert/Louis-Hébert"," 54","Sainte-Foy",40,20,102,1,59,9,0,4,4,239,485
"Louis-Hébert/Louis-Hébert"," 55A","Sainte-Foy",21,15,80,0,43,8,0,1,2,170,291
"Louis-Hébert/Louis-Hébert"," 55B","Sainte-Foy",9,10,37,0,35,5,0,1,0,97,118
"Louis-Hébert/Louis-Hébert"," 56","Sainte-Foy",17,30,95,1,55,10,0,9,0,217,355
"Louis-Hébert/Louis-Hébert"," 57","Sainte-Foy",49,18,160,2,68,16,0,5,2,320,628
"Louis-Hébert/Louis-Hébert"," 58A","Sainte-Foy",21,15,66,2,46,11,0,2,7,170,255
"Louis-Hébert/Louis-Hébert"," 58B","Sainte-Foy",2,2,12,0,8,4,0,0,1,29,76
"Louis-Hébert/Louis-Hébert"," 59","Sainte-Foy",45,11,118,2,25,15,0,2,5,223,425
"Louis-Hébert/Louis-Hébert"," 60","Sillery",4,96,37,4,44,4,2,0,2,193,292
"Louis-Hébert/Louis-Hébert"," 61","Sillery",25,34,115,0,57,22,0,1,0,254,376
"Louis-Hébert/Louis-Hébert"," 62","Sillery",29,80,86,0,82,12,3,2,4,298,459
"Louis-Hébert/Louis-Hébert"," 63","Sillery",37,15,117,2,36,20,4,2,0,233,338
"Louis-Hébert/Louis-Hébert"," 64","Sillery",26,36,88,1,41,12,0,2,2,208,339
"Louis-Hébert/Louis-Hébert"," 65","Sillery",38,40,126,1,62,16,2,6,5,296,534
"Louis-Hébert/Louis-Hébert"," 66A","Sillery",28,32,72,1,56,11,1,1,0,202,293
"Louis-Hébert/Louis-Hébert"," 66B","Sillery",Merged with No. 62/Fusionné avec le nº 62,,,,,,,,,,71
