Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Armand Caouette,Pierre M. Denis,Gilles Gagnon,Yvon Lévesque,Dominique Vaillancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 1","Ivujivik",19,5,24,10,9,0,67,172
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 2","Salluit",235,10,51,32,19,2,349,582
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 3","Akulivik",52,7,27,24,14,0,124,246
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 4","Puvirnituq",41,13,32,27,14,1,128,246
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 5","Puvirnituq",50,19,46,36,11,2,164,549
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 6","Inukjuak",59,8,17,14,10,0,108,185
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 7","Inukjuak",109,28,58,25,15,3,238,636
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 8","Kangiqsujuaq",47,16,45,29,21,1,159,303
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 9","Quaqtaq",48,7,24,8,11,0,98,163
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 10","Kangirsuk",74,7,21,15,7,0,124,243
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 11","Aupaluk",29,2,5,2,3,0,41,89
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 12","Tasiujaq",48,5,5,5,2,1,66,115
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 13","Kuujjuaq",194,26,41,60,38,3,362,775
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 14","Kuujjuaq",81,12,18,28,11,3,153,230
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 15","Kangiqsualujjuaq",122,18,21,21,14,1,197,393
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 16","Kuujjuaq",52,5,11,6,5,5,84,130
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 17","Kawawachikamach",Void/Supprimé,,,,,,,
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 18","Umiujaq",61,13,12,14,11,1,112,183
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 19","Kuujjuarapik",92,11,19,16,14,1,153,621
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 20","Whapmagoostui",27,4,7,7,3,1,49,168
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 21","Chisasibi",58,6,2,7,2,1,76,275
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 22","Chisasibi",72,10,8,11,5,0,106,261
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 23A","Chisasibi",65,15,6,22,10,1,119,499
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 23B","Chisasibi",62,9,11,13,11,0,106,564
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 24","Chisasibi",38,3,1,4,3,0,49,231
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 25","Chisasibi",69,1,3,3,2,0,78,341
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 26A","Wemindji",118,6,9,10,5,1,149,377
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 26B","Wemindji",96,8,5,9,2,0,120,380
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 27","Eastmain",113,11,10,17,12,1,164,403
"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 28","Radisson",7,8,31,88,17,3,154,278
