Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Jérôme Beaulieu,Howard M. Bruce,Guy Côté,Jean-Marie Fiset,Gilles Landry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 1","Stoneham-et-Tewkesbury",93,20,62,90,15,12,4,296,567
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 2","Stoneham-et-Tewkesbury",73,10,46,58,8,8,1,204,343
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 3","Stoneham-et-Tewkesbury",64,6,36,43,1,9,1,160,343
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 4","Stoneham-et-Tewkesbury",84,12,58,87,10,8,4,263,490
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 5","Stoneham-et-Tewkesbury",80,4,46,76,14,11,3,234,401
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 6","Stoneham-et-Tewkesbury",97,8,52,56,9,7,0,229,356
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 7","Stoneham-et-Tewkesbury",62,13,50,42,15,8,0,190,356
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 8","Stoneham-et-Tewkesbury",100,25,73,113,16,8,2,337,532
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 9","Stoneham-et-Tewkesbury",137,12,80,82,8,9,3,331,592
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 10","Lac-Delage",78,6,44,113,15,12,4,272,388
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 11","Stoneham-et-Tewkesbury",134,11,78,88,15,10,5,341,631
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 12A","Saint-Gabriel-de-Valcartier",74,9,50,45,9,21,2,210,345
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 12B","Saint-Gabriel-de-Valcartier",74,5,53,35,12,23,3,205,336
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 13","Saint-Gabriel-de-Valcartier",91,10,81,27,7,27,5,248,554
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 14","Saint-Gabriel-de-Valcartier",98,7,41,43,9,23,1,222,344
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 15","Sainte-Brigitte-de-Laval",120,13,60,94,25,9,4,325,510
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 16","Sainte-Brigitte-de-Laval",107,11,64,93,9,11,5,300,531
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 17","Sainte-Brigitte-de-Laval",126,5,53,64,11,6,0,265,460
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 18","Sainte-Brigitte-de-Laval",85,9,58,58,0,15,2,227,372
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 19","Sainte-Brigitte-de-Laval",100,12,57,66,14,6,5,260,500
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 20","Sainte-Brigitte-de-Laval",106,12,57,90,10,9,6,290,467
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 21","Lac-Beauport",69,5,45,49,12,4,1,185,274
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 22","Lac-Beauport",132,17,79,93,24,19,1,365,643
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 23","Lac-Beauport",53,20,60,81,13,10,1,238,376
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 24","Lac-Beauport",94,14,71,92,19,12,3,305,447
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 25","Lac-Beauport",107,26,98,103,23,26,2,385,586
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 26","Lac-Beauport",106,11,63,104,19,14,0,317,497
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 27","Lac-Beauport",107,17,81,97,18,7,6,333,489
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 28","Lac-Beauport",130,23,97,84,19,18,1,372,571
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 29","Lac-Beauport",74,14,63,91,27,14,4,287,417
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 30","Lac-Beauport",136,14,95,82,24,9,5,365,593
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 31","Rivière-à-Pierre",80,5,24,53,1,11,4,178,274
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 32","Saint-Raymond",173,9,66,38,4,14,3,307,532
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 33","Saint-Raymond",135,6,60,31,2,7,3,244,385
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 34","Saint-Raymond",113,10,56,49,9,8,1,246,407
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 35","Saint-Raymond",108,3,38,52,0,2,3,206,352
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 36","Saint-Raymond",188,15,72,88,5,24,3,395,657
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 37","Saint-Raymond",130,2,50,38,11,10,3,244,518
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 38","Saint-Raymond",118,4,54,41,2,4,1,224,366
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 39","Saint-Raymond",161,6,84,97,12,3,1,364,578
