Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bellavance,Laurier Busque,Jean Landry,Isabelle Maguire,Louis Napoléon Mercier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Richmond--Arthabaska/Richmond--Arthabaska"," 1","Saint-Louis-de-Blandford",52,12,72,8,9,0,153,273
"Richmond--Arthabaska/Richmond--Arthabaska"," 2","Saint-Louis-de-Blandford",102,8,103,8,17,8,246,451
"Richmond--Arthabaska/Richmond--Arthabaska"," 3","Maddington",81,2,79,12,13,1,188,320
"Richmond--Arthabaska/Richmond--Arthabaska"," 4","Daveluyville",106,6,94,11,25,2,244,419
"Richmond--Arthabaska/Richmond--Arthabaska"," 5","Daveluyville",83,4,92,9,23,7,218,358
"Richmond--Arthabaska/Richmond--Arthabaska"," 6","Sainte-Anne-du-Sault",96,3,80,9,19,7,214,351
"Richmond--Arthabaska/Richmond--Arthabaska"," 7","Sainte-Anne-du-Sault",119,5,121,13,15,7,280,468
"Richmond--Arthabaska/Richmond--Arthabaska"," 8","Sainte-Anne-du-Sault",45,6,38,4,9,0,102,197
"Richmond--Arthabaska/Richmond--Arthabaska"," 9","Saint-Rosaire",56,4,52,4,14,2,132,211
"Richmond--Arthabaska/Richmond--Arthabaska"," 10","Saint-Rosaire",82,7,101,11,22,3,226,374
"Richmond--Arthabaska/Richmond--Arthabaska"," 11","Saint-Valère",164,8,147,15,14,6,354,573
"Richmond--Arthabaska/Richmond--Arthabaska"," 12","Saint-Valère",122,12,116,6,17,1,274,403
"Richmond--Arthabaska/Richmond--Arthabaska"," 13","Saint-Samuel",82,4,62,4,17,2,171,250
"Richmond--Arthabaska/Richmond--Arthabaska"," 14","Saint-Samuel",68,10,58,8,14,5,163,243
"Richmond--Arthabaska/Richmond--Arthabaska"," 15","Sainte-Clothilde-de-Horton",95,11,69,16,34,6,231,389
"Richmond--Arthabaska/Richmond--Arthabaska"," 16","Saint-Jacques-de-Horton",37,11,30,9,9,2,98,143
"Richmond--Arthabaska/Richmond--Arthabaska"," 17","Saint-Albert-de-Warwick",49,6,54,6,7,3,125,192
"Richmond--Arthabaska/Richmond--Arthabaska"," 18","Saint-Albert-de-Warwick",134,9,68,11,12,6,240,407
"Richmond--Arthabaska/Richmond--Arthabaska"," 19","Saint-Albert-de-Warwick",118,15,94,12,16,4,259,405
"Richmond--Arthabaska/Richmond--Arthabaska"," 20","Sainte-Élisabeth-de-Warwick",109,15,79,16,26,1,246,397
"Richmond--Arthabaska/Richmond--Arthabaska"," 21","Sainte-Clothilde-de-Horton",109,7,83,12,20,4,235,397
"Richmond--Arthabaska/Richmond--Arthabaska"," 22","Sainte-Clothilde-de-Horton",75,14,49,2,20,1,161,247
"Richmond--Arthabaska/Richmond--Arthabaska"," 23","Sainte-Séraphine",69,6,74,6,19,3,177,258
"Richmond--Arthabaska/Richmond--Arthabaska"," 24","Kingsey Falls",117,21,92,20,14,2,266,425
"Richmond--Arthabaska/Richmond--Arthabaska"," 25","Kingsey Falls",201,27,111,18,29,1,387,588
"Richmond--Arthabaska/Richmond--Arthabaska"," 26","Kingsey Falls",204,19,92,28,30,2,375,508
"Richmond--Arthabaska/Richmond--Arthabaska"," 27","Victoriaville",134,14,124,14,11,6,303,524
"Richmond--Arthabaska/Richmond--Arthabaska"," 28","Victoriaville",110,3,61,3,13,5,195,334
"Richmond--Arthabaska/Richmond--Arthabaska"," 29","Victoriaville",103,11,67,14,19,5,219,361
"Richmond--Arthabaska/Richmond--Arthabaska"," 30","Victoriaville",124,11,79,17,28,5,264,437
"Richmond--Arthabaska/Richmond--Arthabaska"," 31","Victoriaville",118,6,106,9,31,0,270,406
"Richmond--Arthabaska/Richmond--Arthabaska"," 32","Victoriaville",130,12,88,11,25,6,272,442
"Richmond--Arthabaska/Richmond--Arthabaska"," 33","Victoriaville",60,4,60,5,24,1,154,330
"Richmond--Arthabaska/Richmond--Arthabaska"," 34","Victoriaville",110,7,62,13,13,2,207,391
"Richmond--Arthabaska/Richmond--Arthabaska"," 35","Victoriaville",78,5,84,9,44,6,226,415
"Richmond--Arthabaska/Richmond--Arthabaska"," 36","Victoriaville",83,10,67,9,17,8,194,342
"Richmond--Arthabaska/Richmond--Arthabaska"," 37","Victoriaville",172,19,105,10,25,3,334,517
"Richmond--Arthabaska/Richmond--Arthabaska"," 38","Victoriaville",159,6,114,13,21,5,318,530
"Richmond--Arthabaska/Richmond--Arthabaska"," 39","Victoriaville",75,2,54,12,27,3,173,289
"Richmond--Arthabaska/Richmond--Arthabaska"," 40","Victoriaville",111,6,59,9,11,6,202,349
"Richmond--Arthabaska/Richmond--Arthabaska"," 41","Victoriaville",163,14,113,21,34,2,347,583
"Richmond--Arthabaska/Richmond--Arthabaska"," 42","Victoriaville",113,5,93,9,25,3,248,392
"Richmond--Arthabaska/Richmond--Arthabaska"," 43","Victoriaville",127,17,86,14,26,5,275,421
"Richmond--Arthabaska/Richmond--Arthabaska"," 44","Victoriaville",116,9,97,9,23,1,255,389
"Richmond--Arthabaska/Richmond--Arthabaska"," 45","Victoriaville",173,15,104,23,24,6,345,540
"Richmond--Arthabaska/Richmond--Arthabaska"," 46","Victoriaville",111,8,97,6,6,3,231,406
"Richmond--Arthabaska/Richmond--Arthabaska"," 47","Victoriaville",131,10,91,9,10,0,251,444
"Richmond--Arthabaska/Richmond--Arthabaska"," 48","Victoriaville",130,12,103,14,17,3,279,492
"Richmond--Arthabaska/Richmond--Arthabaska"," 49","Victoriaville",212,19,122,23,15,6,397,660
"Richmond--Arthabaska/Richmond--Arthabaska"," 50","Victoriaville",113,4,77,7,8,1,210,361
"Richmond--Arthabaska/Richmond--Arthabaska"," 51","Victoriaville",166,11,108,11,22,2,320,596
"Richmond--Arthabaska/Richmond--Arthabaska"," 52","Victoriaville",99,8,64,6,13,2,192,313
"Richmond--Arthabaska/Richmond--Arthabaska"," 53","Victoriaville",113,12,91,5,26,4,251,332
"Richmond--Arthabaska/Richmond--Arthabaska"," 54","Victoriaville",61,6,59,8,9,4,147,319
"Richmond--Arthabaska/Richmond--Arthabaska"," 55","Victoriaville",193,23,104,16,31,5,372,699
"Richmond--Arthabaska/Richmond--Arthabaska"," 56","Victoriaville",77,5,41,9,16,3,151,263
"Richmond--Arthabaska/Richmond--Arthabaska"," 57A","Victoriaville",66,7,61,7,26,1,168,321
"Richmond--Arthabaska/Richmond--Arthabaska"," 57B","Victoriaville",Merged with No. 58/Fusionné avec le nº 58,,,,,,,90
"Richmond--Arthabaska/Richmond--Arthabaska"," 58","Victoriaville",63,4,61,9,42,2,181,358
"Richmond--Arthabaska/Richmond--Arthabaska"," 59","Victoriaville",43,1,77,3,47,4,175,390
"Richmond--Arthabaska/Richmond--Arthabaska"," 60A","Victoriaville",66,5,80,3,35,3,192,363
"Richmond--Arthabaska/Richmond--Arthabaska"," 60B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,60
"Richmond--Arthabaska/Richmond--Arthabaska"," 61","Victoriaville",48,3,55,5,17,0,128,276
"Richmond--Arthabaska/Richmond--Arthabaska"," 62","Victoriaville",95,10,76,11,24,1,217,439
"Richmond--Arthabaska/Richmond--Arthabaska"," 63","Victoriaville",66,5,43,5,10,1,130,175
"Richmond--Arthabaska/Richmond--Arthabaska"," 64","Victoriaville",109,11,58,10,17,4,209,434
"Richmond--Arthabaska/Richmond--Arthabaska"," 65","Victoriaville",89,7,55,10,9,3,173,425
"Richmond--Arthabaska/Richmond--Arthabaska"," 66","Victoriaville",81,4,54,8,7,4,158,276
"Richmond--Arthabaska/Richmond--Arthabaska"," 67","Victoriaville",67,13,32,7,10,2,131,212
"Richmond--Arthabaska/Richmond--Arthabaska"," 68","Victoriaville",55,5,37,4,5,2,108,213
"Richmond--Arthabaska/Richmond--Arthabaska"," 69","Victoriaville",55,7,45,7,11,0,125,281
"Richmond--Arthabaska/Richmond--Arthabaska"," 70","Victoriaville",70,13,56,4,26,2,171,423
"Richmond--Arthabaska/Richmond--Arthabaska"," 71","Victoriaville",69,7,47,5,17,1,146,327
"Richmond--Arthabaska/Richmond--Arthabaska"," 72","Victoriaville",70,7,50,4,19,3,153,270
"Richmond--Arthabaska/Richmond--Arthabaska"," 73","Victoriaville",74,9,53,12,18,4,170,350
"Richmond--Arthabaska/Richmond--Arthabaska"," 74","Victoriaville",71,8,90,6,37,5,217,399
"Richmond--Arthabaska/Richmond--Arthabaska"," 75","Victoriaville",81,10,76,14,15,1,197,352
"Richmond--Arthabaska/Richmond--Arthabaska"," 76","Victoriaville",75,8,57,8,25,5,178,341
"Richmond--Arthabaska/Richmond--Arthabaska"," 77","Victoriaville",75,10,59,6,20,7,177,357
"Richmond--Arthabaska/Richmond--Arthabaska"," 78","Victoriaville",88,15,56,7,11,3,180,307
"Richmond--Arthabaska/Richmond--Arthabaska"," 79A","Victoriaville",106,6,83,6,16,0,217,414
