Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Cardin,Claudia Laroche-Martel,Marc Nadeau,Martin Plaisance,Robert Pouliot,Michel Quirion,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sherbrooke/Sherbrooke"," 1","Brompton",184,4,50,32,35,14,2,321,552
"Sherbrooke/Sherbrooke"," 2","Brompton",84,2,31,7,4,7,1,136,223
"Sherbrooke/Sherbrooke"," 3","Bromptonville",215,3,73,19,19,8,3,340,535
"Sherbrooke/Sherbrooke"," 4","Bromptonville",106,1,43,14,13,11,3,191,315
"Sherbrooke/Sherbrooke"," 5","Bromptonville",133,1,47,12,15,8,4,220,368
"Sherbrooke/Sherbrooke"," 6","Bromptonville",216,0,80,25,22,13,4,360,546
"Sherbrooke/Sherbrooke"," 7","Bromptonville",167,0,45,20,13,19,3,267,398
"Sherbrooke/Sherbrooke"," 8","Bromptonville",178,0,53,16,28,5,5,285,514
"Sherbrooke/Sherbrooke"," 9","Brompton",76,3,38,11,8,8,0,144,245
"Sherbrooke/Sherbrooke"," 10","Brompton",179,0,50,52,19,15,1,316,471
"Sherbrooke/Sherbrooke"," 11","Sherbrooke",174,2,76,37,31,22,0,342,553
"Sherbrooke/Sherbrooke"," 12","Sherbrooke",123,2,62,29,16,8,2,242,378
"Sherbrooke/Sherbrooke"," 13A","Sherbrooke",112,0,42,25,15,5,0,199,321
"Sherbrooke/Sherbrooke"," 13B","Sherbrooke",85,1,39,18,17,8,5,173,308
"Sherbrooke/Sherbrooke"," 14","Sherbrooke",128,1,57,26,24,12,0,248,411
"Sherbrooke/Sherbrooke"," 15","Sherbrooke",126,0,60,20,23,7,0,236,380
"Sherbrooke/Sherbrooke"," 16","Sherbrooke",128,2,95,41,39,9,4,318,542
"Sherbrooke/Sherbrooke"," 17","Sherbrooke",97,0,56,24,27,3,1,208,371
"Sherbrooke/Sherbrooke"," 18","Sherbrooke",128,1,64,27,11,11,1,243,510
"Sherbrooke/Sherbrooke"," 19","Sherbrooke",158,1,71,37,23,26,2,318,496
"Sherbrooke/Sherbrooke"," 20","Sherbrooke",180,0,85,29,33,14,1,342,591
"Sherbrooke/Sherbrooke"," 21","Sherbrooke",138,2,59,21,41,21,2,284,559
"Sherbrooke/Sherbrooke"," 22","Sherbrooke",89,5,67,26,31,10,5,233,421
"Sherbrooke/Sherbrooke"," 23","Sherbrooke",72,1,16,9,20,2,1,121,205
"Sherbrooke/Sherbrooke"," 24","Sherbrooke",136,0,46,38,16,19,6,261,476
"Sherbrooke/Sherbrooke"," 25","Sherbrooke",158,1,89,42,45,20,3,358,601
"Sherbrooke/Sherbrooke"," 26","Sherbrooke",95,1,68,17,31,6,1,219,499
"Sherbrooke/Sherbrooke"," 27","Sherbrooke",120,0,63,36,43,14,0,276,436
"Sherbrooke/Sherbrooke"," 28","Sherbrooke",155,2,44,21,34,14,2,272,553
"Sherbrooke/Sherbrooke"," 29","Sherbrooke",85,0,51,12,44,14,2,208,436
"Sherbrooke/Sherbrooke"," 30","Sherbrooke",46,0,60,2,40,2,2,152,433
"Sherbrooke/Sherbrooke"," 31","Sherbrooke",80,1,80,7,55,3,3,229,470
"Sherbrooke/Sherbrooke"," 32","Sherbrooke",63,1,42,16,34,4,1,161,328
