Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bourgon,Meili Faille,Marc Garneau,Bert Markgraf,Pierre Pariseau-Legault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 1","Pointe-Fortune",34,118,70,9,9,0,240,361
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 2","Rigaud",48,130,52,19,10,2,261,443
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 3","Rigaud",28,120,29,6,3,3,189,337
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 4","Rigaud",23,180,41,11,5,4,264,464
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 5","Rigaud",33,74,80,11,10,2,210,403
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 6","Rigaud",54,76,81,14,16,3,244,462
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 7","Rigaud",22,101,34,4,6,3,170,325
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 8","Rigaud",54,169,51,11,12,3,300,459
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 9","Rigaud",23,102,30,5,4,3,167,331
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 10","Rigaud",33,93,48,10,10,2,196,420
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 11A","Rigaud",23,90,41,4,2,1,161,274
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 11B","Rigaud",20,115,32,4,6,3,180,270
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 12A","Rigaud",27,63,22,2,9,1,124,231
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 12B","Rigaud",32,81,24,14,6,2,159,279
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 13A","Rigaud",22,59,41,9,4,1,136,282
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 13B","Rigaud",27,69,41,14,8,2,161,295
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 14A","Hudson",38,9,95,8,6,0,156,265
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 14B","Hudson",48,12,111,9,9,0,189,310
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 15A","Vaudreuil-Dorion",42,38,56,14,10,4,164,280
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 15B","Vaudreuil-Dorion",50,63,71,21,6,3,214,345
"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 16","Hudson",39,6,140,8,12,0,205,384
