Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Holland,Russell Korus,Kevin Modeste,Kevin Norng,Rondo Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ajax--Pickering/Ajax--Pickering"," 1","Pickering",85,9,14,6,72,0,186,284
"Ajax--Pickering/Ajax--Pickering"," 2","Pickering",157,21,19,6,130,0,333,459
"Ajax--Pickering/Ajax--Pickering"," 3","Pickering",166,21,21,9,119,0,336,467
"Ajax--Pickering/Ajax--Pickering"," 4","Pickering",48,7,18,4,40,0,117,204
"Ajax--Pickering/Ajax--Pickering"," 5","Pickering",109,17,27,8,92,0,253,386
"Ajax--Pickering/Ajax--Pickering"," 6","Pickering",118,21,15,2,78,1,235,395
"Ajax--Pickering/Ajax--Pickering"," 7","Pickering",62,8,19,0,34,1,124,189
"Ajax--Pickering/Ajax--Pickering"," 8","Pickering",135,26,38,1,81,0,281,250
"Ajax--Pickering/Ajax--Pickering"," 9A","Pickering",134,16,21,3,113,1,288,512
"Ajax--Pickering/Ajax--Pickering"," 9B","Pickering",Merged with No. 8/Fusionné avec le nº 8,,,,,,,245
"Ajax--Pickering/Ajax--Pickering"," 10","Pickering",84,19,19,0,59,3,184,315
"Ajax--Pickering/Ajax--Pickering"," 11","Pickering",105,10,28,0,73,0,216,380
"Ajax--Pickering/Ajax--Pickering"," 12","Pickering",111,9,17,1,70,0,208,338
"Ajax--Pickering/Ajax--Pickering"," 13","Pickering",128,8,17,0,129,1,283,427
"Ajax--Pickering/Ajax--Pickering"," 14","Pickering",121,7,14,0,101,0,243,396
"Ajax--Pickering/Ajax--Pickering"," 15","Pickering",143,8,19,0,125,1,296,465
"Ajax--Pickering/Ajax--Pickering"," 16","Pickering",140,23,33,0,107,0,303,483
"Ajax--Pickering/Ajax--Pickering"," 17","Pickering",134,23,38,1,104,0,300,340
"Ajax--Pickering/Ajax--Pickering"," 18","Pickering",207,32,10,1,88,2,340,512
"Ajax--Pickering/Ajax--Pickering"," 19A","Pickering",175,15,37,2,81,3,313,507
"Ajax--Pickering/Ajax--Pickering"," 19B","Pickering",Merged with No. 17/Fusionné avec le nº 17,,,,,,,155
"Ajax--Pickering/Ajax--Pickering"," 20","Pickering",133,11,25,1,103,0,273,301
"Ajax--Pickering/Ajax--Pickering"," 21","Pickering",126,6,16,1,56,0,205,352
"Ajax--Pickering/Ajax--Pickering"," 22A","Pickering",123,7,38,1,70,1,240,441
"Ajax--Pickering/Ajax--Pickering"," 22B","Pickering",Merged with No. 20/Fusionné avec le nº 20,,,,,,,129
"Ajax--Pickering/Ajax--Pickering"," 23A","Pickering",145,4,36,0,51,0,236,396
"Ajax--Pickering/Ajax--Pickering"," 23B","Pickering",133,3,35,2,59,1,233,201
"Ajax--Pickering/Ajax--Pickering"," 24A","Pickering",140,4,33,4,71,0,252,407
"Ajax--Pickering/Ajax--Pickering"," 24B","Pickering",Merged with No. 23B/Fusionné avec le nº 23B,,,,,,,185
"Ajax--Pickering/Ajax--Pickering"," 25","Pickering",152,7,57,2,107,1,326,503
