Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Bell,Jim Comiskey,Kathleen Kevany,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 1","Leamington",14,50,52,139,0,255,411
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 2","Leamington",7,24,39,85,0,155,277
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 3","Leamington",5,38,25,91,0,159,301
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 4","Leamington",7,58,52,122,1,240,408
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 5","Leamington",5,52,34,126,0,217,422
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 6","Leamington",9,59,29,73,4,174,377
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 7","Leamington",5,35,27,99,1,167,304
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 8","Leamington",6,20,19,72,1,118,200
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 9","Leamington",9,37,58,148,1,253,448
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 10","Leamington",7,34,27,63,0,131,235
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 11","Leamington",4,78,28,97,1,208,393
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 12","Leamington",10,101,29,98,2,240,407
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 13","Leamington",10,98,26,67,2,203,365
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 14","Leamington",6,56,30,106,2,200,324
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 15","Leamington",6,52,40,73,0,171,352
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 16","Leamington",9,80,59,99,5,252,456
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 17","Leamington",7,56,46,69,1,179,341
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 18","Leamington",5,36,27,61,0,129,286
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 19","Leamington",3,43,35,43,3,127,326
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 20","Leamington",5,36,39,54,2,136,280
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 21","Leamington",3,35,38,59,1,136,341
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 22","Leamington",4,26,28,29,1,88,304
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 23","Leamington",5,57,49,56,3,170,386
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 24","Leamington",12,74,43,82,2,213,426
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 25","Leamington",9,76,31,92,1,209,376
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 26","Leamington",10,84,36,84,3,217,366
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 27","Leamington",9,31,33,47,4,124,310
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 28","Leamington",6,56,57,54,1,174,428
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 29","Leamington",3,62,22,45,1,133,262
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 30","Leamington",6,37,22,48,0,113,323
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 31","Leamington",7,71,49,110,1,238,418
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 32","Leamington",11,52,35,72,1,171,343
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 33","Leamington",10,62,61,142,5,280,449
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 34","Leamington",6,72,17,101,2,198,349
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 35","Leamington",8,88,53,85,3,237,459
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 36","Leamington",6,67,35,63,4,175,339
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 37","Leamington",9,91,74,114,3,291,577
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 38","Leamington",5,43,38,49,0,135,342
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 39","Leamington",7,63,68,124,0,262,518
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 40","Leamington",3,71,52,89,1,216,393
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 41","Leamington",4,32,41,89,0,166,362
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 42","Leamington",8,61,28,63,1,161,272
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 43","Leamington",11,68,38,77,1,195,330
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 44","Leamington",9,64,40,94,3,210,388
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 45","Leamington",15,52,68,127,0,262,455
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 46","Leamington",10,42,42,93,0,187,355
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 47","Leamington",5,43,32,124,0,204,358
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 48","Tilbury",5,40,43,62,2,152,264
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 49","Tilbury",2,47,53,46,1,149,291
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 50","Tilbury",3,43,56,38,0,140,260
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 51","Tilbury",3,39,61,55,1,159,336
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 52","Tilbury",6,60,64,46,2,178,342
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 53","Tilbury",4,59,59,54,2,178,346
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 54","Tilbury",5,29,39,30,0,103,179
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 55","Tilbury",6,44,62,38,0,150,325
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 56","Tilbury",7,10,35,39,0,91,194
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 57","Tilbury",8,94,82,75,1,260,472
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 58","Tilbury",2,58,55,86,0,201,323
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 59","Tilbury",6,63,43,61,0,173,288
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 60","Tilbury",7,27,35,85,0,154,290
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 61","Merlin",4,33,53,61,1,152,263
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 62","Tilbury",1,22,38,65,0,126,228
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 63","Tilbury",0,16,26,62,0,104,189
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 64","Merlin",4,30,69,69,0,172,271
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 65","Wheatley",10,40,60,119,0,229,430
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 66","Wheatley",20,63,67,96,0,246,509
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 67","Wheatley",7,58,44,109,4,222,404
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 68","Wheatley",4,30,49,108,0,191,369
