Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Alexander,Chris Marquis,Garry Moore,David Tilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Dufferin--Caledon/Dufferin--Caledon"," 1","Melancthon",10,27,43,77,0,157,250
"Dufferin--Caledon/Dufferin--Caledon"," 2","Melancthon",15,31,53,93,0,192,343
"Dufferin--Caledon/Dufferin--Caledon"," 3A","Horning's Mills",19,44,43,123,1,230,390
"Dufferin--Caledon/Dufferin--Caledon"," 3B","Horning's Mills",15,38,62,112,3,230,412
"Dufferin--Caledon/Dufferin--Caledon"," 4","Mulmur",Void/Supprimé,,,,,,
"Dufferin--Caledon/Dufferin--Caledon"," 5","Melancthon",5,26,13,46,1,91,316
"Dufferin--Caledon/Dufferin--Caledon"," 6","Honeywood (Mulmur)",23,36,57,96,0,212,332
"Dufferin--Caledon/Dufferin--Caledon"," 7","Mulmur",37,28,75,158,0,298,435
"Dufferin--Caledon/Dufferin--Caledon"," 8","Mulmur",31,26,47,95,2,201,293
"Dufferin--Caledon/Dufferin--Caledon"," 9A","Mulmur",24,25,58,87,0,194,316
"Dufferin--Caledon/Dufferin--Caledon"," 9B","Mulmur",18,11,42,69,0,140,266
"Dufferin--Caledon/Dufferin--Caledon"," 10","Mulmur",38,35,76,110,1,260,460
"Dufferin--Caledon/Dufferin--Caledon"," 11A","Shelburne",15,22,72,112,2,223,419
"Dufferin--Caledon/Dufferin--Caledon"," 11B","Shelburne",16,27,63,103,0,209,424
"Dufferin--Caledon/Dufferin--Caledon"," 12","Shelburne",16,32,38,85,0,171,360
"Dufferin--Caledon/Dufferin--Caledon"," 13A","Shelburne",10,33,28,85,0,156,315
"Dufferin--Caledon/Dufferin--Caledon"," 13B","Shelburne",12,28,34,90,0,164,351
"Dufferin--Caledon/Dufferin--Caledon"," 14A","Shelburne",20,45,37,99,1,202,426
"Dufferin--Caledon/Dufferin--Caledon"," 14B","Mobile poll/Bureau itinérant",9,12,50,64,1,136,156
"Dufferin--Caledon/Dufferin--Caledon"," 15","Shelburne",12,41,49,74,0,176,411
"Dufferin--Caledon/Dufferin--Caledon"," 16","Shelburne",19,26,40,78,0,163,365
"Dufferin--Caledon/Dufferin--Caledon"," 17","Shelburne",25,37,62,108,0,232,418
"Dufferin--Caledon/Dufferin--Caledon"," 18","Amaranth",16,20,36,73,1,146,293
"Dufferin--Caledon/Dufferin--Caledon"," 19","Amaranth",28,24,86,128,1,267,464
"Dufferin--Caledon/Dufferin--Caledon"," 20","Amaranth",19,19,63,123,0,224,348
"Dufferin--Caledon/Dufferin--Caledon"," 21A","Amaranth",12,14,39,62,0,127,255
"Dufferin--Caledon/Dufferin--Caledon"," 21B","Amaranth",12,25,47,67,0,151,247
"Dufferin--Caledon/Dufferin--Caledon"," 22","Amaranth",12,19,34,129,0,194,304
"Dufferin--Caledon/Dufferin--Caledon"," 23A","Amaranth",19,30,27,87,1,164,330
"Dufferin--Caledon/Dufferin--Caledon"," 23B","Amaranth",19,24,39,88,0,170,330
"Dufferin--Caledon/Dufferin--Caledon"," 24","East Luther",14,23,39,109,0,185,326
"Dufferin--Caledon/Dufferin--Caledon"," 25","East Luther",20,19,48,124,1,212,369
"Dufferin--Caledon/Dufferin--Caledon"," 26","Grand Valley",35,23,37,102,2,199,334
"Dufferin--Caledon/Dufferin--Caledon"," 27","Grand Valley",26,26,22,80,1,155,285
"Dufferin--Caledon/Dufferin--Caledon"," 28A","Grand Valley",17,15,15,65,0,112,261
"Dufferin--Caledon/Dufferin--Caledon"," 28B","Grand Valley",15,24,22,64,0,125,241
"Dufferin--Caledon/Dufferin--Caledon"," 29","East Garafraxa",33,38,66,159,1,297,462
"Dufferin--Caledon/Dufferin--Caledon"," 30","East Garafraxa",22,37,56,159,2,276,443
"Dufferin--Caledon/Dufferin--Caledon"," 31A","East Garafraxa",11,27,39,85,0,162,311
"Dufferin--Caledon/Dufferin--Caledon"," 31B","East Garafraxa",13,19,50,118,0,200,358
"Dufferin--Caledon/Dufferin--Caledon"," 32","Mono",22,36,69,104,0,231,379
"Dufferin--Caledon/Dufferin--Caledon"," 33","Mono",38,30,47,102,0,217,442
"Dufferin--Caledon/Dufferin--Caledon"," 34","Mono",39,18,71,101,0,229,444
"Dufferin--Caledon/Dufferin--Caledon"," 35A","Mono",27,13,33,62,0,135,287
"Dufferin--Caledon/Dufferin--Caledon"," 35B","Mono",27,14,25,47,0,113,267
