Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Cruise,James McVeity,Taras Natyshak,Jeff Watson,Susan Whelan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Essex/Essex"," 1","Lakeshore",1,4,37,183,149,3,377,609
"Essex/Essex"," 2","Lakeshore",0,6,15,58,57,0,136,253
"Essex/Essex"," 3","Lakeshore",0,10,50,179,178,1,418,694
"Essex/Essex"," 4","Lakeshore",0,6,50,152,128,0,336,647
"Essex/Essex"," 5","Lakeshore",2,7,46,124,103,0,282,493
"Essex/Essex"," 6","Lakeshore",3,8,101,134,137,2,385,677
"Essex/Essex"," 7","Lakeshore",1,6,56,63,74,0,200,336
"Essex/Essex"," 8A","Lakeshore",0,8,82,117,89,0,296,510
"Essex/Essex"," 8B","Lakeshore",1,11,80,116,82,2,292,532
"Essex/Essex"," 8C","Lakeshore",0,7,67,80,79,3,236,413
"Essex/Essex"," 9A","Lakeshore",0,3,107,69,78,1,258,449
"Essex/Essex"," 9B","Lakeshore",0,4,77,92,90,0,263,473
"Essex/Essex"," 10","Lakeshore",0,7,51,69,50,1,178,323
"Essex/Essex"," 11","Lakeshore",0,3,90,93,106,0,292,521
"Essex/Essex"," 12A","Lakeshore",0,6,74,66,79,1,226,405
"Essex/Essex"," 12B","Lakeshore",0,6,70,79,106,0,261,437
"Essex/Essex"," 13","Lakeshore",0,1,70,48,35,0,154,278
"Essex/Essex"," 14","Lakeshore",0,4,62,93,66,1,226,391
"Essex/Essex"," 15","Lakeshore",0,3,71,82,54,0,210,392
"Essex/Essex"," 16","Lakeshore",0,5,67,54,71,0,197,403
"Essex/Essex"," 17","Lakeshore",0,3,69,42,56,1,171,316
"Essex/Essex"," 18","Lakeshore",1,9,134,121,116,2,383,641
"Essex/Essex"," 19","Lakeshore",0,11,96,63,102,0,272,399
"Essex/Essex"," 20A","Lakeshore",0,7,64,72,49,1,193,363
"Essex/Essex"," 20B","Lakeshore",0,7,87,71,80,0,245,437
"Essex/Essex"," 21","Lakeshore",0,3,71,35,41,5,155,267
"Essex/Essex"," 22A","Lakeshore",3,6,76,119,115,0,319,579
"Essex/Essex"," 22B","Lakeshore",0,3,55,124,119,4,305,513
"Essex/Essex"," 23","Lakeshore",0,4,104,119,111,0,338,583
"Essex/Essex"," 24","Lakeshore",0,2,22,28,22,0,74,291
"Essex/Essex"," 25","Lakeshore",1,7,103,121,80,1,313,480
"Essex/Essex"," 26","Lakeshore",1,7,107,123,104,3,345,524
"Essex/Essex"," 27","Lakeshore",0,11,88,138,86,0,323,522
"Essex/Essex"," 28","Lakeshore",0,6,61,122,57,0,246,322
"Essex/Essex"," 29","Lakeshore",0,3,45,59,52,0,159,280
"Essex/Essex"," 30","Lakeshore",1,10,95,95,129,4,334,586
"Essex/Essex"," 31","Lakeshore",1,8,89,112,89,0,299,533
"Essex/Essex"," 32","Lakeshore",0,7,99,81,94,1,282,458
"Essex/Essex"," 33","Lakeshore",1,3,122,85,67,0,278,399
"Essex/Essex"," 34","Lakeshore",0,5,102,108,125,0,340,523
"Essex/Essex"," 35","Lakeshore",2,8,87,177,124,0,398,645
"Essex/Essex"," 36","Lakeshore",0,7,12,48,41,1,109,205
"Essex/Essex"," 37","Lakeshore",0,2,49,68,89,2,210,351
"Essex/Essex"," 38","Lakeshore",0,8,57,63,65,0,193,327
"Essex/Essex"," 39","Lakeshore",1,7,75,75,85,0,243,402
"Essex/Essex"," 40","Lakeshore",1,3,43,57,47,0,151,218
"Essex/Essex"," 41","Lakeshore",1,7,49,46,108,0,211,321
"Essex/Essex"," 42","Lakeshore",0,3,37,65,62,1,168,280
"Essex/Essex"," 43","Lakeshore",0,11,73,78,73,1,236,388
"Essex/Essex"," 44","Lakeshore",1,3,48,78,40,0,170,266
"Essex/Essex"," 45","Lakeshore",0,2,65,86,61,1,215,373
"Essex/Essex"," 46","Lakeshore",1,1,30,110,47,0,189,303
"Essex/Essex"," 47","LaSalle",0,6,50,59,67,0,182,379
"Essex/Essex"," 48","LaSalle",0,2,67,66,60,2,197,361
"Essex/Essex"," 49","LaSalle",1,7,88,91,79,1,267,471
"Essex/Essex"," 50","LaSalle",1,5,44,100,77,1,228,425
"Essex/Essex"," 51","LaSalle",0,7,67,93,77,0,244,407
"Essex/Essex"," 52","LaSalle",0,9,63,105,116,0,293,519
"Essex/Essex"," 53","LaSalle",0,3,57,77,72,2,211,389
"Essex/Essex"," 54","LaSalle",0,8,68,99,48,0,223,419
"Essex/Essex"," 55","LaSalle",0,7,42,77,69,0,195,365
"Essex/Essex"," 56","LaSalle",0,10,55,70,66,1,202,368
"Essex/Essex"," 57","LaSalle",0,9,54,87,79,1,230,455
"Essex/Essex"," 58","LaSalle",0,3,59,98,87,0,247,457
"Essex/Essex"," 59","LaSalle",1,3,57,85,117,0,263,456
"Essex/Essex"," 60","LaSalle",1,4,48,68,54,2,177,305
"Essex/Essex"," 61","LaSalle",0,3,44,72,64,1,184,291
"Essex/Essex"," 62","LaSalle",0,8,65,96,88,0,257,405
"Essex/Essex"," 63","LaSalle",0,14,59,104,100,1,278,504
"Essex/Essex"," 64","LaSalle",0,1,40,68,82,1,192,368
"Essex/Essex"," 65","LaSalle",0,3,54,77,64,1,199,303
"Essex/Essex"," 66","LaSalle",1,8,104,109,104,0,326,566
"Essex/Essex"," 67A","LaSalle",0,3,29,77,54,0,163,347
"Essex/Essex"," 67B","LaSalle",0,2,38,84,69,0,193,393
"Essex/Essex"," 68","LaSalle",1,2,23,78,62,0,166,281
"Essex/Essex"," 69","LaSalle",0,2,29,66,77,2,176,325
"Essex/Essex"," 70","LaSalle",1,9,56,103,111,2,282,468
"Essex/Essex"," 71","LaSalle",2,20,44,90,70,1,227,381
"Essex/Essex"," 72","LaSalle",1,6,33,59,84,2,185,310
"Essex/Essex"," 73","LaSalle",0,9,100,158,144,0,411,721
"Essex/Essex"," 74","LaSalle",0,4,27,98,77,2,208,324
"Essex/Essex"," 75","LaSalle",1,3,38,123,76,0,241,442
"Essex/Essex"," 76","LaSalle",1,8,91,148,107,1,356,644
"Essex/Essex"," 77","LaSalle",2,10,63,170,144,1,390,639
"Essex/Essex"," 78A","LaSalle",1,5,72,108,116,3,305,527
"Essex/Essex"," 78B","LaSalle",0,6,42,99,97,0,244,473
"Essex/Essex"," 79","LaSalle",0,7,49,156,132,3,347,525
"Essex/Essex"," 80","LaSalle",1,12,32,152,136,1,334,586
