Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexander T. Bussmann,Roy Cullen,Anna Di Carlo,George Jan Havlovic,Amanjit Singh Khroad,Ali Naqvi,George Szebik,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Etobicoke North/Etobicoke-Nord"," 1","Etobicoke",5,126,1,8,67,29,1,0,237,473
"Etobicoke North/Etobicoke-Nord"," 2","Etobicoke",1,181,0,7,67,15,0,0,271,607
"Etobicoke North/Etobicoke-Nord"," 3","Etobicoke",1,214,3,7,40,17,2,0,284,553
"Etobicoke North/Etobicoke-Nord"," 4","Etobicoke",0,92,1,4,21,5,0,0,123,263
"Etobicoke North/Etobicoke-Nord"," 5","Etobicoke",2,167,0,3,46,24,0,1,243,570
"Etobicoke North/Etobicoke-Nord"," 6","Etobicoke",1,116,0,1,52,15,0,0,185,393
"Etobicoke North/Etobicoke-Nord"," 7","Etobicoke",2,129,1,2,52,22,1,0,209,442
"Etobicoke North/Etobicoke-Nord"," 8","Etobicoke",1,136,0,5,39,19,1,2,203,503
"Etobicoke North/Etobicoke-Nord"," 9","Etobicoke",4,141,3,3,40,21,2,4,218,401
"Etobicoke North/Etobicoke-Nord"," 10A","Etobicoke",3,123,0,6,38,13,0,0,183,327
"Etobicoke North/Etobicoke-Nord"," 10B","Mobile poll/Bureau itinérant",Merged with No. 92B/Fusionné avec le nº 92B,,,,,,,,,62
"Etobicoke North/Etobicoke-Nord"," 11A","Etobicoke",0,179,1,5,67,28,0,5,285,577
"Etobicoke North/Etobicoke-Nord"," 11B","Mobile poll/Bureau itinérant",Merged with No. 92B/Fusionné avec le nº 92B,,,,,,,,,67
"Etobicoke North/Etobicoke-Nord"," 12","Etobicoke",0,98,1,1,26,11,0,0,137,320
"Etobicoke North/Etobicoke-Nord"," 13","Etobicoke",0,195,0,2,53,15,1,3,269,468
"Etobicoke North/Etobicoke-Nord"," 14","Etobicoke",3,173,2,1,58,12,2,0,251,493
"Etobicoke North/Etobicoke-Nord"," 15","Etobicoke",1,61,1,2,30,9,2,1,107,282
"Etobicoke North/Etobicoke-Nord"," 16","Etobicoke",9,329,2,9,93,70,1,4,517,940
"Etobicoke North/Etobicoke-Nord"," 17","Etobicoke",0,2,0,0,2,1,0,0,5,68
"Etobicoke North/Etobicoke-Nord"," 18","Etobicoke",0,188,3,4,40,18,1,1,255,483
"Etobicoke North/Etobicoke-Nord"," 19","Etobicoke",1,132,0,2,46,21,1,0,203,400
"Etobicoke North/Etobicoke-Nord"," 20","Etobicoke",0,180,0,3,29,20,0,2,234,461
"Etobicoke North/Etobicoke-Nord"," 21","Etobicoke",2,83,3,3,42,22,1,0,156,285
"Etobicoke North/Etobicoke-Nord"," 22","Etobicoke",5,114,0,6,36,19,4,1,185,333
"Etobicoke North/Etobicoke-Nord"," 23","Etobicoke",1,111,0,7,43,12,2,0,176,336
"Etobicoke North/Etobicoke-Nord"," 24","Etobicoke",1,108,1,4,47,28,0,0,189,354
"Etobicoke North/Etobicoke-Nord"," 25","Etobicoke",3,122,1,2,26,15,2,0,171,309
"Etobicoke North/Etobicoke-Nord"," 26","Etobicoke",9,222,2,6,46,15,4,1,305,534
"Etobicoke North/Etobicoke-Nord"," 27","Etobicoke",6,182,1,6,46,16,1,1,259,479
"Etobicoke North/Etobicoke-Nord"," 28","Etobicoke",3,179,4,5,47,20,0,1,259,403
"Etobicoke North/Etobicoke-Nord"," 29","Etobicoke",1,140,2,2,56,37,0,0,238,436
"Etobicoke North/Etobicoke-Nord"," 30","Etobicoke",1,172,1,4,56,9,1,0,244,459
"Etobicoke North/Etobicoke-Nord"," 31","Etobicoke",1,180,0,3,57,17,0,0,258,525
"Etobicoke North/Etobicoke-Nord"," 32","Etobicoke",3,141,1,1,32,25,0,1,204,357
"Etobicoke North/Etobicoke-Nord"," 33","Etobicoke",2,111,0,2,36,25,0,1,177,377
"Etobicoke North/Etobicoke-Nord"," 34","Etobicoke",2,103,1,2,64,16,0,0,188,366
"Etobicoke North/Etobicoke-Nord"," 35","Etobicoke",2,113,4,10,46,21,1,0,197,389
"Etobicoke North/Etobicoke-Nord"," 36","Etobicoke",1,106,0,1,33,9,0,1,151,394
"Etobicoke North/Etobicoke-Nord"," 37","Etobicoke",2,77,1,2,35,21,2,2,142,330
"Etobicoke North/Etobicoke-Nord"," 38","Etobicoke",2,103,1,1,32,26,2,0,167,397
"Etobicoke North/Etobicoke-Nord"," 39","Etobicoke",3,128,1,4,38,15,0,0,189,456
"Etobicoke North/Etobicoke-Nord"," 40","Etobicoke",1,74,0,1,34,13,0,2,125,320
"Etobicoke North/Etobicoke-Nord"," 41","Etobicoke",1,124,0,2,55,23,0,1,206,500
"Etobicoke North/Etobicoke-Nord"," 42","Etobicoke",2,251,4,4,82,53,1,2,399,930
"Etobicoke North/Etobicoke-Nord"," 43","Etobicoke",2,164,4,4,38,21,0,1,234,518
"Etobicoke North/Etobicoke-Nord"," 44","Etobicoke",1,78,0,0,32,8,1,0,120,243
"Etobicoke North/Etobicoke-Nord"," 45","Etobicoke",2,151,2,4,39,14,1,0,213,524
"Etobicoke North/Etobicoke-Nord"," 46","Etobicoke",3,149,2,2,40,39,1,1,237,439
"Etobicoke North/Etobicoke-Nord"," 47","Etobicoke",3,117,1,3,51,25,3,1,204,391
"Etobicoke North/Etobicoke-Nord"," 48","Etobicoke",2,111,3,5,47,19,5,3,195,356
"Etobicoke North/Etobicoke-Nord"," 49","Etobicoke",7,133,4,3,57,27,2,1,234,477
"Etobicoke North/Etobicoke-Nord"," 50","Etobicoke",0,67,0,2,13,14,2,1,99,217
"Etobicoke North/Etobicoke-Nord"," 51","Etobicoke",1,121,0,3,29,15,0,3,172,336
"Etobicoke North/Etobicoke-Nord"," 52","Etobicoke",7,211,1,2,42,25,0,4,292,654
"Etobicoke North/Etobicoke-Nord"," 53","Etobicoke",2,147,1,1,22,12,1,1,187,378
"Etobicoke North/Etobicoke-Nord"," 54","Etobicoke",4,150,4,0,58,31,1,4,252,476
"Etobicoke North/Etobicoke-Nord"," 55","Etobicoke",5,152,0,5,39,23,5,3,232,448
"Etobicoke North/Etobicoke-Nord"," 56","Etobicoke",0,199,0,0,11,32,0,2,244,543
"Etobicoke North/Etobicoke-Nord"," 57","Etobicoke",1,119,2,3,30,11,0,0,166,312
"Etobicoke North/Etobicoke-Nord"," 58","Etobicoke",0,103,0,1,35,25,1,0,165,389
"Etobicoke North/Etobicoke-Nord"," 59","Etobicoke",5,199,9,2,54,30,2,3,304,505
"Etobicoke North/Etobicoke-Nord"," 60","Etobicoke",4,113,0,5,57,18,4,0,201,348
"Etobicoke North/Etobicoke-Nord"," 61","Etobicoke",3,140,0,4,81,22,0,3,253,379
"Etobicoke North/Etobicoke-Nord"," 62","Etobicoke",4,164,1,10,71,33,1,1,285,437
"Etobicoke North/Etobicoke-Nord"," 63","Etobicoke",2,177,0,12,69,17,4,0,281,430
"Etobicoke North/Etobicoke-Nord"," 64","Etobicoke",6,140,1,6,62,35,1,2,253,522
"Etobicoke North/Etobicoke-Nord"," 65","Etobicoke",3,86,0,6,41,19,0,0,155,362
"Etobicoke North/Etobicoke-Nord"," 66","Etobicoke",2,119,2,15,71,24,3,1,237,376
"Etobicoke North/Etobicoke-Nord"," 67","Etobicoke",4,121,1,11,65,26,6,6,240,344
"Etobicoke North/Etobicoke-Nord"," 68","Etobicoke",3,123,2,12,74,24,5,0,243,389
"Etobicoke North/Etobicoke-Nord"," 69","Etobicoke",1,143,0,10,76,20,4,1,255,439
"Etobicoke North/Etobicoke-Nord"," 70","Etobicoke",2,121,1,7,76,17,4,2,230,394
"Etobicoke North/Etobicoke-Nord"," 71","Etobicoke",1,126,0,10,45,30,2,0,214,326
"Etobicoke North/Etobicoke-Nord"," 72","Etobicoke",6,127,2,9,47,26,2,3,222,346
"Etobicoke North/Etobicoke-Nord"," 73","Etobicoke",4,131,3,2,59,12,2,3,216,334
"Etobicoke North/Etobicoke-Nord"," 74","Etobicoke",0,164,1,11,65,27,4,6,278,458
"Etobicoke North/Etobicoke-Nord"," 75","Etobicoke",2,106,0,6,42,15,6,1,178,346
"Etobicoke North/Etobicoke-Nord"," 76","Etobicoke",3,161,2,5,49,30,1,1,252,497
"Etobicoke North/Etobicoke-Nord"," 77","Etobicoke",8,168,3,8,81,33,3,5,309,507
"Etobicoke North/Etobicoke-Nord"," 78","North York",Void/Supprimé,,,,,,,,,
"Etobicoke North/Etobicoke-Nord"," 79","Etobicoke",2,150,4,4,56,31,2,0,249,417
"Etobicoke North/Etobicoke-Nord"," 80","Etobicoke",2,113,1,7,72,32,1,2,230,347
"Etobicoke North/Etobicoke-Nord"," 81","Etobicoke",6,141,1,10,58,28,5,2,251,389
"Etobicoke North/Etobicoke-Nord"," 82","Etobicoke",8,159,1,5,53,35,0,0,261,396
"Etobicoke North/Etobicoke-Nord"," 83","Etobicoke",1,119,1,10,39,9,0,0,179,300
"Etobicoke North/Etobicoke-Nord"," 84","Etobicoke",6,140,0,5,25,9,1,4,190,324
"Etobicoke North/Etobicoke-Nord"," 85A","Etobicoke",0,67,2,4,38,7,0,0,118,266
"Etobicoke North/Etobicoke-Nord"," 85B","Mobile poll/Bureau itinérant",Merged with No. 92B/Fusionné avec le nº 92B,,,,,,,,,71
