Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gina Barber,Sue Barnes,Al Gretzky,Steve Hunter,Monica Jarabek,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"London West/London-Ouest"," 1A","London",36,80,107,4,7,0,0,234,391
"London West/London-Ouest"," 1B","London",40,74,106,4,8,0,2,234,381
"London West/London-Ouest"," 2","London",26,120,123,1,8,1,0,279,427
"London West/London-Ouest"," 2-1","London",16,104,168,0,11,0,1,300,523
"London West/London-Ouest"," 3","London",68,83,108,0,22,0,1,282,418
"London West/London-Ouest"," 4","London",69,92,85,2,13,0,1,262,404
"London West/London-Ouest"," 5","London",50,99,81,0,12,0,1,243,432
"London West/London-Ouest"," 6","London",44,82,98,0,15,0,0,239,366
"London West/London-Ouest"," 7","London",39,83,69,0,9,0,1,201,346
"London West/London-Ouest"," 8","London",58,83,80,0,15,0,0,236,378
"London West/London-Ouest"," 9","London",59,84,91,0,13,0,0,247,362
"London West/London-Ouest"," 10","London",28,42,43,0,6,0,0,119,260
"London West/London-Ouest"," 11","London",61,89,68,2,13,0,2,235,362
"London West/London-Ouest"," 12","London",40,68,67,0,9,0,0,184,314
"London West/London-Ouest"," 13","London",32,77,86,1,9,0,0,205,350
"London West/London-Ouest"," 14","London",83,114,102,2,17,0,0,318,542
"London West/London-Ouest"," 15","London",50,78,81,0,18,0,0,227,371
"London West/London-Ouest"," 16","London",62,85,80,0,9,1,0,237,405
"London West/London-Ouest"," 17","London",64,76,36,1,2,0,0,179,373
"London West/London-Ouest"," 18","London",75,108,85,4,13,0,4,289,480
"London West/London-Ouest"," 19","London",46,61,49,0,12,0,0,168,311
"London West/London-Ouest"," 20","London",66,92,87,1,6,0,0,252,371
"London West/London-Ouest"," 21","London",56,156,145,0,15,3,1,376,569
"London West/London-Ouest"," 22","London",61,84,69,1,12,0,0,227,347
"London West/London-Ouest"," 23","London",52,74,65,2,8,1,0,202,307
"London West/London-Ouest"," 24","London",78,128,72,6,19,0,0,303,542
"London West/London-Ouest"," 25","London",35,90,53,0,3,0,2,183,290
