Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Fayaz Choudhary,Partap Dua,Janice Hagan,Joe Li,John McCallum,Wesley Weese,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Markham--Unionville/Markham--Unionville"," 1","Markham",1,3,25,69,121,7,1,227,431
"Markham--Unionville/Markham--Unionville"," 2","Markham",0,2,14,54,216,6,1,293,506
"Markham--Unionville/Markham--Unionville"," 3","Markham",1,1,28,144,221,6,2,403,655
"Markham--Unionville/Markham--Unionville"," 4","Markham",0,0,16,119,168,8,1,312,586
"Markham--Unionville/Markham--Unionville"," 5","Markham",2,0,19,98,158,11,1,289,473
"Markham--Unionville/Markham--Unionville"," 6","Markham",2,0,23,87,101,5,0,218,346
"Markham--Unionville/Markham--Unionville"," 7","Markham",0,0,17,87,112,6,0,222,322
"Markham--Unionville/Markham--Unionville"," 8","Markham",1,1,22,112,177,9,4,326,620
"Markham--Unionville/Markham--Unionville"," 9","Markham",2,1,15,119,226,6,3,372,614
"Markham--Unionville/Markham--Unionville"," 10","Markham",1,0,22,91,184,4,1,303,481
"Markham--Unionville/Markham--Unionville"," 11","Markham",1,0,27,147,230,13,2,420,778
"Markham--Unionville/Markham--Unionville"," 12","Markham",1,0,12,83,198,1,3,298,611
"Markham--Unionville/Markham--Unionville"," 13","Markham",4,0,20,83,163,4,0,274,538
"Markham--Unionville/Markham--Unionville"," 14","Markham",0,0,14,86,157,7,0,264,439
"Markham--Unionville/Markham--Unionville"," 15","Markham",0,1,20,96,208,6,1,332,575
"Markham--Unionville/Markham--Unionville"," 16","Markham",1,1,21,125,175,1,1,325,619
"Markham--Unionville/Markham--Unionville"," 17","Markham",2,0,14,64,97,9,0,186,399
"Markham--Unionville/Markham--Unionville"," 18","Markham",1,0,7,44,55,9,0,116,206
"Markham--Unionville/Markham--Unionville"," 19","Markham",3,0,16,71,197,5,0,292,525
"Markham--Unionville/Markham--Unionville"," 20","Markham",4,0,15,73,138,2,0,232,453
"Markham--Unionville/Markham--Unionville"," 21","Markham",1,0,7,71,142,4,0,225,436
"Markham--Unionville/Markham--Unionville"," 22","Markham",0,0,21,93,176,2,0,292,609
"Markham--Unionville/Markham--Unionville"," 23A","Markham",3,1,30,99,170,0,0,303,700
"Markham--Unionville/Markham--Unionville"," 23B","Markham",3,0,21,57,121,4,1,207,457
"Markham--Unionville/Markham--Unionville"," 24","Markham",0,1,9,14,46,5,0,75,146
"Markham--Unionville/Markham--Unionville"," 25","Markham",1,0,24,71,111,10,1,218,557
"Markham--Unionville/Markham--Unionville"," 26","Markham",1,0,13,121,111,7,0,253,418
"Markham--Unionville/Markham--Unionville"," 27","Markham",0,0,28,113,161,12,1,315,514
"Markham--Unionville/Markham--Unionville"," 28","Markham",0,0,14,106,79,10,1,210,378
"Markham--Unionville/Markham--Unionville"," 29","Markham",2,1,13,97,110,7,0,230,377
"Markham--Unionville/Markham--Unionville"," 30","Markham",1,1,21,144,195,13,0,375,569
"Markham--Unionville/Markham--Unionville"," 31","Markham",1,0,21,115,148,6,1,292,449
"Markham--Unionville/Markham--Unionville"," 32","Markham",1,0,14,135,128,6,0,284,536
"Markham--Unionville/Markham--Unionville"," 33","Markham",1,1,16,116,120,21,3,278,433
"Markham--Unionville/Markham--Unionville"," 34","Markham",1,0,14,114,134,10,1,274,414
"Markham--Unionville/Markham--Unionville"," 35","Markham",0,0,29,85,125,12,1,252,374
"Markham--Unionville/Markham--Unionville"," 36","Markham",1,0,14,76,100,19,0,210,325
"Markham--Unionville/Markham--Unionville"," 37","Markham",1,2,18,96,164,6,0,287,519
"Markham--Unionville/Markham--Unionville"," 38","Markham",0,0,25,74,110,12,0,221,346
"Markham--Unionville/Markham--Unionville"," 39","Markham",1,0,26,100,169,12,0,308,487
"Markham--Unionville/Markham--Unionville"," 40","Markham",2,1,23,99,124,8,1,258,393
"Markham--Unionville/Markham--Unionville"," 41","Markham",1,4,16,40,63,4,2,130,224
"Markham--Unionville/Markham--Unionville"," 42","Markham",1,0,33,83,114,6,0,237,380
"Markham--Unionville/Markham--Unionville"," 43","Markham",1,1,18,87,147,11,1,266,506
"Markham--Unionville/Markham--Unionville"," 44","Markham",0,0,10,113,146,8,2,279,505
"Markham--Unionville/Markham--Unionville"," 45","Markham",4,0,24,112,199,10,2,351,693
"Markham--Unionville/Markham--Unionville"," 46","Markham",0,4,35,67,212,4,0,322,551
"Markham--Unionville/Markham--Unionville"," 47","Markham",4,1,23,86,207,17,5,343,618
"Markham--Unionville/Markham--Unionville"," 48","Markham",5,1,27,80,187,6,2,308,537
"Markham--Unionville/Markham--Unionville"," 49","Markham",2,1,28,65,179,4,2,281,481
"Markham--Unionville/Markham--Unionville"," 50","Markham",1,0,15,59,109,4,4,192,414
"Markham--Unionville/Markham--Unionville"," 51","Markham",1,1,22,96,134,10,4,268,555
"Markham--Unionville/Markham--Unionville"," 52","Markham",0,0,19,58,92,2,0,171,339
"Markham--Unionville/Markham--Unionville"," 53","Markham",0,0,12,46,108,1,1,168,312
"Markham--Unionville/Markham--Unionville"," 54","Markham",0,0,34,59,121,11,0,225,478
"Markham--Unionville/Markham--Unionville"," 55","Markham",1,0,34,67,117,9,4,232,438
"Markham--Unionville/Markham--Unionville"," 56","Markham",1,0,18,58,102,5,0,184,480
"Markham--Unionville/Markham--Unionville"," 57","Markham",1,0,25,57,103,4,1,191,443
"Markham--Unionville/Markham--Unionville"," 58","Markham",2,1,29,93,212,20,2,359,566
"Markham--Unionville/Markham--Unionville"," 59","Markham",1,1,51,125,262,8,2,450,844
"Markham--Unionville/Markham--Unionville"," 60A","Markham",1,1,42,104,227,7,0,382,672
"Markham--Unionville/Markham--Unionville"," 60B","Markham",0,2,30,81,187,3,1,304,534
"Markham--Unionville/Markham--Unionville"," 61A","Markham",1,0,20,96,136,1,0,254,539
"Markham--Unionville/Markham--Unionville"," 61B","Markham",2,1,12,59,124,5,0,203,408
"Markham--Unionville/Markham--Unionville"," 62","Markham",1,1,18,24,107,6,0,157,340
"Markham--Unionville/Markham--Unionville"," 63A","Markham",2,1,16,50,110,4,1,184,461
"Markham--Unionville/Markham--Unionville"," 63B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,85
"Markham--Unionville/Markham--Unionville"," 64","Markham",3,2,32,73,175,3,1,289,633
"Markham--Unionville/Markham--Unionville"," 65","Markham",0,0,9,55,151,4,0,219,461
"Markham--Unionville/Markham--Unionville"," 66","Markham",3,1,28,75,139,9,0,255,520
"Markham--Unionville/Markham--Unionville"," 67","Markham",3,2,26,70,220,7,3,331,616
"Markham--Unionville/Markham--Unionville"," 68","Markham",2,5,15,71,203,2,0,298,596
"Markham--Unionville/Markham--Unionville"," 69","Markham",2,4,34,51,204,3,1,299,560
"Markham--Unionville/Markham--Unionville"," 70","Markham",2,0,20,54,130,2,2,210,438
"Markham--Unionville/Markham--Unionville"," 71A","Markham",2,0,25,77,104,6,0,214,490
"Markham--Unionville/Markham--Unionville"," 71B","Markham",1,1,15,42,74,1,4,138,331
"Markham--Unionville/Markham--Unionville"," 72","Markham",Void/Supprimé,,,,,,,,
"Markham--Unionville/Markham--Unionville"," 73","Markham",1,3,35,75,214,7,2,337,533
"Markham--Unionville/Markham--Unionville"," 74A","Markham",1,4,26,70,173,2,2,278,604
"Markham--Unionville/Markham--Unionville"," 74B","Markham",1,3,10,39,161,12,1,227,444
"Markham--Unionville/Markham--Unionville"," 75","Markham",Merged with No. 70/Fusionné avec le nº 70,,,,,,,,29
"Markham--Unionville/Markham--Unionville"," 76","Markham",2,1,35,46,176,3,2,265,583
"Markham--Unionville/Markham--Unionville"," 77","Markham",2,0,22,67,193,7,4,295,552
"Markham--Unionville/Markham--Unionville"," 78","Markham",0,5,16,47,118,0,1,187,368
"Markham--Unionville/Markham--Unionville"," 79","Markham",1,1,16,35,137,4,1,195,347
"Markham--Unionville/Markham--Unionville"," 80","Markham",2,2,31,64,194,1,1,295,483
"Markham--Unionville/Markham--Unionville"," 81","Markham",1,0,25,63,185,4,0,278,508
"Markham--Unionville/Markham--Unionville"," 82","Markham",1,3,25,73,161,6,0,269,466
"Markham--Unionville/Markham--Unionville"," 83","Markham",3,2,25,64,205,6,2,307,560
"Markham--Unionville/Markham--Unionville"," 84","Markham",3,0,14,62,182,3,1,265,532
"Markham--Unionville/Markham--Unionville"," 85","Markham",0,0,9,44,184,6,0,243,427
"Markham--Unionville/Markham--Unionville"," 86","Markham",2,2,31,76,180,8,3,302,539
"Markham--Unionville/Markham--Unionville"," 87","Markham",2,1,29,48,277,3,2,362,602
"Markham--Unionville/Markham--Unionville"," 88","Markham",2,1,40,80,254,2,1,380,635
"Markham--Unionville/Markham--Unionville"," 89","Markham",2,1,22,72,179,6,0,282,511
