Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steve Armes,Bob Callow,Pamela Courtot,Lui Temelkovski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oak Ridges--Markham/Oak Ridges--Markham"," 1","King",13,88,11,61,0,173,286
"Oak Ridges--Markham/Oak Ridges--Markham"," 2","Schomberg",14,107,26,80,4,231,392
"Oak Ridges--Markham/Oak Ridges--Markham"," 3","Schomberg",34,130,32,94,0,290,506
"Oak Ridges--Markham/Oak Ridges--Markham"," 4","Schomberg",42,132,43,121,1,339,552
"Oak Ridges--Markham/Oak Ridges--Markham"," 5","King",13,109,21,101,1,245,406
"Oak Ridges--Markham/Oak Ridges--Markham"," 6A","King",15,78,18,60,0,171,292
"Oak Ridges--Markham/Oak Ridges--Markham"," 6B","King",9,88,19,66,0,182,312
"Oak Ridges--Markham/Oak Ridges--Markham"," 7","Nobleton",20,138,34,99,0,291,566
"Oak Ridges--Markham/Oak Ridges--Markham"," 8","Nobleton",8,86,16,58,1,169,285
"Oak Ridges--Markham/Oak Ridges--Markham"," 9","Nobleton",9,111,16,65,1,202,299
"Oak Ridges--Markham/Oak Ridges--Markham"," 10","Nobleton",23,125,11,77,0,236,374
"Oak Ridges--Markham/Oak Ridges--Markham"," 11","Nobleton",12,165,37,155,1,370,551
"Oak Ridges--Markham/Oak Ridges--Markham"," 12","Nobleton",26,139,22,104,2,293,427
"Oak Ridges--Markham/Oak Ridges--Markham"," 13","Nobleton",19,75,15,88,2,199,330
"Oak Ridges--Markham/Oak Ridges--Markham"," 14","Nobleton",19,69,19,82,0,189,295
"Oak Ridges--Markham/Oak Ridges--Markham"," 15","Nobleton",13,124,33,98,0,268,415
"Oak Ridges--Markham/Oak Ridges--Markham"," 16","Nobleton",11,112,28,107,3,261,385
"Oak Ridges--Markham/Oak Ridges--Markham"," 17","Nobleton",18,96,23,93,0,230,409
"Oak Ridges--Markham/Oak Ridges--Markham"," 18","King",15,139,11,72,2,239,361
"Oak Ridges--Markham/Oak Ridges--Markham"," 19","King",7,83,18,89,0,197,284
"Oak Ridges--Markham/Oak Ridges--Markham"," 20","King",15,77,11,46,0,149,253
"Oak Ridges--Markham/Oak Ridges--Markham"," 21","King City",17,98,25,94,1,235,442
"Oak Ridges--Markham/Oak Ridges--Markham"," 22A","King City",12,80,16,119,0,227,441
"Oak Ridges--Markham/Oak Ridges--Markham"," 22B","Mobile poll/Bureau itinérant",Merged with No. 124-2G/Fusionné avec le nº 124-2G,,,,,,36
"Oak Ridges--Markham/Oak Ridges--Markham"," 23","King City",9,97,20,91,1,218,469
"Oak Ridges--Markham/Oak Ridges--Markham"," 24","King City",23,109,14,153,1,300,468
"Oak Ridges--Markham/Oak Ridges--Markham"," 25","King City",8,94,16,89,0,207,352
"Oak Ridges--Markham/Oak Ridges--Markham"," 26","King City",27,82,18,106,0,233,423
"Oak Ridges--Markham/Oak Ridges--Markham"," 27","King City",20,89,11,70,1,191,401
"Oak Ridges--Markham/Oak Ridges--Markham"," 28","King City",6,108,10,120,4,248,472
"Oak Ridges--Markham/Oak Ridges--Markham"," 29","King City",9,53,23,59,1,145,273
"Oak Ridges--Markham/Oak Ridges--Markham"," 30","King City",19,68,25,79,2,193,395
"Oak Ridges--Markham/Oak Ridges--Markham"," 31","King City",21,92,23,109,2,247,427
"Oak Ridges--Markham/Oak Ridges--Markham"," 32","King City",13,72,24,74,0,183,345
"Oak Ridges--Markham/Oak Ridges--Markham"," 33A","Richmond Hill",7,65,22,111,1,206,354
"Oak Ridges--Markham/Oak Ridges--Markham"," 33B","Richmond Hill",7,77,16,111,2,213,338
"Oak Ridges--Markham/Oak Ridges--Markham"," 33C","Richmond Hill",7,93,18,117,1,236,398
"Oak Ridges--Markham/Oak Ridges--Markham"," 34","Richmond Hill",20,117,19,161,0,317,516
"Oak Ridges--Markham/Oak Ridges--Markham"," 35","Richmond Hill",17,111,23,122,0,273,414
"Oak Ridges--Markham/Oak Ridges--Markham"," 36A","Richmond Hill",21,95,27,130,2,275,452
"Oak Ridges--Markham/Oak Ridges--Markham"," 36B","Richmond Hill",15,99,27,126,0,267,485
"Oak Ridges--Markham/Oak Ridges--Markham"," 36C","Richmond Hill",13,79,30,117,1,240,420
"Oak Ridges--Markham/Oak Ridges--Markham"," 36D","Richmond Hill",12,91,25,115,1,244,414
"Oak Ridges--Markham/Oak Ridges--Markham"," 37","Richmond Hill",29,134,31,180,0,374,535
