Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Cannis,Roxanne James,Dorothy Laxton,Andrew Strachan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Scarborough Centre/Scarborough-Centre"," 1","Scarborough",170,64,37,12,5,288,476
"Scarborough Centre/Scarborough-Centre"," 2","Scarborough",85,47,21,6,2,161,343
"Scarborough Centre/Scarborough-Centre"," 3","Scarborough",162,60,48,21,0,291,464
"Scarborough Centre/Scarborough-Centre"," 4","Scarborough",172,56,35,7,2,272,503
"Scarborough Centre/Scarborough-Centre"," 5","Scarborough",153,69,43,8,0,273,433
"Scarborough Centre/Scarborough-Centre"," 6","Scarborough",135,73,29,14,0,251,387
"Scarborough Centre/Scarborough-Centre"," 7","Scarborough",129,77,23,7,1,237,391
"Scarborough Centre/Scarborough-Centre"," 8","Scarborough",161,74,60,12,0,307,501
"Scarborough Centre/Scarborough-Centre"," 9","Scarborough",137,63,46,6,0,252,448
"Scarborough Centre/Scarborough-Centre"," 10A","Scarborough",141,51,24,4,1,221,433
"Scarborough Centre/Scarborough-Centre"," 10B","Scarborough",133,36,35,13,2,219,386
"Scarborough Centre/Scarborough-Centre"," 10C","Scarborough",154,30,24,4,0,212,377
"Scarborough Centre/Scarborough-Centre"," 11","Scarborough",Void/Supprimé,,,,,,
"Scarborough Centre/Scarborough-Centre"," 12A","Scarborough",113,39,29,5,1,187,403
"Scarborough Centre/Scarborough-Centre"," 12B","Scarborough",101,49,15,3,0,168,402
"Scarborough Centre/Scarborough-Centre"," 12C","Scarborough",119,50,19,3,1,192,358
"Scarborough Centre/Scarborough-Centre"," 12D","Scarborough",147,28,17,5,0,197,356
"Scarborough Centre/Scarborough-Centre"," 12E","Scarborough",139,35,32,5,1,212,440
"Scarborough Centre/Scarborough-Centre"," 12F","Scarborough",119,36,19,5,0,179,326
"Scarborough Centre/Scarborough-Centre"," 13","Scarborough",150,52,45,3,2,252,486
"Scarborough Centre/Scarborough-Centre"," 14","Scarborough",Void/Supprimé,,,,,,
"Scarborough Centre/Scarborough-Centre"," 15","Scarborough",Void/Supprimé,,,,,,
"Scarborough Centre/Scarborough-Centre"," 16","Scarborough",Void/Supprimé,,,,,,
"Scarborough Centre/Scarborough-Centre"," 17","Scarborough",135,28,38,7,1,209,447
"Scarborough Centre/Scarborough-Centre"," 18A","Scarborough",123,35,9,8,2,177,287
"Scarborough Centre/Scarborough-Centre"," 18B","Scarborough",114,30,12,1,4,161,295
"Scarborough Centre/Scarborough-Centre"," 19A","Scarborough",124,64,10,34,0,232,532
"Scarborough Centre/Scarborough-Centre"," 19B","Scarborough",217,90,34,6,1,348,623
"Scarborough Centre/Scarborough-Centre"," 20","Scarborough",Merged with No. 19B/Fusionné avec le nº 19B,,,,,,6
"Scarborough Centre/Scarborough-Centre"," 21","Scarborough",Void/Supprimé,,,,,,
"Scarborough Centre/Scarborough-Centre"," 22A","Scarborough",91,42,32,6,0,171,347
"Scarborough Centre/Scarborough-Centre"," 22B","Scarborough",91,42,18,5,0,156,306
"Scarborough Centre/Scarborough-Centre"," 23","Scarborough",125,75,28,9,2,239,376
"Scarborough Centre/Scarborough-Centre"," 24","Scarborough",154,82,35,7,0,278,430
"Scarborough Centre/Scarborough-Centre"," 25","Scarborough",108,67,29,8,3,215,360
"Scarborough Centre/Scarborough-Centre"," 26","Scarborough",144,48,32,11,0,235,377
"Scarborough Centre/Scarborough-Centre"," 27","Scarborough",118,57,34,10,1,220,375
"Scarborough Centre/Scarborough-Centre"," 28A","Scarborough",131,76,30,10,1,248,388
"Scarborough Centre/Scarborough-Centre"," 28B","Scarborough",33,25,24,3,6,91,289
"Scarborough Centre/Scarborough-Centre"," 29","Scarborough",93,65,15,7,0,180,332
"Scarborough Centre/Scarborough-Centre"," 30","Scarborough",108,59,21,8,1,197,334
"Scarborough Centre/Scarborough-Centre"," 31","Scarborough",110,43,36,18,0,207,325
"Scarborough Centre/Scarborough-Centre"," 32","Scarborough",129,80,31,12,1,253,376
"Scarborough Centre/Scarborough-Centre"," 33","Scarborough",110,69,18,6,1,204,330
"Scarborough Centre/Scarborough-Centre"," 34","Scarborough",129,72,24,9,1,235,357
"Scarborough Centre/Scarborough-Centre"," 35","Scarborough",117,61,22,6,0,206,356
"Scarborough Centre/Scarborough-Centre"," 36","Scarborough",146,78,38,10,2,274,436
"Scarborough Centre/Scarborough-Centre"," 37","Scarborough",101,76,41,12,0,230,372
"Scarborough Centre/Scarborough-Centre"," 38A","Scarborough",106,26,23,0,0,155,234
"Scarborough Centre/Scarborough-Centre"," 38B","Scarborough",77,46,25,5,1,154,228
"Scarborough Centre/Scarborough-Centre"," 39","Scarborough",127,70,40,12,1,250,459
"Scarborough Centre/Scarborough-Centre"," 40","Scarborough",91,65,36,13,1,206,330
"Scarborough Centre/Scarborough-Centre"," 41","Scarborough",141,71,38,6,0,256,432
"Scarborough Centre/Scarborough-Centre"," 42","Scarborough",150,74,41,10,0,275,438
"Scarborough Centre/Scarborough-Centre"," 43","Scarborough",124,55,36,5,4,224,388
"Scarborough Centre/Scarborough-Centre"," 44","Scarborough",101,39,18,2,0,160,304
"Scarborough Centre/Scarborough-Centre"," 45","Scarborough",Merged with No. 44/Fusionné avec le nº 44,,,,,,2
"Scarborough Centre/Scarborough-Centre"," 46","Scarborough",135,39,35,7,3,219,418
"Scarborough Centre/Scarborough-Centre"," 47","Scarborough",62,31,18,4,1,116,259
"Scarborough Centre/Scarborough-Centre"," 48","Scarborough",91,100,26,7,0,224,340
"Scarborough Centre/Scarborough-Centre"," 49","Scarborough",143,83,35,18,1,280,427
"Scarborough Centre/Scarborough-Centre"," 50","Scarborough",65,41,20,2,4,132,311
"Scarborough Centre/Scarborough-Centre"," 51","Scarborough",118,95,44,20,2,279,381
"Scarborough Centre/Scarborough-Centre"," 52","Scarborough",97,61,25,10,0,193,333
"Scarborough Centre/Scarborough-Centre"," 53","Scarborough",109,59,48,8,3,227,403
"Scarborough Centre/Scarborough-Centre"," 54","Scarborough",118,78,41,10,0,247,393
"Scarborough Centre/Scarborough-Centre"," 55","Scarborough",119,67,44,5,2,237,389
"Scarborough Centre/Scarborough-Centre"," 56A","Scarborough",107,20,14,0,4,145,288
"Scarborough Centre/Scarborough-Centre"," 56B","Scarborough",101,28,15,1,0,145,329
"Scarborough Centre/Scarborough-Centre"," 57","Scarborough",141,68,28,16,3,256,422
"Scarborough Centre/Scarborough-Centre"," 58","Scarborough",82,62,27,12,0,183,289
"Scarborough Centre/Scarborough-Centre"," 59","Scarborough",121,64,25,20,0,230,400
"Scarborough Centre/Scarborough-Centre"," 60","Scarborough",151,59,42,14,2,268,478
"Scarborough Centre/Scarborough-Centre"," 61","Scarborough",85,37,26,13,0,161,289
"Scarborough Centre/Scarborough-Centre"," 62","Scarborough",96,60,24,7,3,190,323
"Scarborough Centre/Scarborough-Centre"," 63","Scarborough",157,88,25,6,1,277,437
"Scarborough Centre/Scarborough-Centre"," 64","Scarborough",153,75,49,17,3,297,454
"Scarborough Centre/Scarborough-Centre"," 65","Scarborough",114,55,27,12,1,209,358
"Scarborough Centre/Scarborough-Centre"," 66","Scarborough",116,97,32,11,3,259,438
"Scarborough Centre/Scarborough-Centre"," 67","Scarborough",74,38,32,7,1,152,320
"Scarborough Centre/Scarborough-Centre"," 68","Scarborough",84,39,25,1,2,151,293
"Scarborough Centre/Scarborough-Centre"," 69","Scarborough",96,45,30,21,3,195,335
"Scarborough Centre/Scarborough-Centre"," 70","Scarborough",108,54,30,13,1,206,364
"Scarborough Centre/Scarborough-Centre"," 71","Scarborough",113,86,36,16,3,254,392
"Scarborough Centre/Scarborough-Centre"," 72","Scarborough",100,60,35,4,1,200,319
"Scarborough Centre/Scarborough-Centre"," 73","Scarborough",91,48,27,8,1,175,425
"Scarborough Centre/Scarborough-Centre"," 74","Scarborough",79,66,40,9,1,195,274
"Scarborough Centre/Scarborough-Centre"," 75","Scarborough",145,95,36,6,2,284,414
"Scarborough Centre/Scarborough-Centre"," 76","Scarborough",156,54,23,5,0,238,463
"Scarborough Centre/Scarborough-Centre"," 77","Scarborough",120,72,31,14,2,239,374
"Scarborough Centre/Scarborough-Centre"," 78","Scarborough",79,56,27,3,5,170,295
"Scarborough Centre/Scarborough-Centre"," 79","Scarborough",53,39,18,1,1,112,276
"Scarborough Centre/Scarborough-Centre"," 80","Scarborough",126,56,30,3,0,215,367
"Scarborough Centre/Scarborough-Centre"," 81","Scarborough",133,83,46,4,4,270,375
"Scarborough Centre/Scarborough-Centre"," 82","Scarborough",133,69,21,8,1,232,435
"Scarborough Centre/Scarborough-Centre"," 83A","Scarborough",134,39,27,8,1,209,338
"Scarborough Centre/Scarborough-Centre"," 83B","Scarborough",Merged with No. 86B/Fusionné avec le nº 86B,,,,,,126
"Scarborough Centre/Scarborough-Centre"," 84","Scarborough",87,26,16,1,1,131,274
"Scarborough Centre/Scarborough-Centre"," 85","Scarborough",88,63,31,6,2,190,340
"Scarborough Centre/Scarborough-Centre"," 86A","Scarborough",96,68,30,3,1,198,365
"Scarborough Centre/Scarborough-Centre"," 86B","Scarborough",58,27,8,3,2,98,211
"Scarborough Centre/Scarborough-Centre"," 87","Scarborough",135,35,42,3,0,215,469
"Scarborough Centre/Scarborough-Centre"," 88","Scarborough",76,30,28,4,2,140,343
"Scarborough Centre/Scarborough-Centre"," 89","Scarborough",74,66,34,9,2,185,326
