Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Philip Fernandez,Bill Graham,Michel Prairie,Lewis Reford,Michael Shapcott,Chris Tindal,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Toronto Centre/Toronto-Centre"," 1","Toronto",0,1,163,0,68,57,12,1,0,302,478
"Toronto Centre/Toronto-Centre"," 2","Toronto",0,1,130,0,103,40,17,0,1,292,453
"Toronto Centre/Toronto-Centre"," 3","Toronto",0,0,140,0,62,28,34,2,0,266,415
"Toronto Centre/Toronto-Centre"," 4","Toronto",0,0,109,0,104,17,19,0,0,249,399
"Toronto Centre/Toronto-Centre"," 5","Toronto",Merged with No. 6/Fusionné avec le nº 6,,,,,,,,,,119
"Toronto Centre/Toronto-Centre"," 6","Toronto",0,0,125,0,87,23,19,0,2,256,275
"Toronto Centre/Toronto-Centre"," 7","Toronto",0,0,125,0,83,34,14,0,0,256,381
"Toronto Centre/Toronto-Centre"," 8","Toronto",0,0,139,0,100,23,16,0,0,278,227
"Toronto Centre/Toronto-Centre"," 9","Toronto",Merged with No. 8/Fusionné avec le nº 8,,,,,,,,,,173
"Toronto Centre/Toronto-Centre"," 10","Toronto",0,0,93,0,110,27,25,0,0,255,392
"Toronto Centre/Toronto-Centre"," 11","Toronto",0,0,98,0,115,9,22,0,1,245,346
"Toronto Centre/Toronto-Centre"," 12","Toronto",0,0,97,0,132,9,11,0,0,249,385
"Toronto Centre/Toronto-Centre"," 13","Toronto",0,0,129,0,125,11,13,0,0,278,400
"Toronto Centre/Toronto-Centre"," 14","Toronto",0,1,113,0,110,34,26,0,0,284,460
"Toronto Centre/Toronto-Centre"," 15","Toronto",0,0,140,0,112,27,27,1,2,309,451
"Toronto Centre/Toronto-Centre"," 16","East York",0,0,109,0,92,13,17,0,0,231,331
"Toronto Centre/Toronto-Centre"," 17","Toronto",0,1,81,0,101,13,9,0,0,205,347
"Toronto Centre/Toronto-Centre"," 18","Toronto",0,0,98,0,147,10,14,1,1,271,401
"Toronto Centre/Toronto-Centre"," 19","Toronto",0,0,91,0,110,4,12,0,0,217,335
"Toronto Centre/Toronto-Centre"," 20","Toronto",0,0,86,0,68,11,9,0,0,174,329
"Toronto Centre/Toronto-Centre"," 21","Toronto",0,0,126,0,56,20,12,0,1,215,340
"Toronto Centre/Toronto-Centre"," 22","Toronto",0,0,81,0,67,17,9,0,1,175,316
"Toronto Centre/Toronto-Centre"," 23","Toronto",0,0,119,0,63,27,13,0,0,222,336
"Toronto Centre/Toronto-Centre"," 24","Toronto",0,1,75,0,72,19,15,0,0,182,290
"Toronto Centre/Toronto-Centre"," 25","Toronto",0,0,112,0,78,20,12,0,0,222,347
"Toronto Centre/Toronto-Centre"," 26A","Toronto",0,0,126,0,110,24,15,0,0,275,428
"Toronto Centre/Toronto-Centre"," 26B","Toronto",0,0,127,0,97,19,18,0,0,261,420
"Toronto Centre/Toronto-Centre"," 27","Toronto",0,0,106,2,73,34,13,0,1,229,415
"Toronto Centre/Toronto-Centre"," 28A","Toronto",0,0,217,0,117,69,18,0,0,421,757
"Toronto Centre/Toronto-Centre"," 28B","Mobile poll/Bureau itinérant",Merged with No. 68B/Fusionné avec le nº 68B,,,,,,,,,,96
"Toronto Centre/Toronto-Centre"," 29","Toronto",0,0,76,0,23,23,7,0,1,130,180
"Toronto Centre/Toronto-Centre"," 30","Toronto",0,0,119,0,70,34,24,1,1,249,395
"Toronto Centre/Toronto-Centre"," 31","Toronto",0,0,171,0,174,24,17,0,0,386,655
"Toronto Centre/Toronto-Centre"," 32","Toronto",0,0,104,0,33,15,12,0,0,164,256
"Toronto Centre/Toronto-Centre"," 33","Toronto",0,0,128,0,76,27,15,0,0,246,324
"Toronto Centre/Toronto-Centre"," 34","Toronto",0,0,189,0,91,37,10,0,0,327,561
"Toronto Centre/Toronto-Centre"," 35A","Toronto",1,0,97,0,42,40,8,0,0,188,390
"Toronto Centre/Toronto-Centre"," 35B","Toronto",1,0,123,0,45,49,12,0,0,230,385
"Toronto Centre/Toronto-Centre"," 36A","Toronto",0,0,154,0,67,56,24,0,1,302,464
"Toronto Centre/Toronto-Centre"," 36B","Toronto",0,0,65,0,29,13,3,0,0,110,315
"Toronto Centre/Toronto-Centre"," 36C","Mobile poll/Bureau itinérant",0,0,161,1,59,59,17,0,0,297,239
"Toronto Centre/Toronto-Centre"," 37","Toronto",3,0,123,0,47,27,5,0,2,207,297
