Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kren Clausen,Deborah Coyne,Al Hart,Jack Layton,Marcell Rodden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Toronto--Danforth/Toronto--Danforth"," 1","East York",42,100,14,93,0,1,250,391
"Toronto--Danforth/Toronto--Danforth"," 2","East York",44,124,27,117,1,1,314,473
"Toronto--Danforth/Toronto--Danforth"," 3","East York",35,112,20,109,0,0,276,441
"Toronto--Danforth/Toronto--Danforth"," 4","East York",27,105,12,86,0,3,233,386
"Toronto--Danforth/Toronto--Danforth"," 5","East York",22,92,17,100,3,5,239,404
"Toronto--Danforth/Toronto--Danforth"," 6","East York",30,103,9,86,1,3,232,410
"Toronto--Danforth/Toronto--Danforth"," 7","East York",35,91,22,65,2,1,216,410
"Toronto--Danforth/Toronto--Danforth"," 8","East York",23,101,5,78,0,1,208,319
"Toronto--Danforth/Toronto--Danforth"," 9","East York",20,51,8,67,0,1,147,253
"Toronto--Danforth/Toronto--Danforth"," 10","East York",40,75,7,53,0,0,175,276
"Toronto--Danforth/Toronto--Danforth"," 11","East York",23,105,11,99,1,0,239,448
"Toronto--Danforth/Toronto--Danforth"," 12","East York",27,89,6,93,0,3,218,451
"Toronto--Danforth/Toronto--Danforth"," 13","East York",18,75,11,43,0,0,147,242
"Toronto--Danforth/Toronto--Danforth"," 14","East York",18,39,6,37,0,0,100,204
"Toronto--Danforth/Toronto--Danforth"," 15","East York",19,48,6,65,0,2,140,300
"Toronto--Danforth/Toronto--Danforth"," 16A","East York",15,51,8,65,0,3,142,321
"Toronto--Danforth/Toronto--Danforth"," 16B","East York",23,55,7,68,1,1,155,330
"Toronto--Danforth/Toronto--Danforth"," 17","East York",26,89,8,85,3,0,211,432
"Toronto--Danforth/Toronto--Danforth"," 18","East York",25,84,20,88,2,0,219,373
"Toronto--Danforth/Toronto--Danforth"," 19","East York",39,104,18,74,0,2,237,431
"Toronto--Danforth/Toronto--Danforth"," 20","East York",46,103,17,71,1,2,240,403
"Toronto--Danforth/Toronto--Danforth"," 21","East York",43,99,30,104,1,1,278,427
"Toronto--Danforth/Toronto--Danforth"," 22","East York",42,116,16,76,1,0,251,380
"Toronto--Danforth/Toronto--Danforth"," 23","East York",43,90,22,94,0,1,250,375
"Toronto--Danforth/Toronto--Danforth"," 24","East York",56,85,16,98,0,0,255,426
"Toronto--Danforth/Toronto--Danforth"," 25","East York",51,101,12,96,0,1,261,401
"Toronto--Danforth/Toronto--Danforth"," 26","East York",17,84,14,102,4,2,223,326
