Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Chesnik,Joe Comartin,Bruck Easton,Rick Fuschi,Catherine Pluard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Windsor--Tecumseh/Windsor--Tecumseh"," 1","Windsor",0,68,55,36,10,0,169,334
"Windsor--Tecumseh/Windsor--Tecumseh"," 2","Windsor",0,59,26,14,2,0,101,302
"Windsor--Tecumseh/Windsor--Tecumseh"," 3","Windsor",2,71,18,18,6,1,116,241
"Windsor--Tecumseh/Windsor--Tecumseh"," 4","Windsor",0,54,19,14,2,1,90,258
"Windsor--Tecumseh/Windsor--Tecumseh"," 5","Windsor",2,63,32,19,9,3,128,381
"Windsor--Tecumseh/Windsor--Tecumseh"," 6","Windsor",0,71,24,28,5,5,133,313
"Windsor--Tecumseh/Windsor--Tecumseh"," 7","Windsor",1,111,26,26,3,2,169,483
"Windsor--Tecumseh/Windsor--Tecumseh"," 8","Windsor",0,69,34,19,1,1,124,306
"Windsor--Tecumseh/Windsor--Tecumseh"," 9","Windsor",0,80,57,34,19,0,190,346
"Windsor--Tecumseh/Windsor--Tecumseh"," 10","Windsor",2,84,15,26,5,1,133,343
"Windsor--Tecumseh/Windsor--Tecumseh"," 11","Windsor",3,65,43,33,10,0,154,312
"Windsor--Tecumseh/Windsor--Tecumseh"," 12","Windsor",0,82,40,36,25,0,183,380
"Windsor--Tecumseh/Windsor--Tecumseh"," 13","Windsor",2,73,41,21,4,3,144,335
"Windsor--Tecumseh/Windsor--Tecumseh"," 14","Windsor",2,98,51,44,17,2,214,596
"Windsor--Tecumseh/Windsor--Tecumseh"," 15","Windsor",1,11,15,6,0,0,33,133
"Windsor--Tecumseh/Windsor--Tecumseh"," 16","Windsor",0,67,33,27,10,1,138,370
"Windsor--Tecumseh/Windsor--Tecumseh"," 17","Windsor",1,108,66,40,11,1,227,404
"Windsor--Tecumseh/Windsor--Tecumseh"," 18","Windsor",0,99,93,69,11,0,272,418
"Windsor--Tecumseh/Windsor--Tecumseh"," 19","Windsor",2,84,34,25,9,0,154,343
"Windsor--Tecumseh/Windsor--Tecumseh"," 20","Windsor",2,107,63,47,9,4,232,459
"Windsor--Tecumseh/Windsor--Tecumseh"," 21","Windsor",0,74,50,46,2,1,173,297
"Windsor--Tecumseh/Windsor--Tecumseh"," 22","Windsor",2,97,31,31,10,0,171,331
"Windsor--Tecumseh/Windsor--Tecumseh"," 23","Windsor",0,41,16,29,4,1,91,231
"Windsor--Tecumseh/Windsor--Tecumseh"," 24","Windsor",0,74,28,49,9,1,161,363
"Windsor--Tecumseh/Windsor--Tecumseh"," 25","Windsor",1,69,32,37,12,0,151,306
"Windsor--Tecumseh/Windsor--Tecumseh"," 26","Windsor",0,87,26,20,2,0,135,320
"Windsor--Tecumseh/Windsor--Tecumseh"," 27","Windsor",0,72,13,11,5,0,101,265
"Windsor--Tecumseh/Windsor--Tecumseh"," 28","Windsor",2,99,34,38,10,1,184,426
"Windsor--Tecumseh/Windsor--Tecumseh"," 29","Windsor",2,120,119,71,3,0,315,485
"Windsor--Tecumseh/Windsor--Tecumseh"," 30A","Windsor",1,58,36,31,2,1,129,317
"Windsor--Tecumseh/Windsor--Tecumseh"," 30B","Windsor",0,58,34,39,2,2,135,320
"Windsor--Tecumseh/Windsor--Tecumseh"," 31","Windsor",Void/Supprimé,,,,,,,
"Windsor--Tecumseh/Windsor--Tecumseh"," 32","Windsor",1,51,42,36,8,0,138,294
"Windsor--Tecumseh/Windsor--Tecumseh"," 33","Windsor",3,50,32,41,5,0,131,268
"Windsor--Tecumseh/Windsor--Tecumseh"," 34","Windsor",0,76,30,43,5,2,156,402
"Windsor--Tecumseh/Windsor--Tecumseh"," 35","Windsor",0,102,33,41,9,0,185,340
"Windsor--Tecumseh/Windsor--Tecumseh"," 36","Windsor",0,92,46,36,2,0,176,342
"Windsor--Tecumseh/Windsor--Tecumseh"," 37A","Windsor",0,68,75,65,4,2,214,404
"Windsor--Tecumseh/Windsor--Tecumseh"," 37B","Windsor",0,43,73,52,5,1,174,439
"Windsor--Tecumseh/Windsor--Tecumseh"," 38","Windsor",Void/Supprimé,,,,,,,
"Windsor--Tecumseh/Windsor--Tecumseh"," 39","Windsor",0,73,80,61,8,2,224,400
"Windsor--Tecumseh/Windsor--Tecumseh"," 40","Windsor",0,58,61,75,10,1,205,342
"Windsor--Tecumseh/Windsor--Tecumseh"," 41","Windsor",1,96,43,35,11,1,187,362
"Windsor--Tecumseh/Windsor--Tecumseh"," 42","Windsor",0,113,61,47,13,2,236,385
"Windsor--Tecumseh/Windsor--Tecumseh"," 43","Windsor",0,110,36,49,5,0,200,331
"Windsor--Tecumseh/Windsor--Tecumseh"," 44","Windsor",0,99,46,39,7,0,191,334
"Windsor--Tecumseh/Windsor--Tecumseh"," 45","Windsor",3,124,66,59,26,2,280,449
"Windsor--Tecumseh/Windsor--Tecumseh"," 46","Windsor",0,104,37,45,11,0,197,360
"Windsor--Tecumseh/Windsor--Tecumseh"," 47","Windsor",2,90,51,27,5,0,175,259
"Windsor--Tecumseh/Windsor--Tecumseh"," 48","Windsor",2,81,41,35,6,1,166,276
"Windsor--Tecumseh/Windsor--Tecumseh"," 49","Windsor",4,101,96,62,4,1,268,395
"Windsor--Tecumseh/Windsor--Tecumseh"," 50","Windsor",0,41,38,46,3,0,128,272
"Windsor--Tecumseh/Windsor--Tecumseh"," 51","Windsor",0,83,61,51,4,3,202,360
"Windsor--Tecumseh/Windsor--Tecumseh"," 52","Windsor",0,89,61,60,10,1,221,408
"Windsor--Tecumseh/Windsor--Tecumseh"," 53","Windsor",0,86,27,41,10,0,164,350
"Windsor--Tecumseh/Windsor--Tecumseh"," 54","Windsor",0,83,55,54,5,0,197,387
"Windsor--Tecumseh/Windsor--Tecumseh"," 55","Windsor",0,104,89,74,10,1,278,406
"Windsor--Tecumseh/Windsor--Tecumseh"," 56","Windsor",0,76,39,56,5,0,176,357
"Windsor--Tecumseh/Windsor--Tecumseh"," 57","Windsor",0,65,52,40,4,0,161,320
"Windsor--Tecumseh/Windsor--Tecumseh"," 58","Windsor",1,88,71,55,1,1,217,376
"Windsor--Tecumseh/Windsor--Tecumseh"," 59","Windsor",0,103,74,42,12,2,233,420
"Windsor--Tecumseh/Windsor--Tecumseh"," 60","Windsor",1,185,85,65,13,2,351,569
"Windsor--Tecumseh/Windsor--Tecumseh"," 61","Windsor",0,124,51,27,11,3,216,347
"Windsor--Tecumseh/Windsor--Tecumseh"," 62","Windsor",1,94,56,40,9,0,200,372
"Windsor--Tecumseh/Windsor--Tecumseh"," 63","Windsor",0,96,52,60,7,0,215,349
"Windsor--Tecumseh/Windsor--Tecumseh"," 64","Windsor",1,98,52,49,7,0,207,302
"Windsor--Tecumseh/Windsor--Tecumseh"," 65","Windsor",0,90,48,47,6,0,191,322
"Windsor--Tecumseh/Windsor--Tecumseh"," 66","Windsor",1,80,51,34,6,1,173,297
"Windsor--Tecumseh/Windsor--Tecumseh"," 67A","Windsor",2,75,43,37,5,0,162,356
"Windsor--Tecumseh/Windsor--Tecumseh"," 67B","Windsor",0,92,31,32,2,1,158,357
"Windsor--Tecumseh/Windsor--Tecumseh"," 68A","Windsor",1,137,70,69,6,2,285,432
"Windsor--Tecumseh/Windsor--Tecumseh"," 68B","Windsor",0,73,79,70,9,0,231,372
"Windsor--Tecumseh/Windsor--Tecumseh"," 69","Windsor",0,93,55,52,4,0,204,368
"Windsor--Tecumseh/Windsor--Tecumseh"," 70","Windsor",1,65,44,42,6,0,158,239
"Windsor--Tecumseh/Windsor--Tecumseh"," 71","Windsor",1,45,12,8,3,0,69,127
"Windsor--Tecumseh/Windsor--Tecumseh"," 72","Windsor",1,74,36,50,6,0,167,305
"Windsor--Tecumseh/Windsor--Tecumseh"," 73","Windsor",0,123,54,68,13,0,258,399
"Windsor--Tecumseh/Windsor--Tecumseh"," 74","Windsor",1,128,90,63,12,3,297,509
"Windsor--Tecumseh/Windsor--Tecumseh"," 75","Windsor",0,108,58,51,4,0,221,422
"Windsor--Tecumseh/Windsor--Tecumseh"," 76","Windsor",0,115,60,63,4,0,242,415
"Windsor--Tecumseh/Windsor--Tecumseh"," 77","Windsor",0,95,39,40,3,0,177,388
"Windsor--Tecumseh/Windsor--Tecumseh"," 78","Windsor",0,94,20,38,8,0,160,314
"Windsor--Tecumseh/Windsor--Tecumseh"," 79","Windsor",0,65,21,23,9,1,119,252
"Windsor--Tecumseh/Windsor--Tecumseh"," 80","Windsor",0,138,18,43,4,0,203,451
"Windsor--Tecumseh/Windsor--Tecumseh"," 81","Windsor",1,94,24,24,4,0,147,271
"Windsor--Tecumseh/Windsor--Tecumseh"," 82","Windsor",1,89,36,36,13,0,175,388
"Windsor--Tecumseh/Windsor--Tecumseh"," 83","Windsor",0,87,79,79,3,0,248,464
"Windsor--Tecumseh/Windsor--Tecumseh"," 84","Windsor",3,48,50,49,4,1,155,277
"Windsor--Tecumseh/Windsor--Tecumseh"," 85","Windsor",0,91,20,42,5,0,158,293
"Windsor--Tecumseh/Windsor--Tecumseh"," 86","Windsor",1,111,89,99,10,3,313,596
"Windsor--Tecumseh/Windsor--Tecumseh"," 87","Windsor",0,76,95,64,8,1,244,487
"Windsor--Tecumseh/Windsor--Tecumseh"," 88","Windsor",1,107,75,97,7,0,287,595
"Windsor--Tecumseh/Windsor--Tecumseh"," 89","Windsor",1,58,36,79,4,0,178,384
"Windsor--Tecumseh/Windsor--Tecumseh"," 90A","Windsor",1,76,83,56,1,0,217,416
"Windsor--Tecumseh/Windsor--Tecumseh"," 90B","Windsor",0,73,76,75,6,3,233,425
"Windsor--Tecumseh/Windsor--Tecumseh"," 91A","Windsor",0,55,40,50,3,2,150,334
"Windsor--Tecumseh/Windsor--Tecumseh"," 91B","Windsor",1,74,56,44,6,1,182,346
"Windsor--Tecumseh/Windsor--Tecumseh"," 91C","Windsor",0,71,56,46,3,1,177,379
"Windsor--Tecumseh/Windsor--Tecumseh"," 92A","Windsor",0,56,42,57,5,0,160,321
"Windsor--Tecumseh/Windsor--Tecumseh"," 92B","Windsor",1,101,69,60,15,1,247,448
"Windsor--Tecumseh/Windsor--Tecumseh"," 92C","Windsor",1,80,57,52,7,3,200,387
"Windsor--Tecumseh/Windsor--Tecumseh"," 93","Windsor",0,126,38,35,8,1,208,375
"Windsor--Tecumseh/Windsor--Tecumseh"," 94","Windsor",0,109,35,31,6,1,182,315
"Windsor--Tecumseh/Windsor--Tecumseh"," 95","Windsor",2,131,35,22,2,1,193,355
"Windsor--Tecumseh/Windsor--Tecumseh"," 96","Windsor",8,102,45,47,1,0,203,378
