Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Fletcher,Mike Johannson,Dennis Kshyk,John Loewen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 1","Winnipeg",150,11,40,63,0,264,434
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 2","Winnipeg",100,10,54,87,3,254,437
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 3","Winnipeg",121,7,38,111,2,279,424
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 4","Winnipeg",95,8,40,51,0,194,373
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 5","Winnipeg",84,7,36,73,1,201,322
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 6","Winnipeg",103,3,32,57,0,195,323
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 7","Winnipeg",108,10,27,87,1,233,374
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 8","Winnipeg",97,7,36,85,0,225,380
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 9","Winnipeg",50,11,31,52,0,144,319
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 10","Winnipeg",96,5,32,61,1,195,353
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 11","Winnipeg",129,15,39,97,0,280,428
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 12","Winnipeg",97,7,44,79,0,227,326
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 13","Winnipeg",90,10,49,97,1,247,417
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 14","Winnipeg",95,8,39,80,0,222,388
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 15","Winnipeg",102,5,27,99,0,233,365
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 16","Winnipeg",70,8,42,72,0,192,388
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 17","Winnipeg",122,10,37,100,0,269,396
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 18","Winnipeg",93,7,43,85,1,229,378
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 19","Winnipeg",99,10,32,73,0,214,363
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 20A","Winnipeg",52,3,33,49,0,137,298
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 20B","Mobile poll/Bureau itinérant",Merged with No. 68B/Fusionné avec le nº 68B,,,,,,76
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 21","Winnipeg",48,7,32,41,1,129,294
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 22","Winnipeg",63,4,17,33,0,117,236
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 23","Winnipeg",107,7,37,86,1,238,426
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 24","Winnipeg",94,9,41,48,0,192,364
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 25","Winnipeg",98,8,33,93,0,232,399
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 26","Winnipeg",197,12,34,88,1,332,462
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 27A","Winnipeg",143,8,21,64,0,236,359
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 27B","Winnipeg",155,8,15,78,1,257,392
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 28","Winnipeg",182,6,13,111,2,314,470
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 29","Winnipeg",146,10,24,94,1,275,411
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 30","Winnipeg",111,14,27,77,2,231,389
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 31","Winnipeg",145,11,10,110,0,276,443
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 32","Winnipeg",95,12,47,68,2,224,356
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 33","Winnipeg",48,9,36,46,2,141,288
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 34","Winnipeg",105,6,11,83,1,206,340
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 35","Winnipeg",74,5,28,50,0,157,309
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 36","Winnipeg",72,9,17,40,0,138,274
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 37","Winnipeg",62,9,21,71,1,164,279
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 38","Winnipeg",95,15,32,85,0,227,405
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 39","Winnipeg",147,6,30,100,0,283,473
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 40","Winnipeg",149,18,31,136,1,335,529
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 41","Winnipeg",103,3,24,62,1,193,336
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 42","Winnipeg",79,9,32,86,0,206,453
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 43","Winnipeg",106,9,33,76,1,225,360
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 44","Winnipeg",102,16,28,63,0,209,360
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 45","Winnipeg",120,13,20,101,0,254,389
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 46","Winnipeg",137,15,41,71,0,264,393
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 47","Winnipeg",109,6,21,71,0,207,362
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 48","Winnipeg",113,10,30,97,0,250,392
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 49","Winnipeg",120,6,39,93,0,258,389
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 50","Winnipeg",136,12,33,66,0,247,393
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 51","Winnipeg",87,7,24,62,1,181,310
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 52","Winnipeg",153,14,31,108,1,307,470
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 53","Winnipeg",59,5,32,44,0,140,238
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 54","Winnipeg",146,10,55,103,0,314,553
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 55","Winnipeg",90,9,21,90,0,210,333
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 56","Winnipeg",122,9,32,82,1,246,375
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 57","Winnipeg",88,7,53,62,0,210,447
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 58","Winnipeg",90,14,47,95,1,247,377
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 59","Winnipeg",97,5,32,92,0,226,351
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 60","Winnipeg",71,9,24,50,0,154,301
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 61","Winnipeg",92,7,20,80,1,200,317
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 62","Winnipeg",71,3,37,61,2,174,321
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 63","Winnipeg",96,5,28,69,0,198,327
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 64","Winnipeg",95,14,46,73,1,229,408
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 65","Winnipeg",79,8,25,79,0,191,314
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 66","Winnipeg",102,8,45,87,1,243,483
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 67","Winnipeg",87,4,28,65,1,185,310
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 68A","Winnipeg",83,9,22,82,4,200,326
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 68B","Mobile poll/Bureau itinérant",69,2,11,52,5,139,141
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 69","Winnipeg",41,0,23,30,0,94,179
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 70","Winnipeg",96,7,34,73,1,211,404
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 71","Winnipeg",74,7,13,74,2,170,288
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 72","Winnipeg",113,9,28,59,0,209,471
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 73","Winnipeg",91,10,26,66,1,194,420
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 74","Winnipeg",94,13,25,69,0,201,328
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 75","Winnipeg",69,9,38,66,0,182,431
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 76","Winnipeg",68,5,31,55,1,160,405
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 77","Winnipeg",74,9,41,48,2,174,388
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 78","Winnipeg",106,7,23,113,3,252,366
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 79","Winnipeg",78,14,23,77,0,192,326
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 80","Winnipeg",98,7,33,81,1,220,342
"Charleswood--St. James--Assiniboia/Charleswood--St. James--Assiniboia"," 81","Winnipeg",125,4,37,101,3,270,410
