Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Howatt,Garry McLean,Brian Pallister,David Reimer,Daren Van Den Bussche,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Portage--Lisgar/Portage--Lisgar"," 1","Sidney",4,8,149,2,10,0,173,298
"Portage--Lisgar/Portage--Lisgar"," 2","Austin",4,8,190,9,13,1,225,414
"Portage--Lisgar/Portage--Lisgar"," 3","Austin",5,5,161,4,13,1,189,264
"Portage--Lisgar/Portage--Lisgar"," 4A","MacGregor",4,21,213,3,32,0,273,435
"Portage--Lisgar/Portage--Lisgar"," 4B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,21
"Portage--Lisgar/Portage--Lisgar"," 5","MacGregor",6,16,107,3,15,1,148,225
"Portage--Lisgar/Portage--Lisgar"," 6","Austin",0,10,179,4,17,0,210,359
"Portage--Lisgar/Portage--Lisgar"," 7","Bagot",4,10,134,4,6,0,158,251
"Portage--Lisgar/Portage--Lisgar"," 8","Worby",6,10,77,0,8,0,101,209
"Portage--Lisgar/Portage--Lisgar"," 9","Lavenham",8,3,129,2,15,2,159,287
"Portage--Lisgar/Portage--Lisgar"," 10","Macdonald",6,6,107,1,20,1,141,362
"Portage--Lisgar/Portage--Lisgar"," 11A","Oakland",7,14,118,7,26,1,173,368
"Portage--Lisgar/Portage--Lisgar"," 11B","Oakland",0,39,8,0,19,0,66,103
"Portage--Lisgar/Portage--Lisgar"," 12","High Bluff",1,9,99,3,20,0,132,333
"Portage--Lisgar/Portage--Lisgar"," 13","Poplar Point",7,26,49,1,30,0,113,186
"Portage--Lisgar/Portage--Lisgar"," 14","Edwin",2,6,61,0,14,0,83,147
"Portage--Lisgar/Portage--Lisgar"," 15","Edwin",0,230,9,0,5,0,244,532
"Portage--Lisgar/Portage--Lisgar"," 16","Edwin",2,9,46,1,2,0,60,185
"Portage--Lisgar/Portage--Lisgar"," 17","Curtis Park",5,13,80,3,28,0,129,220
"Portage--Lisgar/Portage--Lisgar"," 18","Curtis Park",0,12,71,2,16,1,102,185
"Portage--Lisgar/Portage--Lisgar"," 19","High Bluff",12,17,145,6,20,0,200,440
"Portage--Lisgar/Portage--Lisgar"," 20","Fort la Reine",8,28,101,9,27,1,174,317
"Portage--Lisgar/Portage--Lisgar"," 21","Curtis Park",7,30,162,7,60,0,266,512
"Portage--Lisgar/Portage--Lisgar"," 22","Newton",0,13,100,0,16,0,129,283
"Portage--Lisgar/Portage--Lisgar"," 23","Oakville",5,31,110,2,33,0,181,321
"Portage--Lisgar/Portage--Lisgar"," 24","Oakville",6,7,128,3,15,0,159,238
"Portage--Lisgar/Portage--Lisgar"," 25","Layland",3,9,132,3,8,0,155,411
"Portage--Lisgar/Portage--Lisgar"," 26","Portage la Prairie",3,25,93,2,52,1,176,427
"Portage--Lisgar/Portage--Lisgar"," 27","Portage la Prairie",3,27,127,6,52,0,215,380
"Portage--Lisgar/Portage--Lisgar"," 28","Portage la Prairie",12,34,100,3,54,1,204,411
"Portage--Lisgar/Portage--Lisgar"," 29","Portage la Prairie",5,33,97,7,51,0,193,385
"Portage--Lisgar/Portage--Lisgar"," 30","Portage la Prairie",8,17,68,2,52,1,148,374
"Portage--Lisgar/Portage--Lisgar"," 31","Portage la Prairie",4,3,5,6,10,4,32,386
"Portage--Lisgar/Portage--Lisgar"," 32","Portage la Prairie",1,29,112,6,59,0,207,437
"Portage--Lisgar/Portage--Lisgar"," 33","Portage la Prairie",1,39,72,1,42,0,155,398
"Portage--Lisgar/Portage--Lisgar"," 34","Portage la Prairie",9,24,89,6,47,0,175,444
"Portage--Lisgar/Portage--Lisgar"," 35","Portage la Prairie",5,32,95,13,31,0,176,387
"Portage--Lisgar/Portage--Lisgar"," 36","Portage la Prairie",3,31,85,6,43,0,168,361
"Portage--Lisgar/Portage--Lisgar"," 37","Portage la Prairie",7,33,91,5,35,0,171,343
"Portage--Lisgar/Portage--Lisgar"," 38","Portage la Prairie",4,11,68,0,31,1,115,294
"Portage--Lisgar/Portage--Lisgar"," 39","Portage la Prairie",8,18,91,1,39,0,157,330
"Portage--Lisgar/Portage--Lisgar"," 40","Portage la Prairie",10,28,135,3,36,1,213,406
"Portage--Lisgar/Portage--Lisgar"," 41","Portage la Prairie",15,39,116,7,38,0,215,370
"Portage--Lisgar/Portage--Lisgar"," 42","Portage la Prairie",19,32,82,4,60,0,197,455
"Portage--Lisgar/Portage--Lisgar"," 43","Portage la Prairie",8,20,88,2,36,1,155,332
"Portage--Lisgar/Portage--Lisgar"," 44","Portage la Prairie",12,34,88,6,40,0,180,365
"Portage--Lisgar/Portage--Lisgar"," 45","Portage la Prairie",8,37,140,9,39,3,236,477
"Portage--Lisgar/Portage--Lisgar"," 46A","Portage la Prairie",10,27,108,1,38,0,184,308
"Portage--Lisgar/Portage--Lisgar"," 46B","Portage la Prairie",13,17,105,0,36,0,171,268
"Portage--Lisgar/Portage--Lisgar"," 47","Portage la Prairie",14,29,124,1,34,0,202,336
"Portage--Lisgar/Portage--Lisgar"," 48","Portage la Prairie",6,21,107,0,38,0,172,312
"Portage--Lisgar/Portage--Lisgar"," 49","Portage la Prairie",10,26,117,2,31,0,186,314
"Portage--Lisgar/Portage--Lisgar"," 50","Portage la Prairie",10,40,124,4,36,0,214,357
"Portage--Lisgar/Portage--Lisgar"," 51","Reaburn",5,19,85,1,20,0,130,250
"Portage--Lisgar/Portage--Lisgar"," 52","Rosser",11,43,129,2,39,0,224,363
"Portage--Lisgar/Portage--Lisgar"," 53","St. François Xavier",12,42,84,1,30,0,169,265
"Portage--Lisgar/Portage--Lisgar"," 54","St. Eustache",13,50,156,2,46,0,267,446
"Portage--Lisgar/Portage--Lisgar"," 55","Elie",3,5,71,0,4,2,85,226
"Portage--Lisgar/Portage--Lisgar"," 56","Elie",9,53,163,5,35,1,266,443
"Portage--Lisgar/Portage--Lisgar"," 57","Lido Plage",10,14,106,5,26,0,161,317
"Portage--Lisgar/Portage--Lisgar"," 58","Dacotah",12,6,96,3,7,0,124,370
"Portage--Lisgar/Portage--Lisgar"," 59","Springstein",14,33,110,0,35,0,192,312
"Portage--Lisgar/Portage--Lisgar"," 60","Starbuck",26,29,188,3,31,1,278,471
"Portage--Lisgar/Portage--Lisgar"," 61","Ferndale",9,23,128,0,17,0,177,281
"Portage--Lisgar/Portage--Lisgar"," 62","Oak Bluff",13,14,111,8,25,0,171,322
"Portage--Lisgar/Portage--Lisgar"," 63","Sanford",21,55,229,5,63,1,374,571
"Portage--Lisgar/Portage--Lisgar"," 64A","Oak Bluff",6,41,134,0,25,2,208,310
"Portage--Lisgar/Portage--Lisgar"," 64B","Oak Bluff",9,25,151,1,31,0,217,313
"Portage--Lisgar/Portage--Lisgar"," 65A","La Salle",16,39,163,0,40,0,258,385
"Portage--Lisgar/Portage--Lisgar"," 65B","La Salle",13,45,144,4,54,1,261,396
"Portage--Lisgar/Portage--Lisgar"," 66","La Salle",20,66,225,6,55,3,375,568
"Portage--Lisgar/Portage--Lisgar"," 67","Brunkild",9,7,126,2,9,0,153,221
"Portage--Lisgar/Portage--Lisgar"," 68","Domain",6,10,92,1,13,0,122,165
"Portage--Lisgar/Portage--Lisgar"," 69","Cypress River",10,23,81,1,17,0,132,230
"Portage--Lisgar/Portage--Lisgar"," 70","Holland",6,12,84,3,17,1,123,196
"Portage--Lisgar/Portage--Lisgar"," 71","Holland",10,22,143,7,26,2,210,320
"Portage--Lisgar/Portage--Lisgar"," 72","Treherne",3,14,101,1,7,1,127,356
"Portage--Lisgar/Portage--Lisgar"," 73","Treherne",13,28,122,3,27,0,193,332
"Portage--Lisgar/Portage--Lisgar"," 74","Treherne",5,13,76,4,17,1,116,200
"Portage--Lisgar/Portage--Lisgar"," 75","Rathwell",19,23,158,3,22,1,226,421
"Portage--Lisgar/Portage--Lisgar"," 76","Notre-Dame-de-Lourdes",16,39,87,1,31,1,175,321
"Portage--Lisgar/Portage--Lisgar"," 77","Notre-Dame-de-Lourdes",14,107,101,4,36,2,264,425
"Portage--Lisgar/Portage--Lisgar"," 78","Bruxelles",11,16,104,7,16,0,154,207
"Portage--Lisgar/Portage--Lisgar"," 79","Mariapolis",9,12,76,5,10,2,114,171
"Portage--Lisgar/Portage--Lisgar"," 80","Swan Lake",0,119,27,0,15,1,162,271
"Portage--Lisgar/Portage--Lisgar"," 81","Swan Lake",10,21,110,2,38,0,181,262
"Portage--Lisgar/Portage--Lisgar"," 82","Somerset",6,21,69,6,37,2,141,271
"Portage--Lisgar/Portage--Lisgar"," 83","Somerset",9,49,92,2,41,0,193,278
"Portage--Lisgar/Portage--Lisgar"," 84","Saint-Léon",10,23,54,2,6,1,96,114
"Portage--Lisgar/Portage--Lisgar"," 85","Altamont",19,13,58,4,7,2,103,151
"Portage--Lisgar/Portage--Lisgar"," 86","St. Claude",6,26,44,2,27,0,105,150
"Portage--Lisgar/Portage--Lisgar"," 87","St. Claude",6,31,44,2,19,0,102,171
"Portage--Lisgar/Portage--Lisgar"," 88","St. Claude",7,64,100,6,47,0,224,396
"Portage--Lisgar/Portage--Lisgar"," 89","Haywood",7,43,103,7,20,1,181,284
"Portage--Lisgar/Portage--Lisgar"," 90","Elm Creek",5,4,164,4,6,1,184,313
"Portage--Lisgar/Portage--Lisgar"," 91","Elm Creek",10,22,214,18,31,0,295,497
"Portage--Lisgar/Portage--Lisgar"," 92","Fannystelle",5,7,67,2,19,0,100,157
"Portage--Lisgar/Portage--Lisgar"," 93","Roseisle",11,18,114,7,19,0,169,268
"Portage--Lisgar/Portage--Lisgar"," 94","Graysville",10,16,101,11,7,0,145,351
"Portage--Lisgar/Portage--Lisgar"," 95","Barnsley",11,6,118,39,13,0,187,291
"Portage--Lisgar/Portage--Lisgar"," 96","Carman",10,26,142,48,13,1,240,363
"Portage--Lisgar/Portage--Lisgar"," 97","Homewood",8,5,75,8,9,1,106,187
"Portage--Lisgar/Portage--Lisgar"," 98","Carman",12,34,138,8,25,0,217,368
"Portage--Lisgar/Portage--Lisgar"," 99","Carman",10,26,105,16,14,0,171,291
"Portage--Lisgar/Portage--Lisgar"," 100","Carman",13,29,87,22,20,0,171,291
"Portage--Lisgar/Portage--Lisgar"," 101","Carman",26,34,141,14,31,3,249,424
"Portage--Lisgar/Portage--Lisgar"," 102","Carman",16,27,177,20,36,1,277,469
"Portage--Lisgar/Portage--Lisgar"," 103","Carman",6,24,144,22,30,0,226,412
"Portage--Lisgar/Portage--Lisgar"," 104","Miami",13,12,158,1,17,0,201,410
"Portage--Lisgar/Portage--Lisgar"," 105","Miami",27,21,150,5,26,0,229,374
"Portage--Lisgar/Portage--Lisgar"," 106","Rosebank",3,1,69,0,2,0,75,147
"Portage--Lisgar/Portage--Lisgar"," 107","Roland",13,27,228,4,25,1,298,484
"Portage--Lisgar/Portage--Lisgar"," 108","Myrtle",1,2,43,1,3,0,50,79
"Portage--Lisgar/Portage--Lisgar"," 109","Pilot Mound",6,31,71,2,12,0,122,195
"Portage--Lisgar/Portage--Lisgar"," 110","Pilot Mound",7,28,78,4,21,0,138,253
"Portage--Lisgar/Portage--Lisgar"," 111","Crystal City",9,23,153,2,21,1,209,330
"Portage--Lisgar/Portage--Lisgar"," 112","Pilot Mound",10,14,129,2,18,1,174,277
"Portage--Lisgar/Portage--Lisgar"," 113","Clearwater ",18,6,77,2,7,0,110,185
"Portage--Lisgar/Portage--Lisgar"," 114","Crystal City",6,4,73,3,6,0,92,153
"Portage--Lisgar/Portage--Lisgar"," 115","La Rivière",17,18,128,5,26,1,195,324
"Portage--Lisgar/Portage--Lisgar"," 116","Snowflake",11,4,64,2,7,0,88,122
"Portage--Lisgar/Portage--Lisgar"," 117","Manitou",34,8,77,0,11,0,130,204
"Portage--Lisgar/Portage--Lisgar"," 118","Manitou",50,29,129,3,24,1,236,400
"Portage--Lisgar/Portage--Lisgar"," 119","Manitou",43,9,98,4,15,0,169,302
"Portage--Lisgar/Portage--Lisgar"," 120","Darlingford",25,6,119,1,25,0,176,314
"Portage--Lisgar/Portage--Lisgar"," 121","Darlingford",15,2,50,2,6,0,75,110
