Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Reg Alcock,Rod Bruinooge,Heidi Loewen-Steffano,Robert Page,Wesley Owen Whiteside,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Winnipeg South/Winnipeg-Sud"," 1A","Winnipeg",62,110,0,20,7,0,199,343
"Winnipeg South/Winnipeg-Sud"," 1B","Winnipeg",64,93,2,23,5,0,187,300
"Winnipeg South/Winnipeg-Sud"," 2A","Winnipeg",101,111,1,28,3,0,244,374
"Winnipeg South/Winnipeg-Sud"," 2B","Winnipeg",101,67,0,13,5,0,186,306
"Winnipeg South/Winnipeg-Sud"," 3","Winnipeg",146,126,2,14,6,1,295,500
"Winnipeg South/Winnipeg-Sud"," 4","Winnipeg",163,107,0,19,4,1,294,487
"Winnipeg South/Winnipeg-Sud"," 5","Winnipeg",104,109,2,36,8,1,260,436
"Winnipeg South/Winnipeg-Sud"," 6","Winnipeg",101,84,0,11,8,1,205,334
"Winnipeg South/Winnipeg-Sud"," 7","Winnipeg",88,90,2,6,6,0,192,289
"Winnipeg South/Winnipeg-Sud"," 8","Winnipeg",117,197,0,13,6,1,334,538
"Winnipeg South/Winnipeg-Sud"," 9","Winnipeg",107,138,1,12,9,0,267,450
"Winnipeg South/Winnipeg-Sud"," 10A","Winnipeg",148,166,3,33,6,0,356,514
"Winnipeg South/Winnipeg-Sud"," 10B","Winnipeg",139,152,4,21,10,0,326,475
"Winnipeg South/Winnipeg-Sud"," 11","Winnipeg",182,158,1,22,3,2,368,566
"Winnipeg South/Winnipeg-Sud"," 12","Winnipeg",136,105,0,11,16,1,269,373
"Winnipeg South/Winnipeg-Sud"," 13","Winnipeg",158,119,1,26,7,0,311,497
"Winnipeg South/Winnipeg-Sud"," 14","Winnipeg",113,83,0,14,9,1,220,346
"Winnipeg South/Winnipeg-Sud"," 15","Winnipeg",78,101,0,8,7,1,195,323
"Winnipeg South/Winnipeg-Sud"," 16A","Winnipeg",135,147,0,31,11,1,325,510
"Winnipeg South/Winnipeg-Sud"," 16B","Winnipeg",131,186,1,38,8,1,365,581
"Winnipeg South/Winnipeg-Sud"," 17","Winnipeg",81,109,1,34,4,0,229,372
"Winnipeg South/Winnipeg-Sud"," 18","Winnipeg",80,104,1,34,3,0,222,341
"Winnipeg South/Winnipeg-Sud"," 19","Winnipeg",99,117,2,40,4,0,262,395
"Winnipeg South/Winnipeg-Sud"," 20","Winnipeg",115,121,0,25,4,0,265,372
"Winnipeg South/Winnipeg-Sud"," 21","Winnipeg",129,181,0,17,4,0,331,519
