Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brett Dolter,Allyce Herle,Lorne Nystrom,Andrew Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 1","Kandahar",5,8,62,59,0,134,223
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 2","Wynyard",4,14,72,105,0,195,271
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 3","Elfros",6,18,50,116,0,190,333
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 4","Wynyard",2,13,82,65,0,162,318
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 5","Wynyard",3,15,52,38,1,109,222
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 6","Wynyard",5,12,53,63,0,133,260
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 7","Wynyard",5,39,146,163,2,355,746
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 8","Raymore",4,13,31,65,1,114,200
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 9","Raymore",3,11,48,72,1,135,191
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 10","Raymore",2,14,53,91,0,160,296
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 11","Poorman 88",3,258,30,6,0,297,374
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 12","Day Star 87",1,47,27,2,0,77,89
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 13","Punnichy",1,54,44,76,0,175,302
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 14","Wishart",2,6,30,86,0,124,214
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 15","Bankend",6,18,54,116,0,194,296
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 16","Serath",1,15,16,64,0,96,178
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 17","Gordon 86",2,206,87,3,0,298,340
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 18","Lestock",3,21,45,68,0,137,254
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 19","Muskowekwan 85",1,157,24,2,0,184,230
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 20","Leross",1,5,25,100,0,131,191
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 21","Kelliher",4,6,27,84,0,121,170
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 22","Kelliher",2,10,57,97,0,166,252
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 23","Ituna",2,12,12,114,0,140,243
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 24","Ituna",5,16,20,66,0,107,183
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 25","Ituna",4,32,28,106,1,171,326
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 26","Hubbard",5,12,15,101,0,133,207
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 27","Little Black Bear 84",Merged with No. 29/Fusionné avec le nº 29,,,,,,24
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 28","Star Blanket 83",0,52,19,3,3,77,113
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 29","Okanese 82",1,83,34,1,0,119,116
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 30","Peepeekisis 81",1,122,15,1,0,139,179
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 31","Southey",2,41,66,154,0,263,405
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 32","Southey",2,22,30,80,1,135,190
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 33","Markinch",2,24,34,103,0,163,245
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 34","Cupar",9,13,20,91,0,133,171
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 35","Cupar",6,17,21,69,0,113,202
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 36","Cupar",1,27,29,96,0,153,251
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 37","Dysart",14,23,47,115,1,200,275
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 38","Lipton",0,5,14,96,0,115,170
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 39","Lipton",8,23,47,114,1,193,268
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 40A","Fort San",17,25,51,123,0,216,523
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 40B","Fort San",2,123,13,6,0,144,197
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 41","Lebret",13,65,48,59,0,185,253
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 42","Fort Qu'Appelle",10,60,32,117,0,219,356
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 43","Fort Qu'Appelle",4,39,56,119,0,218,325
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 44","Fort Qu'Appelle",Void/Supprimé,,,,,,
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 45","Fort Qu'Appelle",2,69,83,70,0,224,395
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 46","Fort Qu'Appelle",8,49,53,75,0,185,307
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 47","Fort Qu'Appelle",14,80,57,84,2,237,469
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 48","Balcarres",5,36,40,126,0,207,428
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 49","Abernethy",5,35,13,167,1,221,303
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 50","Balcarres",8,41,35,121,1,206,388
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 51","Balcarres",5,37,8,71,0,121,181
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 52","Piapot 75",0,110,34,4,0,148,280
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 53","Muscowpetung 80",Void/Supprimé,,,,,,
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 54A","Edenwold",14,51,57,155,0,277,476
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 54B","Edenwold",0,73,10,2,0,85,88
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 55","Edgeley",11,9,36,85,0,141,193
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 55-1","Pasqua 79",0,89,28,1,0,118,127
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 56","Pilot Butte",19,75,125,175,0,394,713
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 57","Pilot Butte",8,30,65,87,0,190,310
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 58","Pilot Butte",23,67,107,169,0,366,630
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 59","Pilot Butte",9,24,61,64,2,160,275
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 60","White City",10,81,113,260,1,465,701
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 61","White City",10,75,84,223,0,392,564
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 62","White City",13,32,83,123,0,251,406
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 63","White City",8,31,61,83,1,184,294
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 64","Balgonie",13,58,87,235,0,393,556
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 65","Balgonie",48,55,114,217,1,435,691
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 66","Balgonie",15,43,63,109,0,230,317
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 67","McLean",10,19,81,144,0,254,393
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 68","Regina",9,56,96,77,1,239,394
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 69","Regina",15,40,86,75,1,217,367
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 70","Regina",7,46,104,104,0,261,429
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 71","Regina",9,40,74,55,1,179,319
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 72","Regina",5,36,86,65,1,193,336
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 73","Regina",10,55,92,91,0,248,434
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 74","Regina",9,46,83,63,1,202,377
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 75","Regina",5,55,77,79,0,216,321
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 76","Regina",5,61,88,74,1,229,358
