Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Axworthy,Don Cameron,Jim Maddin,Dale Sanders,Maurice Vellacott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 1","Mullingar",6,3,13,0,67,0,89,152
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 2","Mayfair",12,4,24,4,90,0,134,231
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 3","Pebble Baye",4,0,1,0,31,0,36,78
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 3-1","Pebble Baye",105,0,11,0,33,2,151,219
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 4","Parkside",19,2,16,1,102,0,140,236
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 5","Leask",6,0,27,0,81,0,114,218
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 6","Leask",29,3,27,0,123,0,182,460
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 7","Marcelin",41,2,41,2,71,0,157,307
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 8","Blaine Lake",48,2,34,2,82,1,169,377
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 9","Blaine Lake",21,3,5,0,88,0,117,196
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 10","Speers",19,8,31,3,100,1,162,308
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 11","Hafford",13,3,15,1,87,0,119,256
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 12","Hafford",20,9,49,1,88,1,168,306
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 13","Maymont",29,4,42,1,107,0,183,298
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 14","Radisson",28,2,21,0,138,0,189,285
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 15","Radisson",31,4,52,5,116,0,208,371
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 16","Borden",50,5,58,1,129,2,245,328
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 17","Langham",Merged with No. 18A/Fusionné avec le nº 18A,,,,,,,72
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 18A","Langham",28,8,54,3,147,1,241,304
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 18B","Langham",34,5,43,5,126,3,216,312
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 18C","Langham",21,5,49,3,112,1,191,278
"Saskatoon--Wanuskewin/Saskatoon--Wanuskewin"," 19","MacDowell",22,6,47,1,167,0,243,372
