Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neal Gray,Amarjit Grewal,Kate Harrington,Mike Lake,Kyle McLeod,Naomi Rankin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 1","Edmonton",22,30,5,156,3,0,1,217,471
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 2","Edmonton",Void/Supprimé,,,,,,,,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 3","Edmonton",Void/Supprimé,,,,,,,,
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 4","Edmonton",28,50,18,109,1,1,0,207,377
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 5","Edmonton",40,35,17,126,1,1,0,220,408
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 6","Edmonton",37,60,11,120,1,0,0,229,441
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 7","Edmonton",59,42,14,146,2,0,1,264,389
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 8","Edmonton",43,45,13,155,3,0,1,260,387
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 9","Edmonton",34,32,9,96,4,0,1,176,310
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 10","Edmonton",19,39,4,62,0,0,0,124,390
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 11","Edmonton",36,64,24,98,1,2,2,227,470
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 12","Edmonton",26,37,7,149,1,0,0,220,397
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 13","Edmonton",53,41,14,138,3,1,0,250,449
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 14","Edmonton",33,40,11,108,1,1,0,194,447
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 15","Edmonton",35,36,9,57,5,3,0,145,401
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 16","Edmonton",27,32,7,118,0,0,1,185,412
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 17","Edmonton",43,39,7,91,2,0,1,183,369
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 18","Edmonton",36,33,13,119,0,0,0,201,346
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 19","Edmonton",46,55,10,140,6,0,1,258,477
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 20","Edmonton",23,26,8,99,1,0,1,158,314
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 21","Edmonton",26,34,7,111,2,0,0,180,364
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 22","Edmonton",35,36,4,84,2,0,0,161,289
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 23","Edmonton",33,43,12,121,2,0,1,212,339
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 24","Edmonton",66,34,9,157,1,0,0,267,382
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 25","Edmonton",32,31,13,163,2,0,0,241,415
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 26","Edmonton",37,23,10,130,1,0,2,203,331
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 27","Edmonton",31,29,17,140,2,0,1,220,360
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 28","Edmonton",33,54,12,120,3,1,1,224,386
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 29","Edmonton",30,59,10,114,3,1,0,217,421
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 30","Edmonton",38,32,16,126,2,0,0,214,418
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 31","Edmonton",29,45,9,114,2,0,0,199,406
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 32","Edmonton",29,48,9,78,1,1,1,167,319
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 33","Edmonton",27,39,12,68,2,0,1,149,393
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 34","Edmonton",45,58,8,131,1,1,0,244,474
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 35","Edmonton",49,53,15,125,5,1,0,248,470
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 36","Edmonton",50,58,9,148,2,0,1,268,457
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 37","Edmonton",32,46,14,135,3,1,1,232,409
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 38","Edmonton",32,46,12,146,1,2,1,240,403
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 39","Edmonton",40,38,12,104,2,2,0,198,387
"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 40","Edmonton",32,59,6,84,0,0,1,182,321
