Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laurie Hawn,Donna Martyn,Anne McLellan,Peggy Morton,David J. Parker,Chandra Segaran Swamy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton Centre/Edmonton-Centre"," 1","Edmonton",117,27,60,0,5,0,0,209,401
"Edmonton Centre/Edmonton-Centre"," 2","Edmonton",115,21,71,0,8,1,0,216,467
"Edmonton Centre/Edmonton-Centre"," 3","Edmonton",74,22,57,1,8,0,0,162,376
"Edmonton Centre/Edmonton-Centre"," 4","Edmonton",138,26,104,0,17,0,1,286,445
"Edmonton Centre/Edmonton-Centre"," 5","Edmonton",90,18,54,0,9,0,0,171,323
"Edmonton Centre/Edmonton-Centre"," 6","Edmonton",108,38,65,0,6,2,1,220,384
"Edmonton Centre/Edmonton-Centre"," 7","Edmonton",81,21,47,0,14,1,3,167,302
"Edmonton Centre/Edmonton-Centre"," 8","Edmonton",133,24,83,0,5,2,0,247,437
"Edmonton Centre/Edmonton-Centre"," 9","Edmonton",113,24,62,1,8,0,0,208,389
"Edmonton Centre/Edmonton-Centre"," 10","Edmonton",41,24,59,1,9,0,1,135,326
"Edmonton Centre/Edmonton-Centre"," 11","Edmonton",124,39,67,0,10,0,1,241,383
"Edmonton Centre/Edmonton-Centre"," 12","Edmonton",87,23,49,0,10,0,0,169,340
"Edmonton Centre/Edmonton-Centre"," 13","Edmonton",74,18,38,0,15,1,1,147,318
"Edmonton Centre/Edmonton-Centre"," 14","Edmonton",72,27,54,0,18,0,0,171,395
"Edmonton Centre/Edmonton-Centre"," 15","Edmonton",125,46,79,2,13,0,2,267,443
"Edmonton Centre/Edmonton-Centre"," 16","Edmonton",102,31,76,0,16,0,1,226,421
"Edmonton Centre/Edmonton-Centre"," 17","Edmonton",120,24,112,0,14,0,1,271,455
"Edmonton Centre/Edmonton-Centre"," 18","Edmonton",49,20,48,0,10,1,0,128,357
"Edmonton Centre/Edmonton-Centre"," 19A","Edmonton",79,24,84,0,13,3,0,203,344
"Edmonton Centre/Edmonton-Centre"," 19B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,,52
"Edmonton Centre/Edmonton-Centre"," 20","Edmonton",70,32,71,0,12,1,0,186,461
"Edmonton Centre/Edmonton-Centre"," 21","Edmonton",81,26,59,0,9,1,2,178,427
"Edmonton Centre/Edmonton-Centre"," 22","Edmonton",88,19,84,0,21,1,0,213,340
"Edmonton Centre/Edmonton-Centre"," 23","Edmonton",47,21,55,0,20,0,0,143,312
"Edmonton Centre/Edmonton-Centre"," 24","Edmonton",70,15,80,0,8,1,1,175,349
"Edmonton Centre/Edmonton-Centre"," 25","Edmonton",81,20,98,2,19,1,0,221,364
"Edmonton Centre/Edmonton-Centre"," 26","Edmonton",71,37,60,1,11,2,0,182,429
"Edmonton Centre/Edmonton-Centre"," 27","Edmonton",76,23,72,0,13,0,2,186,339
"Edmonton Centre/Edmonton-Centre"," 28","Edmonton",88,26,77,1,8,2,0,202,353
"Edmonton Centre/Edmonton-Centre"," 29","Edmonton",120,17,133,0,10,1,3,284,354
"Edmonton Centre/Edmonton-Centre"," 30","Edmonton",75,19,68,1,7,0,0,170,332
"Edmonton Centre/Edmonton-Centre"," 31","Edmonton",57,32,40,1,16,0,0,146,275
"Edmonton Centre/Edmonton-Centre"," 32","Edmonton",76,0,80,0,11,0,1,168,329
"Edmonton Centre/Edmonton-Centre"," 33","Edmonton",80,28,64,0,13,1,0,186,420
"Edmonton Centre/Edmonton-Centre"," 34","Edmonton",107,22,46,0,11,0,0,186,326
"Edmonton Centre/Edmonton-Centre"," 35","Edmonton",112,28,59,0,9,0,1,209,401
"Edmonton Centre/Edmonton-Centre"," 36","Edmonton",50,13,50,1,8,3,0,125,352
"Edmonton Centre/Edmonton-Centre"," 37","Edmonton",59,12,19,0,7,0,0,97,216
"Edmonton Centre/Edmonton-Centre"," 38","Edmonton",79,32,60,1,9,2,0,183,418
"Edmonton Centre/Edmonton-Centre"," 39","Edmonton",79,30,37,0,8,1,0,155,336
