Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,Robert Peter Kratchmer,Len Legault,Brian Rozmahel,Blaine William Stephan,Duff Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vegreville--Wainwright/Vegreville--Wainwright"," 1","Scotford",169,2,23,15,0,8,0,217,372
"Vegreville--Wainwright/Vegreville--Wainwright"," 2","Griesbach",158,0,13,16,0,25,0,212,330
"Vegreville--Wainwright/Vegreville--Wainwright"," 3","Josephburg",139,1,20,21,0,30,0,211,322
"Vegreville--Wainwright/Vegreville--Wainwright"," 4","Sandy Beach",211,1,41,28,1,27,1,310,513
"Vegreville--Wainwright/Vegreville--Wainwright"," 5","Ardrossan",205,1,33,14,3,22,0,278,436
"Vegreville--Wainwright/Vegreville--Wainwright"," 6","Ardrossan",209,1,58,33,4,19,1,325,529
"Vegreville--Wainwright/Vegreville--Wainwright"," 7","Ardrossan",203,0,61,15,3,29,0,311,522
"Vegreville--Wainwright/Vegreville--Wainwright"," 8","Ardrossan",223,0,46,24,0,34,0,327,511
"Vegreville--Wainwright/Vegreville--Wainwright"," 9","Ardrossan",277,1,36,20,0,27,0,361,528
"Vegreville--Wainwright/Vegreville--Wainwright"," 10","Ardrossan",239,0,39,21,1,31,1,332,569
"Vegreville--Wainwright/Vegreville--Wainwright"," 11","Ardrossan",219,0,53,37,1,24,0,334,580
"Vegreville--Wainwright/Vegreville--Wainwright"," 12","Ardrossan",108,1,14,11,0,2,0,136,200
"Vegreville--Wainwright/Vegreville--Wainwright"," 13","Ardrossan",258,2,35,25,5,25,0,350,515
"Vegreville--Wainwright/Vegreville--Wainwright"," 14","Ardrossan",160,0,35,12,2,22,0,231,362
"Vegreville--Wainwright/Vegreville--Wainwright"," 15","Ardrossan",202,0,34,19,2,16,1,274,424
"Vegreville--Wainwright/Vegreville--Wainwright"," 16","Ardrossan",151,1,26,15,0,25,1,219,360
"Vegreville--Wainwright/Vegreville--Wainwright"," 17","Wyeclif",227,0,45,24,2,27,0,325,537
"Vegreville--Wainwright/Vegreville--Wainwright"," 18","Wyeclif",222,1,34,15,3,44,0,319,492
"Vegreville--Wainwright/Vegreville--Wainwright"," 19","Whitecroft",156,0,21,13,0,35,0,225,421
"Vegreville--Wainwright/Vegreville--Wainwright"," 20","Whitecroft",149,0,19,21,1,15,0,205,343
"Vegreville--Wainwright/Vegreville--Wainwright"," 21","Whitecroft",205,1,33,16,1,27,0,283,446
"Vegreville--Wainwright/Vegreville--Wainwright"," 22","Whitecroft",213,2,43,19,2,16,0,295,453
"Vegreville--Wainwright/Vegreville--Wainwright"," 23A","North Cooking Lake",99,0,25,15,0,15,0,154,280
"Vegreville--Wainwright/Vegreville--Wainwright"," 23B","North Cooking Lake",98,1,30,15,0,12,0,156,309
"Vegreville--Wainwright/Vegreville--Wainwright"," 24","Cooking Lake",195,0,37,28,0,25,0,285,501
"Vegreville--Wainwright/Vegreville--Wainwright"," 25","Cooking Lake",220,1,35,17,0,43,0,316,504
"Vegreville--Wainwright/Vegreville--Wainwright"," 26","Cooking Lake",131,0,33,20,4,16,0,204,364
"Vegreville--Wainwright/Vegreville--Wainwright"," 27","Cooking Lake",158,0,17,11,4,19,0,209,397
"Vegreville--Wainwright/Vegreville--Wainwright"," 28","Bretona",214,0,21,20,0,28,0,283,534
"Vegreville--Wainwright/Vegreville--Wainwright"," 29","Bretona",147,0,19,17,0,13,0,196,359
"Vegreville--Wainwright/Vegreville--Wainwright"," 30","Bretona",161,0,19,14,0,13,0,207,305
"Vegreville--Wainwright/Vegreville--Wainwright"," 31","Cooking Lake",165,0,20,16,0,31,0,232,387
"Vegreville--Wainwright/Vegreville--Wainwright"," 32A","Cooking Lake",142,1,19,11,1,33,0,207,360
"Vegreville--Wainwright/Vegreville--Wainwright"," 32B","Cooking Lake",148,0,14,10,1,20,0,193,343
"Vegreville--Wainwright/Vegreville--Wainwright"," 33","Cooking Lake",262,0,56,43,1,25,2,389,601
"Vegreville--Wainwright/Vegreville--Wainwright"," 34","Cooking Lake",132,0,24,14,2,13,0,185,285
"Vegreville--Wainwright/Vegreville--Wainwright"," 35","Ministik Lake",240,0,52,36,1,29,1,359,515
"Vegreville--Wainwright/Vegreville--Wainwright"," 36A","Deville",125,1,29,20,0,21,0,196,339
"Vegreville--Wainwright/Vegreville--Wainwright"," 36B","Deville",139,1,32,14,1,13,0,200,326
"Vegreville--Wainwright/Vegreville--Wainwright"," 37","Skaro",115,3,14,12,1,8,0,153,285
"Vegreville--Wainwright/Vegreville--Wainwright"," 38","Andrew",116,4,32,9,0,16,0,177,376
"Vegreville--Wainwright/Vegreville--Wainwright"," 39","Andrew",75,0,18,8,0,11,1,113,181
"Vegreville--Wainwright/Vegreville--Wainwright"," 40","Andrew",89,1,33,10,0,14,0,147,253
"Vegreville--Wainwright/Vegreville--Wainwright"," 41","Andrew",85,1,15,9,1,10,0,121,217
"Vegreville--Wainwright/Vegreville--Wainwright"," 42","St. Michael",118,1,19,15,2,10,0,165,240
"Vegreville--Wainwright/Vegreville--Wainwright"," 43","Beaverhill",145,0,15,18,1,5,0,184,294
"Vegreville--Wainwright/Vegreville--Wainwright"," 44A","Bruderheim",160,2,39,19,1,32,0,253,439
"Vegreville--Wainwright/Vegreville--Wainwright"," 44B","Bruderheim",152,2,34,17,1,22,0,228,402
"Vegreville--Wainwright/Vegreville--Wainwright"," 45","Bruderheim",Void/Supprimé,,,,,,,,
"Vegreville--Wainwright/Vegreville--Wainwright"," 46A","Lamont",163,3,26,16,1,24,0,233,490
"Vegreville--Wainwright/Vegreville--Wainwright"," 46B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,2
"Vegreville--Wainwright/Vegreville--Wainwright"," 47","Lamont",149,0,21,5,0,17,1,193,339
"Vegreville--Wainwright/Vegreville--Wainwright"," 48","Lamont",186,1,31,16,0,34,0,268,440
"Vegreville--Wainwright/Vegreville--Wainwright"," 49","Beaverhill",121,0,9,15,1,24,0,170,244
"Vegreville--Wainwright/Vegreville--Wainwright"," 50","Delph",153,2,31,14,6,19,0,225,305
"Vegreville--Wainwright/Vegreville--Wainwright"," 51","Chipman",156,4,32,30,1,13,0,236,418
"Vegreville--Wainwright/Vegreville--Wainwright"," 52","Mundare",163,2,16,13,0,19,2,215,297
"Vegreville--Wainwright/Vegreville--Wainwright"," 53","Mundare",235,0,38,22,2,35,1,333,570
"Vegreville--Wainwright/Vegreville--Wainwright"," 54","Mundare",142,2,31,9,0,24,0,208,351
