Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard De Smet,Werner Gisler,Cory Ollikka,Peter Opryshko,Clarence Schultz,Brian Storseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Westlock--St. Paul/Westlock--St. Paul"," 1","Jarvie",8,1,14,8,3,208,0,242,457
"Westlock--St. Paul/Westlock--St. Paul"," 2","Fawcett",5,0,13,10,2,143,0,173,246
"Westlock--St. Paul/Westlock--St. Paul"," 3","Larkspur",12,2,20,25,2,145,1,207,363
"Westlock--St. Paul/Westlock--St. Paul"," 4","Jarvie",Void/Supprimé,,,,,,,,
"Westlock--St. Paul/Westlock--St. Paul"," 5","Shoal Creek",2,0,4,3,0,77,1,87,126
"Westlock--St. Paul/Westlock--St. Paul"," 6","Pembina Heights",11,4,8,11,3,210,0,247,392
"Westlock--St. Paul/Westlock--St. Paul"," 7","Pibroch",15,0,18,14,2,129,0,178,324
"Westlock--St. Paul/Westlock--St. Paul"," 8","Tawatinaw",11,1,12,7,1,154,0,186,315
"Westlock--St. Paul/Westlock--St. Paul"," 9","Clyde",Void/Supprimé,,,,,,,,
"Westlock--St. Paul/Westlock--St. Paul"," 10","Westlock",5,1,15,9,2,174,0,206,401
"Westlock--St. Paul/Westlock--St. Paul"," 10-1A","Clyde",11,0,12,15,5,109,1,153,290
"Westlock--St. Paul/Westlock--St. Paul"," 10-1B","Clyde",8,3,15,17,0,111,1,155,264
"Westlock--St. Paul/Westlock--St. Paul"," 11","Westlock",10,1,21,17,1,219,1,270,424
"Westlock--St. Paul/Westlock--St. Paul"," 12","Westlock",9,1,21,24,3,135,0,193,310
"Westlock--St. Paul/Westlock--St. Paul"," 13","Westlock",8,1,8,21,2,124,0,164,402
"Westlock--St. Paul/Westlock--St. Paul"," 14","Westlock",11,4,35,34,6,180,1,271,559
"Westlock--St. Paul/Westlock--St. Paul"," 15","Westlock",5,1,23,31,2,201,0,263,474
"Westlock--St. Paul/Westlock--St. Paul"," 16","Westlock",15,2,36,17,6,144,1,221,468
"Westlock--St. Paul/Westlock--St. Paul"," 17","Westlock",11,0,20,15,2,116,1,165,458
"Westlock--St. Paul/Westlock--St. Paul"," 18","Westlock",4,1,17,15,4,135,0,176,364
"Westlock--St. Paul/Westlock--St. Paul"," 19","Westlock",7,0,27,11,6,146,0,197,364
"Westlock--St. Paul/Westlock--St. Paul"," 20","Pibroch",2,0,13,16,3,189,1,224,337
"Westlock--St. Paul/Westlock--St. Paul"," 21","Pickardville",23,3,25,21,5,248,0,325,491
"Westlock--St. Paul/Westlock--St. Paul"," 22","Vimy",11,1,30,32,1,144,0,219,356
"Westlock--St. Paul/Westlock--St. Paul"," 23","Waugh",20,0,20,26,3,115,0,184,318
"Westlock--St. Paul/Westlock--St. Paul"," 24","Busby",14,2,21,20,3,179,0,239,368
"Westlock--St. Paul/Westlock--St. Paul"," 25","Manawan Lake",10,2,9,9,1,71,0,102,171
"Westlock--St. Paul/Westlock--St. Paul"," 26","Legal",22,1,32,22,1,138,1,217,365
"Westlock--St. Paul/Westlock--St. Paul"," 27","Legal",32,1,46,44,0,244,2,369,686
"Westlock--St. Paul/Westlock--St. Paul"," 28","Legal",20,0,24,20,1,138,0,203,310
"Westlock--St. Paul/Westlock--St. Paul"," 29","Alcomdale",10,1,14,21,1,178,2,227,310
"Westlock--St. Paul/Westlock--St. Paul"," 30","Alexander 134",3,1,170,6,0,5,2,187,469
"Westlock--St. Paul/Westlock--St. Paul"," 31","Rivière Qui Barre",6,1,28,28,3,268,0,334,462
"Westlock--St. Paul/Westlock--St. Paul"," 32","Peavey",15,4,33,20,7,204,0,283,511
"Westlock--St. Paul/Westlock--St. Paul"," 33","Morinville",12,2,30,17,3,112,0,176,396
"Westlock--St. Paul/Westlock--St. Paul"," 34","Morinville",8,1,30,28,1,125,0,193,400
"Westlock--St. Paul/Westlock--St. Paul"," 35","Morinville",23,0,47,51,4,236,0,361,574
"Westlock--St. Paul/Westlock--St. Paul"," 36","Morinville",9,0,21,34,0,131,0,195,369
"Westlock--St. Paul/Westlock--St. Paul"," 37","Morinville",19,1,61,56,4,256,1,398,726
"Westlock--St. Paul/Westlock--St. Paul"," 38","Morinville",17,0,38,50,5,174,0,284,497
"Westlock--St. Paul/Westlock--St. Paul"," 39","Morinville",10,0,35,28,2,141,1,217,429
"Westlock--St. Paul/Westlock--St. Paul"," 40","Morinville",11,0,26,37,1,176,0,251,462
