Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Noel Lapierre,Nancy Love,Rob Merrifield,Monika Schaefer,John Marvin Wierenga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Yellowhead/Yellowhead"," 1","Fox Creek",6,53,15,1,0,0,75,96
"Yellowhead/Yellowhead"," 2","Grande Cache",26,23,106,10,4,0,169,314
"Yellowhead/Yellowhead"," 3","Grande Cache",31,12,94,5,0,0,142,253
"Yellowhead/Yellowhead"," 4","Grande Cache",42,18,79,14,4,0,157,317
"Yellowhead/Yellowhead"," 5","Grande Cache",20,7,77,6,2,0,112,241
"Yellowhead/Yellowhead"," 6","Grande Cache",24,12,59,8,0,0,103,242
"Yellowhead/Yellowhead"," 7","Grande Cache",18,25,111,12,5,0,171,600
"Yellowhead/Yellowhead"," 8","Grande Cache",20,24,76,8,5,0,133,282
"Yellowhead/Yellowhead"," 9","Grande Cache",24,22,117,12,1,1,177,293
"Yellowhead/Yellowhead"," 10","Fox Creek",12,7,68,8,1,0,96,235
"Yellowhead/Yellowhead"," 11","Fox Creek",Void/Supprimé,,,,,,,
"Yellowhead/Yellowhead"," 12","Fox Creek",12,11,85,5,2,0,115,250
"Yellowhead/Yellowhead"," 13","Fox Creek",18,15,152,15,1,0,201,380
"Yellowhead/Yellowhead"," 14","Fox Creek",13,18,220,14,3,0,268,606
"Yellowhead/Yellowhead"," 15","Swan Hills",13,7,109,10,1,0,140,247
"Yellowhead/Yellowhead"," 16","Swan Hills",7,6,64,4,2,0,83,207
"Yellowhead/Yellowhead"," 17","Swan Hills",16,11,113,6,3,0,149,407
"Yellowhead/Yellowhead"," 18","Swan Hills",17,11,105,12,4,0,149,251
"Yellowhead/Yellowhead"," 19","Windfall",15,10,123,8,1,0,157,342
"Yellowhead/Yellowhead"," 20","Lone Pine",20,7,83,13,3,0,126,216
"Yellowhead/Yellowhead"," 21","Freeman River",13,18,133,16,7,0,187,311
"Yellowhead/Yellowhead"," 22","Blue Ridge",5,11,135,5,3,0,159,293
"Yellowhead/Yellowhead"," 23","Connor Creek",15,12,187,12,3,0,229,334
"Yellowhead/Yellowhead"," 24","Green Court",11,12,133,11,2,0,169,272
"Yellowhead/Yellowhead"," 25","Lonira",18,17,190,5,2,1,233,469
"Yellowhead/Yellowhead"," 26","Anselmo",3,0,9,0,0,0,12,357
"Yellowhead/Yellowhead"," 27","Carrot Creek",10,14,184,13,3,0,224,342
"Yellowhead/Yellowhead"," 28","Whitecourt",9,8,38,3,0,0,58,246
"Yellowhead/Yellowhead"," 29","Whitecourt",12,18,116,12,0,0,158,402
"Yellowhead/Yellowhead"," 30","Whitecourt",18,11,100,8,0,0,137,350
"Yellowhead/Yellowhead"," 31","Whitecourt",16,10,81,5,1,1,114,287
"Yellowhead/Yellowhead"," 32","Whitecourt",12,13,123,10,1,0,159,347
"Yellowhead/Yellowhead"," 33","Whitecourt",10,12,78,13,1,0,114,336
"Yellowhead/Yellowhead"," 34","Whitecourt",14,3,75,7,0,0,99,395
"Yellowhead/Yellowhead"," 35","Whitecourt",11,6,64,6,0,0,87,332
"Yellowhead/Yellowhead"," 36","Whitecourt",10,8,108,3,2,0,131,399
"Yellowhead/Yellowhead"," 36-1","Whitecourt",23,17,177,8,0,0,225,552
"Yellowhead/Yellowhead"," 37","Whitecourt",6,9,70,4,0,0,89,327
"Yellowhead/Yellowhead"," 38","Whitecourt",21,20,212,16,4,0,273,441
"Yellowhead/Yellowhead"," 39","Whitecourt",10,10,106,8,4,0,138,419
"Yellowhead/Yellowhead"," 40","Whitecourt",24,8,125,13,2,0,172,432
"Yellowhead/Yellowhead"," 41","Whitecourt",19,10,119,8,2,1,159,349
"Yellowhead/Yellowhead"," 42","Whitecourt",13,17,225,10,6,0,271,522
"Yellowhead/Yellowhead"," 43","Whitecourt",11,15,130,6,1,0,163,337
"Yellowhead/Yellowhead"," 44","Anselmo",3,4,102,5,2,0,116,226
"Yellowhead/Yellowhead"," 45","Vega",2,2,91,0,54,0,149,201
"Yellowhead/Yellowhead"," 46","Neerlandia",3,3,178,1,96,0,281,369
"Yellowhead/Yellowhead"," 47","Bloomsbury",16,6,186,11,22,0,241,383
"Yellowhead/Yellowhead"," 48","Tiger Lily",6,7,134,16,4,0,167,315
"Yellowhead/Yellowhead"," 49","Campsie",16,3,129,10,1,0,159,295
"Yellowhead/Yellowhead"," 50","Barrhead",21,10,225,13,11,0,280,405
"Yellowhead/Yellowhead"," 51","Barrhead",32,10,226,31,14,1,314,475
"Yellowhead/Yellowhead"," 52","Barrhead",19,16,160,19,18,0,232,446
"Yellowhead/Yellowhead"," 53","Barrhead",25,15,188,12,12,0,252,454
"Yellowhead/Yellowhead"," 54","Barrhead",9,20,132,14,11,0,186,340
"Yellowhead/Yellowhead"," 55","Barrhead",13,19,95,13,5,0,145,313
"Yellowhead/Yellowhead"," 56","Barrhead",13,13,111,4,4,0,145,301
"Yellowhead/Yellowhead"," 57","Barrhead",13,19,177,11,8,0,228,411
"Yellowhead/Yellowhead"," 58","Barrhead",22,13,186,21,10,2,254,446
"Yellowhead/Yellowhead"," 59","Mellowdale",9,8,104,4,21,0,146,191
"Yellowhead/Yellowhead"," 60","Pickardville",1,1,30,3,0,0,35,84
"Yellowhead/Yellowhead"," 61","Busby",4,0,29,3,0,0,36,120
"Yellowhead/Yellowhead"," 62","Manola",24,27,266,23,8,0,348,709
"Yellowhead/Yellowhead"," 63","Lunnford",9,10,137,7,4,0,167,237
"Yellowhead/Yellowhead"," 64","Lawton",6,3,116,3,3,0,131,204
"Yellowhead/Yellowhead"," 65","Meadowview",6,4,115,7,1,1,134,193
"Yellowhead/Yellowhead"," 66","Jasper",7,12,18,12,0,0,49,140
