Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Brooks,Angel Claypool,Patrick Meyer,Vicki Lee Sloan,Mark Warawa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Langley/Langley"," 1A","Langley",72,58,8,0,121,0,259,406
"Langley/Langley"," 1B","Langley",46,36,8,2,102,2,196,395
"Langley/Langley"," 2","Langley",48,52,36,0,111,0,247,393
"Langley/Langley"," 3","Langley",67,35,12,0,142,1,257,425
"Langley/Langley"," 4","Langley",40,36,14,0,124,0,214,354
"Langley/Langley"," 5","Langley",33,18,7,0,87,0,145,233
"Langley/Langley"," 6","Langley",56,49,20,0,74,0,199,293
"Langley/Langley"," 7","Langley",53,42,16,3,111,1,226,347
"Langley/Langley"," 8","Langley",132,65,15,1,227,0,440,697
"Langley/Langley"," 9A","Langley",86,47,17,0,145,0,295,513
"Langley/Langley"," 9B","Langley",101,37,14,3,149,0,304,525
"Langley/Langley"," 10","Langley",63,30,16,1,128,0,238,381
"Langley/Langley"," 11","Langley",68,18,11,2,101,0,200,387
"Langley/Langley"," 12","Langley",34,23,6,0,151,0,214,415
"Langley/Langley"," 13","Langley",11,3,5,0,65,0,84,180
"Langley/Langley"," 14","Langley",17,20,2,0,47,1,87,150
"Langley/Langley"," 15","Langley",126,60,18,0,213,1,418,743
"Langley/Langley"," 16","Langley",68,61,50,0,132,0,311,491
"Langley/Langley"," 17","Langley",40,29,24,0,67,1,161,260
"Langley/Langley"," 18","Langley",69,61,27,1,101,0,259,364
"Langley/Langley"," 19","Langley",52,46,36,0,145,0,279,431
"Langley/Langley"," 20","Langley",49,34,21,4,137,0,245,407
"Langley/Langley"," 21","Langley",38,36,30,0,203,1,308,510
"Langley/Langley"," 22","Langley",73,40,30,3,233,0,379,573
"Langley/Langley"," 23","Langley",49,53,26,1,125,1,255,362
"Langley/Langley"," 24","Langley",67,52,26,1,117,0,263,416
"Langley/Langley"," 25","Langley",82,49,15,0,148,0,294,542
"Langley/Langley"," 26","Langley",57,60,22,0,126,0,265,398
"Langley/Langley"," 27","Langley",39,41,9,0,88,0,177,285
"Langley/Langley"," 28","Langley",54,30,19,0,111,0,214,303
"Langley/Langley"," 29","Langley",45,48,14,1,128,0,236,357
"Langley/Langley"," 30","Langley",50,60,19,0,132,0,261,377
"Langley/Langley"," 31","Langley",59,53,7,1,94,0,214,349
"Langley/Langley"," 32","Langley",75,62,20,3,151,0,311,496
"Langley/Langley"," 33","Langley",55,48,14,0,117,3,237,344
"Langley/Langley"," 34","Langley",43,35,17,3,91,0,189,284
