Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Jen Fisher-Bradley,James Lunney,R. L. Dusty Miller,Jim Stewart,Manjeet Uppal,Frank Wagner,David Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nanaimo--Alberni/Nanaimo--Alberni"," 1","Ahousaht",Void/Supprimé,,,,,,,,,,
"Nanaimo--Alberni/Nanaimo--Alberni"," 1-1","Meares Island",0,0,3,0,8,25,0,0,0,36,66
"Nanaimo--Alberni/Nanaimo--Alberni"," 1-2","Ahousat",1,2,22,0,26,116,2,5,1,175,278
"Nanaimo--Alberni/Nanaimo--Alberni"," 1-3","Hot Springs Cove",0,0,1,0,13,22,0,1,0,37,44
"Nanaimo--Alberni/Nanaimo--Alberni"," 2A","Tofino",2,1,65,0,57,133,0,35,2,295,517
"Nanaimo--Alberni/Nanaimo--Alberni"," 2B","Tofino",0,0,67,0,50,131,0,27,0,275,465
"Nanaimo--Alberni/Nanaimo--Alberni"," 3","Tofino",0,0,32,0,35,114,0,22,2,205,445
"Nanaimo--Alberni/Nanaimo--Alberni"," 4","Ucluelet",0,0,19,1,18,51,0,10,1,100,157
"Nanaimo--Alberni/Nanaimo--Alberni"," 5","Port Albion",0,0,7,0,14,31,1,2,0,55,118
"Nanaimo--Alberni/Nanaimo--Alberni"," 6","Ucluelet",1,0,37,3,29,65,0,15,1,151,275
"Nanaimo--Alberni/Nanaimo--Alberni"," 7","Ucluelet",0,1,48,0,44,72,0,11,0,176,363
"Nanaimo--Alberni/Nanaimo--Alberni"," 8","Ucluelet",0,0,93,5,57,131,2,24,1,313,551
"Nanaimo--Alberni/Nanaimo--Alberni"," 9","Sproat Lake",0,0,62,8,28,74,0,11,0,183,342
"Nanaimo--Alberni/Nanaimo--Alberni"," 10","Beaver Creek",0,0,64,16,25,70,0,4,0,179,297
"Nanaimo--Alberni/Nanaimo--Alberni"," 11","Sproat Lake",0,0,45,1,20,41,0,6,0,113,180
"Nanaimo--Alberni/Nanaimo--Alberni"," 12","Sproat Lake",1,1,99,11,19,96,0,7,0,234,394
"Nanaimo--Alberni/Nanaimo--Alberni"," 13","Sproat Lake",0,0,95,6,25,63,0,7,0,196,339
"Nanaimo--Alberni/Nanaimo--Alberni"," 14","Beaver Creek",0,2,86,10,26,86,0,9,4,223,339
"Nanaimo--Alberni/Nanaimo--Alberni"," 15","Sproat Lake",0,1,31,7,22,150,0,2,0,213,370
"Nanaimo--Alberni/Nanaimo--Alberni"," 16","Beaver Creek",0,1,83,5,33,82,1,9,1,215,326
"Nanaimo--Alberni/Nanaimo--Alberni"," 17","Beaver Creek",0,0,75,12,26,73,0,8,1,195,312
"Nanaimo--Alberni/Nanaimo--Alberni"," 18","Beaver Creek",0,1,98,18,27,101,0,6,1,252,391
"Nanaimo--Alberni/Nanaimo--Alberni"," 19","Beaver Creek",2,0,74,13,25,76,1,4,1,196,324
"Nanaimo--Alberni/Nanaimo--Alberni"," 20","Cherry Creek",0,0,70,16,43,129,0,4,1,263,497
"Nanaimo--Alberni/Nanaimo--Alberni"," 21","Cherry Creek",1,0,102,23,28,112,0,7,0,273,404
"Nanaimo--Alberni/Nanaimo--Alberni"," 22","Cherry Creek",0,0,85,8,40,101,0,6,0,240,357
"Nanaimo--Alberni/Nanaimo--Alberni"," 23","Cherry Creek",0,0,30,3,12,44,0,3,0,92,199
"Nanaimo--Alberni/Nanaimo--Alberni"," 24","Cherry Creek",1,0,78,10,31,78,0,6,0,204,332
"Nanaimo--Alberni/Nanaimo--Alberni"," 25A","Bamfield",0,0,20,1,29,68,0,9,0,127,252
"Nanaimo--Alberni/Nanaimo--Alberni"," 25B","Bamfield",0,0,4,0,3,10,0,2,0,19,29
"Nanaimo--Alberni/Nanaimo--Alberni"," 26","Port Alberni",0,0,76,9,30,68,0,4,0,187,333
