Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sven Biggs,Dawn Black,Dick Estey,Paul Forseth,Joyce Murray,Joseph Theriault,Paul Warnett,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 1","Port Moody",5,31,0,78,93,0,6,0,213,472
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 2","Port Moody",16,141,1,66,59,1,12,0,296,459
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 3","Port Moody",0,50,0,65,53,0,1,1,170,249
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 4","Port Moody",7,56,0,40,35,1,1,0,140,250
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 5","Port Moody",5,87,0,106,54,0,11,0,263,367
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 6","Port Moody",10,110,0,74,42,0,5,0,241,372
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 7","Port Moody",6,67,0,65,29,0,5,1,173,314
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 8","Port Moody",13,72,0,88,52,0,7,0,232,347
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 9","Port Moody",9,117,0,130,45,1,5,0,307,385
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 10","Port Moody",5,99,0,81,67,1,4,0,257,356
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 11","Port Moody",3,86,2,100,59,0,7,0,257,348
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 12","Port Moody",12,117,1,95,58,0,3,2,288,431
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 13","Port Moody",6,81,1,79,46,0,4,1,218,404
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 14A","Port Moody",5,65,0,33,22,0,4,0,129,238
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 14B","Port Moody",3,65,0,36,35,0,1,0,140,228
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 15","Port Moody",6,92,0,52,47,1,2,1,201,403
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 16","Port Moody",4,76,0,47,54,0,0,0,181,310
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 17","Port Moody",4,67,2,44,27,0,3,0,147,268
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 18A","Port Moody",8,67,0,29,31,0,1,0,136,254
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 18B","Port Moody",9,64,0,37,35,0,2,0,147,290
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 19A","Port Moody",7,87,0,59,63,0,2,1,219,406
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 19B","Port Moody",20,105,0,79,72,0,1,2,279,476
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 20","Port Moody",9,95,0,108,52,0,7,0,271,439
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 21","Port Moody",17,106,1,93,52,0,9,2,280,460
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 22","Coquitlam",Merged with No. 21/Fusionné avec le nº 21,,,,,,,,,4
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 23","Coquitlam",Merged with No. 21/Fusionné avec le nº 21,,,,,,,,,3
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 24","Coquitlam",10,118,0,97,60,0,7,0,292,448
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 25","Coquitlam",4,69,0,54,64,0,10,1,202,385
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 26A","Coquitlam",1,17,0,46,18,0,26,2,110,197
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 26B","Coquitlam",1,37,1,53,34,0,26,0,152,267
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 27","Coquitlam",1,72,1,74,54,0,11,0,213,401
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 28A","Coquitlam",2,38,1,39,26,0,2,0,108,200
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 28B","Coquitlam",5,44,0,65,34,0,4,0,152,282
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 29","Coquitlam",Void/Supprimé,,,,,,,,,
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 30","Coquitlam",Merged with No. 31/Fusionné avec le nº 31,,,,,,,,,7
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 31","Coquitlam",9,97,1,52,53,0,6,1,219,360
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 32","Coquitlam",5,113,1,88,76,0,5,1,289,451
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 33A","Coquitlam",6,76,1,44,20,0,4,0,151,298
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 33B","Coquitlam",5,81,1,36,43,0,3,0,169,296
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 34","Coquitlam",8,76,1,55,56,0,3,1,200,348
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 35","Coquitlam",3,62,0,87,47,0,17,0,216,356
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 36","Coquitlam",6,57,0,102,58,1,29,1,254,406
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 37","Coquitlam",5,62,0,78,47,0,7,1,200,284
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 38","Coquitlam",5,53,2,76,34,0,7,0,177,275
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 39","Coquitlam",6,75,1,109,58,0,7,1,257,431
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 40","Coquitlam",0,60,2,125,69,0,2,0,258,445
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 41","Coquitlam",7,57,1,127,62,0,17,0,271,465
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 42","Coquitlam",4,20,0,110,73,0,8,0,215,413
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 43A","Coquitlam",Merged with No. 116/Fusionné avec le nº 116,,,,,,,,,162
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 43B","Mobile poll/Bureau itinérant",Merged with No. 43D/Fusionné avec le nº 43D,,,,,,,,,184
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 43C","Mobile poll/Bureau itinérant",Merged with No. 43D/Fusionné avec le nº 43D,,,,,,,,,5
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 43D","Mobile poll/Bureau itinérant",5,35,2,23,22,2,5,3,97,233
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 43E","Mobile poll/Bureau itinérant",Merged with No. 43D/Fusionné avec le nº 43D,,,,,,,,,1
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 44","Coquitlam",9,65,0,98,77,0,17,0,266,396
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 45","Coquitlam",7,67,1,101,59,2,3,0,240,408
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 46","Coquitlam",5,56,1,82,44,0,7,0,195,330
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 47","Coquitlam",11,86,0,90,72,1,6,0,266,477
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 48","Coquitlam",8,90,1,121,78,0,6,0,304,484
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 49A","Coquitlam",3,57,0,48,33,0,4,0,145,229
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 49B","Coquitlam",6,58,3,60,39,0,7,0,173,253
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 50","Coquitlam",5,142,0,84,69,0,9,0,309,446
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 51","Coquitlam",6,93,0,79,60,0,7,0,245,411
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 52","Coquitlam",8,73,0,91,59,0,14,1,246,417
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 53","Coquitlam",2,83,0,73,42,0,3,0,203,354
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 54","Coquitlam",4,61,0,89,50,0,3,0,207,334
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 55","Coquitlam",8,68,1,82,74,0,8,0,241,384
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 56","Coquitlam",3,88,1,89,45,0,10,0,236,367
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 57","Coquitlam",11,87,0,70,57,0,7,0,232,417
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 58","Coquitlam",6,74,0,125,50,0,18,0,273,425
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 59","Coquitlam",5,114,0,102,50,0,8,0,279,438
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 60","Coquitlam",6,116,1,92,66,0,15,0,296,408
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 61A","Coquitlam",2,68,0,61,32,0,4,0,167,249
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 61B","Coquitlam",3,61,2,62,26,0,4,0,158,226
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 62","Coquitlam",5,78,0,80,59,0,7,1,230,364
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 63","Coquitlam",5,83,1,109,90,1,6,1,296,471
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 64","Coquitlam",6,113,1,118,60,0,11,0,309,447
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 65","Coquitlam",6,83,0,76,43,0,10,0,218,328
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 66","Coquitlam",8,89,1,102,64,0,7,0,271,461
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 67A","Coquitlam",6,44,0,57,35,0,4,0,146,234
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 67B","Coquitlam",9,70,0,58,35,0,1,0,173,261
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 68","Coquitlam",3,51,0,98,89,0,4,1,246,453
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 69A","Coquitlam",7,52,0,35,25,0,6,0,125,243
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 69B","Coquitlam",8,63,0,57,41,1,1,0,171,268
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 70A","Coquitlam",1,42,2,34,55,0,2,0,136,260
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 70B","Coquitlam",4,19,0,33,52,1,3,1,113,231
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 71","Coquitlam",Merged with No. 116/Fusionné avec le nº 116,,,,,,,,,61
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 72A","Coquitlam",6,72,0,47,45,0,5,0,175,292
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 72B","Coquitlam",4,67,1,41,35,0,3,0,151,286
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 73","Coquitlam",11,120,1,66,50,1,8,3,260,450
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 74","Coquitlam",6,85,0,96,46,0,7,2,242,345
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 75","Coquitlam",2,102,1,117,85,0,7,1,315,458
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 76","Coquitlam",3,106,0,116,59,0,5,0,289,452
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 77","Coquitlam",4,58,0,64,69,0,0,0,195,287
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 78","Coquitlam",5,122,0,64,77,0,7,0,275,454
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 79A","Coquitlam",3,58,0,47,24,1,0,2,135,245
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 79B","Coquitlam",3,50,0,44,34,1,1,1,134,249
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 80","Coquitlam",6,64,0,66,61,1,2,0,200,412
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 81A","Coquitlam",3,55,1,44,26,0,2,0,131,240
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 81B","Coquitlam",1,38,0,40,28,0,5,1,113,235
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 82","Coquitlam",4,76,0,58,30,0,7,0,175,375
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 83","Coquitlam",7,91,1,66,54,0,6,0,225,387
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 84A","Coquitlam",5,47,0,42,39,0,7,2,142,235
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 84B","Coquitlam",10,46,1,62,29,0,4,0,152,249
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 85","Coquitlam",5,81,0,102,32,1,4,0,225,362
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 86","Coquitlam",8,70,1,59,35,0,2,0,175,293
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 87","Coquitlam",5,78,0,98,66,0,10,0,257,410
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 88","Coquitlam",3,59,0,31,28,0,2,0,123,292
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 89","Coquitlam",10,65,0,43,31,0,0,1,150,341
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 90A","Coquitlam",5,55,0,26,27,0,3,1,117,279
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 90B","Coquitlam",7,41,0,31,23,0,1,0,103,250
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 91","Coquitlam",4,89,0,80,65,0,13,1,252,433
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 92","Coquitlam",5,65,1,79,57,0,2,2,211,388
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 93A","Coquitlam",4,39,0,68,38,0,1,0,150,239
"New Westminster--Coquitlam/New Westminster--Coquitlam"," 93B","Coquitlam",4,46,1,67,35,0,4,0,157,244
