Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Don Bell,Michael Hill,Sherry Shaghaghi,Cindy Silver,Jim Stephenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"North Vancouver/North Vancouver"," 1","North Vancouver",116,0,19,117,16,0,268,488
"North Vancouver/North Vancouver"," 2","North Vancouver",108,0,14,88,13,1,224,411
"North Vancouver/North Vancouver"," 3","North Vancouver",111,0,10,129,16,0,266,391
"North Vancouver/North Vancouver"," 4","North Vancouver",103,1,12,124,10,1,251,387
"North Vancouver/North Vancouver"," 5","North Vancouver",126,0,17,108,11,0,262,405
"North Vancouver/North Vancouver"," 6","North Vancouver",112,0,27,106,10,1,256,403
"North Vancouver/North Vancouver"," 7","North Vancouver",158,0,18,112,22,0,310,496
"North Vancouver/North Vancouver"," 8","North Vancouver",96,0,12,78,11,0,197,327
"North Vancouver/North Vancouver"," 9","North Vancouver",133,1,17,116,15,0,282,425
"North Vancouver/North Vancouver"," 10","North Vancouver",108,0,12,106,15,0,241,372
"North Vancouver/North Vancouver"," 11","North Vancouver",107,0,15,149,13,0,284,408
"North Vancouver/North Vancouver"," 12","North Vancouver",109,0,19,109,23,0,260,372
"North Vancouver/North Vancouver"," 13","North Vancouver",104,0,20,86,11,0,221,353
"North Vancouver/North Vancouver"," 14","North Vancouver",123,0,12,86,12,1,234,372
"North Vancouver/North Vancouver"," 15","North Vancouver",118,0,17,104,17,0,256,441
"North Vancouver/North Vancouver"," 16","North Vancouver",117,0,10,116,11,0,254,401
"North Vancouver/North Vancouver"," 17","North Vancouver",120,1,17,120,22,0,280,405
"North Vancouver/North Vancouver"," 18","North Vancouver",93,0,12,121,9,1,236,378
"North Vancouver/North Vancouver"," 19","North Vancouver",117,0,15,122,12,1,267,374
"North Vancouver/North Vancouver"," 20","North Vancouver",102,0,8,136,28,0,274,406
"North Vancouver/North Vancouver"," 21","North Vancouver",125,0,11,70,21,0,227,362
"North Vancouver/North Vancouver"," 22","North Vancouver",151,0,30,128,28,2,339,468
"North Vancouver/North Vancouver"," 23","North Vancouver",120,0,21,108,22,0,271,414
"North Vancouver/North Vancouver"," 24","North Vancouver",119,0,15,113,16,0,263,388
"North Vancouver/North Vancouver"," 25","North Vancouver",125,0,10,110,33,0,278,408
