Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles Boylan,Ujjal Dosanjh,Bev Meslo,Doug Perry,Tarlok Sablok,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver South/Vancouver-Sud"," 1","Vancouver",1,168,13,7,104,1,294,559
"Vancouver South/Vancouver-Sud"," 2","Vancouver",0,128,2,8,59,0,197,523
"Vancouver South/Vancouver-Sud"," 3","Vancouver",3,144,12,5,82,3,249,565
"Vancouver South/Vancouver-Sud"," 4","Vancouver",0,179,22,5,68,0,274,558
"Vancouver South/Vancouver-Sud"," 5","Vancouver",1,135,48,8,100,1,293,556
"Vancouver South/Vancouver-Sud"," 6","Vancouver",1,75,13,3,46,0,138,278
"Vancouver South/Vancouver-Sud"," 7A","Vancouver",1,110,23,15,46,0,195,392
"Vancouver South/Vancouver-Sud"," 7B","Vancouver",0,70,9,4,48,0,131,273
"Vancouver South/Vancouver-Sud"," 8","Vancouver",0,120,20,6,70,0,216,396
"Vancouver South/Vancouver-Sud"," 9","Vancouver",1,136,19,10,73,0,239,483
"Vancouver South/Vancouver-Sud"," 10","Vancouver",1,156,21,5,96,0,279,594
"Vancouver South/Vancouver-Sud"," 11","Vancouver",0,82,19,4,48,0,153,371
"Vancouver South/Vancouver-Sud"," 12","Vancouver",4,128,45,8,81,1,267,529
"Vancouver South/Vancouver-Sud"," 13","Vancouver",1,100,4,7,78,1,191,417
"Vancouver South/Vancouver-Sud"," 14","Vancouver",0,124,29,8,85,2,248,561
"Vancouver South/Vancouver-Sud"," 15","Vancouver",0,143,32,8,73,0,256,487
"Vancouver South/Vancouver-Sud"," 16A","Vancouver",1,106,24,13,76,1,221,465
"Vancouver South/Vancouver-Sud"," 16B","Vancouver",0,88,19,3,57,0,167,337
"Vancouver South/Vancouver-Sud"," 17","Vancouver",1,127,41,10,80,1,260,482
"Vancouver South/Vancouver-Sud"," 18","Vancouver",1,155,37,16,115,0,324,529
