Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Jamieson,John Weston,Blair Wilson,Judith Wilson,Silvaine Zimmermann,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 1","Lund",0,44,47,88,36,1,216,396
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 1-1","Powell River A",0,11,7,12,3,0,33,75
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 2","Savary Island",Void/Supprimé,,,,,,,
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 3","Lang Bay",1,51,41,76,12,0,181,292
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 4","Saltery Bay",0,32,29,72,10,0,143,218
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 5","Ahpokum 9",0,38,54,72,17,0,181,265
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 6","Sliammon 1",2,28,79,143,5,0,257,437
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 7","Powell River",1,78,61,130,17,0,287,444
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 8","Powell River",1,56,48,131,6,0,242,413
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 9","Tokenatch 5",0,38,34,81,7,1,161,331
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 10","Powell River",1,65,41,100,9,0,216,387
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 11","Powell River",1,46,25,75,3,1,151,270
"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 12","Powell River",1,37,46,91,14,0,189,345
