Province,Population,Electors/Électeurs,Stationary Polls/Bureaux fixes,Mobile Polling Stations/Bureaux itinérants,Advance Polls/Bureaux de vote par anticipation,Total Polling Stations/Total des bureaux
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",512930,403982,1349,36,90,1475
"Prince Edward Island/Île-du-Prince-Édouard",135294,107677,313,8,16,337
"Nova Scotia/Nouvelle-Écosse",908007,750829,2140,34,137,2311
"New Brunswick/Nouveau-Brunswick",729498,594104,1728,67,124,1919
"Quebec/Québec",7237479,5852528,14927,333,898,16158
"Ontario",11410046,8536359,22321,374,1086,23781
"Manitoba",1119583,831278,2276,67,143,2486
"Saskatchewan",978933,712427,2156,54,156,2366
"Alberta",2974807,2322108,5908,162,310,6380
"British Columbia/Colombie-Britannique",3907738,2875950,7496,175,376,8047
"Yukon",28674,21493,77,1,17,95
"Northwest Territories/Territoires du Nord-Ouest",37360,28792,79,0,7,86
"Nunavut",26745,17088,25,0,11,36
