Province,Electors/Électeurs 2006,Electors/Électeurs 2004,Electors/Électeurs 2000,Electors/Électeurs 1997,Total Ballots Cast/Total des bulletins déposés 2006,Total Ballots Cast/Total des bulletins déposés 2004,Total Ballots Cast/Total des bulletins déposés 2000,Total Ballots Cast/Total des bulletins déposés 1997,Percentage of Voter Turnout/Pourcentage de la participation électorale 2006,Percentage of Voter Turnout/Pourcentage de la participation électorale 2004,Percentage of Voter Turnout/Pourcentage de la participation électorale 2000,Percentage of Voter Turnout/Pourcentage de la participation électorale 1997
Newfoundland and Labrador/Terre-Neuve-et-Labrador,403982,405032,405210,407109,228961,199536,231178,224722,56.7,49.3,57.1,55.2
Prince Edward Island/Île-du-Prince-Édouard,107677,109031,103034,97802,78829,77143,74888,71171,73.2,70.8,72.7,72.8
Nova Scotia/Nouvelle-Écosse,750829,706932,694984,677164,479580,440450,437375,470272,63.9,62.3,62.9,69.4
New Brunswick/Nouveau-Brunswick,594104,597440,571569,551530,410918,374952,387178,404921,69.2,62.8,67.7,73.4
Quebec/Québec,5852528,5800109,5542169,5177159,3737849,3507100,3552551,3792870,63.9,60.5,64.1,73.3
Ontario,8536359,8294928,7713744,7115785,5682366,5127387,4474001,4664525,66.6,61.8,58,65.6
Manitoba,831278,841061,786309,758526,517557,476512,490083,479110,62.3,56.7,62.3,63.2
Saskatchewan,712427,723922,698145,679806,463788,427960,435079,444004,65.1,59.1,62.3,65.3
Alberta,2322108,2171584,2094001,1811413,1436655,1278932,1259794,1059348,61.9,58.9,60.2,58.5
British Columbia/Colombie-Britannique,2875950,2750577,2574322,2332083,1832557,1739999,1621101,1529139,63.7,63.3,63,65.6
Yukon,21493,20345,20901,19934,14206,12578,13272,13915,66.1,61.8,63.5,69.8
Northwest Territories/Territoires du Nord-Ouest,28792,28619,24716,35167,16186,13546,12912,20701,56.2,47.3,52.2,58.9
Nunavut,17088,17041,14369,0,9251,7475,7773,0,54.1,43.9,54.1,0
