Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Ronald Bennett,Gerry Byrne,Mark Kennedy,Lorne Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 1","Straitsview",5,102,17,7,0,131,210
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 2","Raleigh",0,83,6,9,1,99,214
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 2-1","Ship Cove",0,41,0,7,0,48,78
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 3","Griquet",3,61,5,5,0,74,198
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 4","St. Lunaire",2,85,7,15,1,110,440
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 5","Cook's Harbour",5,71,8,3,0,87,164
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 5-1","North Boat Harbour",0,15,0,2,0,17,39
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 6","St. Anthony",8,157,19,18,1,203,534
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 7","Great Brehat",1,37,1,1,0,40,59
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 7-1","St. Anthony Bight",0,44,7,11,1,63,125
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 8","St. Anthony",3,70,10,2,0,85,284
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 9","St. Anthony",2,64,10,8,0,84,287
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 10","St. Anthony",5,113,20,13,0,151,462
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 11","St. Anthony",7,112,9,7,1,136,404
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 12","Goose Cove East",0,72,2,3,1,78,159
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 13","Eddies Cove",2,58,7,2,1,70,195
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 14","Green Island Cove",2,66,18,4,2,92,177
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 15","Sandy Cove",2,69,7,3,0,81,203
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 16","Savage Cove",4,57,8,3,0,72,140
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 17","Flower's Cove",4,99,21,9,0,133,350
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 18","Deadmans Cove--Bear Cove",0,36,13,2,0,51,75
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 18-1","Anchor Point",4,103,9,6,1,123,254
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 19","Black Duck Cove",3,80,3,1,1,88,319
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 20","Forresters Point",3,121,20,5,1,150,150
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 21","Plum Point",6,105,21,22,0,154,327
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 22","Bird Cove",2,76,14,7,0,99,178
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 23","Shoal Cove",3,98,23,8,4,136,226
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 24","Castors River",5,117,7,6,0,135,324
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 24-1","Eddies Cove West",1,16,1,1,0,19,46
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 25","Main Brook",8,79,9,15,1,112,239
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 26","St. Julien's",0,20,3,0,0,23,33
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 26-1","Croque",0,15,1,1,0,17,51
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 27","Roddickton",6,97,8,13,3,127,448
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 28","Roddickton",2,70,3,8,0,83,268
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 29","Bide Arm",4,54,3,6,0,67,131
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 30","Conche",1,78,3,4,0,86,199
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 31","Englee",3,103,11,11,2,130,381
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 32","Englee",2,34,4,4,0,44,125
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 33","Port Saunders",7,139,17,15,1,179,502
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 34","Port au Choix",6,42,9,5,0,62,176
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 35","Port au Choix",7,109,17,5,1,139,415
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 36","Port au Choix",3,34,5,3,0,45,150
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 37","Port Saunders",2,37,11,0,1,51,107
10003,"Humber--St. Barbe--Baie Verte/Humber--St. Barbe--Baie Verte"," 38","Hawke's Bay",1,105,8,12,0,126,299
