Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Christopher Butler,Greg Byrne,Ryan Cleary,Siobhan Coady,Ted Warren,Merv Wiseman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 1","St. John's",0,2,114,64,6,12,0,198,405
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 2","St. John's",1,1,115,123,3,22,0,265,494
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 3","St. John's",4,1,71,45,4,12,0,137,273
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 4","St. John's",2,7,68,105,7,23,0,212,361
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 5","St. John's",3,0,75,86,14,15,1,194,374
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 6","St. John's",Void/Supprimé,,,,,,,,
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 7","St. John's",3,6,65,72,4,11,0,161,373
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 8","St. John's",0,0,44,39,0,6,2,91,277
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 9","St. John's",0,3,52,29,6,14,0,104,242
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 9-1","St. John's",3,6,106,54,5,14,3,191,486
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 10","St. John's",0,2,42,18,7,3,0,72,222
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 11","St. John's",1,4,84,66,6,13,0,174,440
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 12","St. John's",1,4,79,37,6,13,0,140,395
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 13","St. John's",2,1,65,62,4,17,0,151,326
