Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel E. Bernard,Bill Casey,Karen Olsson,Tracy Parsons,Rick Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 1","Fort Lawrence",7,68,2,9,1,1,88,160
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 2","Tyndal Road",15,112,9,16,2,0,154,301
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 2-1","Tyndal Road",7,120,6,9,3,0,145,258
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 3","Hastings",8,105,16,4,3,0,136,228
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 4","Brookdale",5,116,11,8,2,1,143,217
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 5","Hastings",17,117,16,5,2,0,157,305
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 6","West Amherst",15,173,13,17,7,2,227,420
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 7","Lower Cove--Joggins",18,182,29,8,11,3,251,470
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 8","Joggins",Void/Supprimé,,,,,,,
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 9","River Hebert",13,159,14,13,13,2,214,421
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 10","Strathcona",3,121,20,9,6,0,159,247
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 11","Maccan",15,166,12,14,33,3,243,428
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 12","Nappan",12,148,10,5,5,0,180,338
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 13","Brookdale",3,134,13,17,7,0,174,272
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 14","Springhill Junction",4,48,6,3,1,0,62,162
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 15","Athol",5,66,7,1,8,1,88,208
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 16","Amherst",13,156,11,14,2,0,196,346
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 17","Amherst",18,164,16,12,4,2,216,425
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 18","Amherst",6,69,18,10,8,0,111,320
