Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Keith Ashfield,Mary Lou Babineau,David Innes,Ben Kelly,Jesse Travis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 1","Fredericton",124,22,79,1,40,3,269,496
13003,"Fredericton/Fredericton"," 1-1","Fredericton",74,10,45,0,26,2,157,318
13003,"Fredericton/Fredericton"," 2","Fredericton",55,9,31,0,23,0,118,260
13003,"Fredericton/Fredericton"," 3","Fredericton",64,9,22,1,32,0,128,274
13003,"Fredericton/Fredericton"," 4","Fredericton",99,12,40,1,14,1,167,311
13003,"Fredericton/Fredericton"," 5","Fredericton",55,15,36,0,22,2,130,304
13003,"Fredericton/Fredericton"," 6A","Fredericton",68,13,47,0,17,0,145,343
13003,"Fredericton/Fredericton"," 6B","Fredericton",95,15,48,1,20,0,179,369
13003,"Fredericton/Fredericton"," 7A","Fredericton",80,15,67,1,34,1,198,404
13003,"Fredericton/Fredericton"," 7B","Fredericton",122,20,53,0,41,3,239,449
13003,"Fredericton/Fredericton"," 7-1","Fredericton",134,21,120,1,42,1,319,589
13003,"Fredericton/Fredericton"," 8","Fredericton",77,26,76,1,22,1,203,335
13003,"Fredericton/Fredericton"," 9","Fredericton",97,18,76,1,30,1,223,361
13003,"Fredericton/Fredericton"," 10","Fredericton",72,19,47,0,20,1,159,259
13003,"Fredericton/Fredericton"," 11","Fredericton",73,22,47,0,28,0,170,317
13003,"Fredericton/Fredericton"," 12","Fredericton",66,19,53,2,24,1,165,316
13003,"Fredericton/Fredericton"," 13","Fredericton",82,15,49,0,40,1,187,331
13003,"Fredericton/Fredericton"," 14","Fredericton",55,13,34,0,34,0,136,375
13003,"Fredericton/Fredericton"," 15","Fredericton",73,13,51,2,40,0,179,328
13003,"Fredericton/Fredericton"," 16","Fredericton",74,18,54,2,48,0,196,470
13003,"Fredericton/Fredericton"," 17","Fredericton",65,16,34,1,30,1,147,298
13003,"Fredericton/Fredericton"," 18","Fredericton",75,17,66,1,9,2,170,287
13003,"Fredericton/Fredericton"," 19","Fredericton",69,20,55,0,21,1,166,282
13003,"Fredericton/Fredericton"," 20","Fredericton",75,24,53,0,28,0,180,316
13003,"Fredericton/Fredericton"," 21","Fredericton",108,13,75,0,32,2,230,357
13003,"Fredericton/Fredericton"," 22","Fredericton",76,18,63,1,12,1,171,272
13003,"Fredericton/Fredericton"," 23","Fredericton",141,31,105,0,25,1,303,491
13003,"Fredericton/Fredericton"," 24","Fredericton",105,21,121,0,15,0,262,443
13003,"Fredericton/Fredericton"," 25","Fredericton",83,17,67,0,39,1,207,426
13003,"Fredericton/Fredericton"," 26","Fredericton",77,26,59,3,32,1,198,383
13003,"Fredericton/Fredericton"," 27","Fredericton",86,33,55,0,56,1,231,533
