Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,André Côté,Véronique Poulin,Nicolas Rochette,René Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Beauce/Beauce"," 1","Saint-Isidore",127,21,15,6,9,2,180,431
24005,"Beauce/Beauce"," 2","Saint-Isidore",141,39,22,6,19,6,233,419
24005,"Beauce/Beauce"," 3","Saint-Isidore",165,33,16,14,28,3,259,460
24005,"Beauce/Beauce"," 4","Saint-Isidore",97,26,15,5,17,4,164,275
24005,"Beauce/Beauce"," 5","Saint-Isidore",153,34,23,11,42,5,268,338
24005,"Beauce/Beauce"," 5-1","St. Isidore",38,24,12,7,13,0,94,179
24005,"Beauce/Beauce"," 6","Scott",85,31,10,9,11,0,146,251
24005,"Beauce/Beauce"," 7","Scott",217,41,29,9,30,3,329,602
24005,"Beauce/Beauce"," 8","Scott",80,9,11,3,18,1,122,238
24005,"Beauce/Beauce"," 9","Scott",173,29,20,11,24,9,266,376
24005,"Beauce/Beauce"," 10","Sainte-Hénédine",84,24,11,5,16,2,142,244
24005,"Beauce/Beauce"," 11","Sainte-Hénédine",187,33,20,10,20,18,288,518
24005,"Beauce/Beauce"," 12","Sainte-Hénédine",46,12,14,5,4,1,82,147
24005,"Beauce/Beauce"," 13","Sainte-Marguerite",168,26,37,8,24,3,266,462
24005,"Beauce/Beauce"," 14","Sainte-Marguerite",125,27,26,11,21,1,211,356
24005,"Beauce/Beauce"," 15","Saint-Bernard",130,17,9,4,12,8,180,299
24005,"Beauce/Beauce"," 16","Saint-Bernard",171,28,11,3,22,5,240,384
24005,"Beauce/Beauce"," 17","Saint-Bernard",58,8,6,5,5,2,84,183
24005,"Beauce/Beauce"," 18","Saint-Bernard",115,17,19,6,5,0,162,284
24005,"Beauce/Beauce"," 19","Saint-Bernard",117,22,9,5,16,2,171,318
24005,"Beauce/Beauce"," 20","Saint-Elzéar",186,22,22,13,25,1,269,405
24005,"Beauce/Beauce"," 21","Saint-Elzéar",181,28,19,6,37,3,274,431
24005,"Beauce/Beauce"," 22","Saint-Elzéar",67,7,9,2,6,5,96,138
24005,"Beauce/Beauce"," 22-1","Saint-Elzéar",204,22,22,10,30,5,293,476
24005,"Beauce/Beauce"," 23","Sainte-Marie",163,46,40,10,23,4,286,488
24005,"Beauce/Beauce"," 24","Sainte-Marie",128,29,17,13,25,0,212,326
24005,"Beauce/Beauce"," 25","Sainte-Marie",158,48,24,9,26,7,272,473
24005,"Beauce/Beauce"," 26","Sainte-Marie",74,13,3,1,11,1,103,174
24005,"Beauce/Beauce"," 27","Sainte-Marie",111,13,18,9,23,3,177,274
24005,"Beauce/Beauce"," 28","Sainte-Marie",159,49,29,14,23,5,279,463
24005,"Beauce/Beauce"," 29","Sainte-Marie",176,29,15,6,15,3,244,388
24005,"Beauce/Beauce"," 30","Sainte-Marie",98,19,15,10,16,2,160,290
24005,"Beauce/Beauce"," 31","Sainte-Marie",180,32,21,9,34,4,280,552
