Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dominique Bellemare,Claude Debellefeuille,Maria Lopez,Anne Minh Thu Quach,David Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 1","Akwesasne (Partie)",0,0,0,0,0,0,0,601
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 2","Dundee",43,53,40,28,7,1,172,283
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 3","Dundee",Void/Supprimé,,,,,,,
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 4","Cazaville",42,105,38,21,3,4,213,455
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 5","Cazaville",62,98,53,25,7,4,249,440
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 6","Saint-Anicet",44,136,35,35,7,2,259,398
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 7","Saint-Anicet",51,115,37,22,2,1,228,421
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 8","Saint-Anicet",57,108,55,27,7,4,258,477
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 9A","Sainte-Barbe",32,92,19,19,5,1,168,244
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 9B","Sainte-Barbe",39,138,20,32,7,6,242,397
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 9-1","Sainte-Barbe",Merged with No. 9A/Fusionné avec le nº 9A,,,,,,,13
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 10","Sainte-Barbe",50,153,18,28,10,1,260,482
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 11","Godmanchester",52,34,50,19,15,4,174,327
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 12","Godmanchester",84,89,45,26,11,2,257,445
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 13","Godmanchester",59,35,29,17,15,1,156,332
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 14","Elgin",60,31,29,22,15,1,158,338
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 15","Hinchinbrooke",41,35,37,15,8,0,136,383
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 16","Huntingdon",70,55,47,15,3,1,191,493
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 17","Huntingdon",43,54,32,21,4,0,154,347
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 18","Huntingdon",41,30,26,12,5,4,118,282
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 19","Huntingdon",39,43,13,20,4,1,120,321
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 20","Huntingdon",22,44,23,13,0,2,104,278
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 21","Huntingdon",50,37,42,29,5,0,163,402
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 22","Hinchinbrooke",54,43,51,22,20,1,191,430
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 23","Hinchinbrooke",62,67,41,31,2,8,211,507
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 24","Hinchinbrooke",86,29,58,26,29,1,229,386
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 25","Saint-Stanislas-de-Kostka",37,156,36,40,9,9,287,502
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 26","Saint-Stanislas-de-Kostka",48,130,27,34,6,2,247,417
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 27","Saint-Stanislas-de-Kostka",33,98,28,27,7,5,198,356
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 28","Saint-Louis-de-Gonzague",34,106,17,28,9,7,201,334
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 29","Saint-Louis-de-Gonzague",30,109,37,31,4,4,215,356
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 30","Saint-Louis-de-Gonzague",41,124,27,29,3,2,226,387
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 31","Saint-Étienne-de-Beauharnois",41,143,23,26,7,6,246,342
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 32","Saint-Étienne-de-Beauharnois",26,122,13,23,5,2,191,267
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 33","Salaberry-de-Valleyfield",58,172,35,51,2,3,321,582
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 34","Salaberry-de-Valleyfield",56,139,33,44,4,0,276,498
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 35","Salaberry-de-Valleyfield",30,117,23,23,2,4,199,429
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 36","Salaberry-de-Valleyfield",19,91,16,20,4,3,153,402
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 37","Salaberry-de-Valleyfield",22,117,23,10,1,2,175,390
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 38","Salaberry-de-Valleyfield",27,86,34,22,2,1,172,407
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 39","Salaberry-de-Valleyfield",48,174,20,44,7,2,295,512
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 40","Salaberry-de-Valleyfield",18,115,28,21,0,4,186,408
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 41","Salaberry-de-Valleyfield",28,138,24,24,5,5,224,445
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 42","Salaberry-de-Valleyfield",14,87,27,23,5,5,161,414
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 43","Salaberry-de-Valleyfield",28,94,22,22,9,1,176,372
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 44","Salaberry-de-Valleyfield",21,116,25,34,4,1,201,355
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 45","Salaberry-de-Valleyfield",24,174,15,39,4,1,257,430
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 46","Salaberry-de-Valleyfield",15,86,11,12,6,2,132,310
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 47","Salaberry-de-Valleyfield",19,108,12,21,3,4,167,399
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 48","Salaberry-de-Valleyfield",37,129,30,30,3,0,229,505
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 49","Salaberry-de-Valleyfield",38,102,25,33,4,1,203,372
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 50","Grande-Île",53,147,18,28,12,2,260,457
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 51","Grande-Île",33,139,19,25,6,6,228,407
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 52A","Grande-Île",31,124,14,25,7,3,204,337
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 52B","Grande-Île",26,140,20,36,2,1,225,355
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 53","Grande-Île",55,128,27,33,7,10,260,449
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 54","Grande-Île",40,119,26,21,6,3,215,407
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 55","Grande-Île",26,137,23,40,4,4,234,380
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 56","Grande-Île",31,150,25,33,4,6,249,442
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 57","Grande-Île",44,193,35,65,3,9,349,607
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 58","Salaberry-de-Valleyfield",16,114,17,15,1,6,169,389
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 59","Salaberry-de-Valleyfield",18,107,13,18,3,5,164,320
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 60","Salaberry-de-Valleyfield",32,145,19,11,4,9,220,394
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 61","Salaberry-de-Valleyfield",36,136,23,27,3,5,230,413
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 62","Salaberry-de-Valleyfield",29,119,18,17,1,4,188,359
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 63","Salaberry-de-Valleyfield",19,75,10,15,4,5,128,284
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 64","Salaberry-de-Valleyfield",27,87,20,19,0,2,155,333
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 65","Salaberry-de-Valleyfield",20,72,20,17,1,0,130,292
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 66","Salaberry-de-Valleyfield",10,74,20,18,3,3,128,387
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 67","Salaberry-de-Valleyfield",51,101,27,23,4,5,211,346
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 68","Salaberry-de-Valleyfield",32,122,26,24,6,2,212,353
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 69","Salaberry-de-Valleyfield",37,102,34,17,1,7,198,432
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 70","Salaberry-de-Valleyfield",33,51,38,8,2,6,138,280
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 71","Salaberry-de-Valleyfield",57,115,38,26,4,8,248,488
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 72","Salaberry-de-Valleyfield",48,130,17,31,6,5,237,466
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 73","Salaberry-de-Valleyfield",32,102,24,22,2,3,185,386
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 74","Salaberry-de-Valleyfield",21,109,34,24,3,5,196,375
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 75","Salaberry-de-Valleyfield",26,47,16,10,0,3,102,227
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 76","Salaberry-de-Valleyfield",16,80,21,15,6,2,140,363
24006,"Beauharnois--Salaberry/Beauharnois--Salaberry"," 77","Salaberry-de-Valleyfield",52,90,55,15,6,3,221,401
