Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carole Freeman,Sonia Jurado,Pierre-Paul Routhier,Brian Sarwer-Foner,Linda Schwey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 1","Châteauguay",86,31,40,8,34,11,210,397
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 2","Châteauguay",163,41,53,15,69,8,349,582
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 3","Châteauguay",76,34,70,9,85,3,277,473
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 4","Châteauguay",58,50,59,19,72,2,260,450
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 5","Châteauguay",83,54,49,10,65,13,274,468
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 6","Châteauguay",93,62,69,18,93,7,342,575
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 7","Châteauguay",88,53,57,11,36,1,246,377
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 8","Châteauguay",71,61,77,15,82,6,312,554
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 9","Châteauguay",69,59,77,7,78,0,290,518
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 10A","Châteauguay",78,45,37,7,40,0,207,339
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 10B","Châteauguay",51,41,44,5,50,2,193,344
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 11","Châteauguay",79,46,53,7,70,3,258,405
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 12","Châteauguay",91,42,61,5,73,3,275,599
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 13","Châteauguay",64,31,40,13,82,3,233,381
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 14","Châteauguay",118,57,74,19,67,2,337,528
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 15","Châteauguay",42,62,71,16,91,2,284,515
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 16","Châteauguay",119,39,39,8,47,6,258,487
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 17","Châteauguay",57,14,30,5,52,1,159,321
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 18","Châteauguay",61,32,31,7,51,6,188,347
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 19","Léry",63,24,40,11,40,1,179,284
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 20A","Léry",75,15,44,8,38,6,186,311
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 20B","Léry",80,25,43,9,51,1,209,309
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 21","Léry",115,19,42,12,48,1,237,359
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 22","Léry",100,23,23,5,23,2,176,278
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 23","Léry",100,19,40,8,30,4,201,326
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 24","Châteauguay",130,30,36,3,43,6,248,415
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 25","Châteauguay",174,39,49,11,37,8,318,507
