Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raphaël Déry,Pierre Ducasse,Paul Fréchette,Gabriel Girard-Bernier,Frédéric Pouyot,Marcel Proulx,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Hull--Aylmer/Hull--Aylmer"," 1","Aylmer",30,37,41,0,13,89,0,210,394
24023,"Hull--Aylmer/Hull--Aylmer"," 2","Aylmer",43,49,46,0,16,69,3,226,362
24023,"Hull--Aylmer/Hull--Aylmer"," 3","Aylmer",53,70,46,0,14,93,2,278,477
24023,"Hull--Aylmer/Hull--Aylmer"," 4A","Aylmer",37,45,44,0,9,50,1,186,304
24023,"Hull--Aylmer/Hull--Aylmer"," 4B","Aylmer",26,46,36,0,9,44,3,164,345
24023,"Hull--Aylmer/Hull--Aylmer"," 4-1A","Aylmer",63,58,38,0,12,93,1,265,434
24023,"Hull--Aylmer/Hull--Aylmer"," 4-1B","Aylmer",73,68,42,0,13,98,1,295,467
24023,"Hull--Aylmer/Hull--Aylmer"," 4-1C","Aylmer",51,51,26,0,19,95,1,243,405
24023,"Hull--Aylmer/Hull--Aylmer"," 5A","Aylmer",36,37,31,0,6,44,1,155,317
24023,"Hull--Aylmer/Hull--Aylmer"," 5B","Aylmer",65,39,32,0,7,58,0,201,374
24023,"Hull--Aylmer/Hull--Aylmer"," 5-1","Aylmer",29,54,51,0,19,100,3,256,405
24023,"Hull--Aylmer/Hull--Aylmer"," 6","Aylmer",20,35,69,0,21,70,1,216,391
24023,"Hull--Aylmer/Hull--Aylmer"," 6-1","Aylmer",45,54,63,0,13,123,2,300,559
24023,"Hull--Aylmer/Hull--Aylmer"," 7","Aylmer",54,73,58,1,21,106,0,313,533
24023,"Hull--Aylmer/Hull--Aylmer"," 8","Aylmer",39,34,40,0,8,78,2,201,383
24023,"Hull--Aylmer/Hull--Aylmer"," 9","Aylmer",58,55,43,0,5,86,3,250,442
24023,"Hull--Aylmer/Hull--Aylmer"," 10","Aylmer",68,74,63,0,21,107,3,336,580
24023,"Hull--Aylmer/Hull--Aylmer"," 11","Aylmer",51,61,38,0,11,74,2,237,413
24023,"Hull--Aylmer/Hull--Aylmer"," 12A","Aylmer",16,37,43,0,4,59,1,160,333
24023,"Hull--Aylmer/Hull--Aylmer"," 12B","Aylmer",26,52,41,0,8,76,1,204,374
24023,"Hull--Aylmer/Hull--Aylmer"," 12-1","Aylmer",56,69,77,1,15,169,3,390,609
24023,"Hull--Aylmer/Hull--Aylmer"," 13","Aylmer",29,25,51,5,25,123,1,259,394
24023,"Hull--Aylmer/Hull--Aylmer"," 14","Aylmer",35,15,31,2,8,80,1,172,269
24023,"Hull--Aylmer/Hull--Aylmer"," 15","Aylmer",35,60,47,0,27,131,1,301,537
