Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sébastien Caron,Gilles Duceppe,François Yo Gourd,François Grégoire,Serge Lachapelle,Daniel "F4J" Laforest,Charles K. Langford,Samie Pagé-Quirion,Dylan Perceval-Maxwell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 1","Montréal",32,140,1,39,0,1,6,1,21,1,242,427
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 2","Montréal",30,181,3,44,0,1,12,0,23,6,300,284
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 3","Montréal",33,164,2,43,0,0,6,0,19,3,270,435
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 4","Montréal",Merged with No. 2/Fusionné avec le nº 2,,,,,,,,,,,199
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 5","Montréal",19,133,4,44,2,0,3,0,22,4,231,360
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 6","Montréal",28,129,3,38,0,0,11,1,21,1,232,403
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 7","Montréal",29,112,3,27,0,0,3,0,18,1,193,311
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 8","Montréal",32,142,3,37,0,0,4,1,15,1,235,366
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 9","Montréal",28,151,1,27,3,0,3,0,9,0,222,381
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 10","Montréal",31,110,1,23,0,0,9,1,21,4,200,371
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 11","Montréal",35,131,2,42,0,0,4,0,18,2,234,409
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 12","Montréal",39,120,1,43,0,0,9,0,16,0,228,407
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 13","Montréal",26,97,2,33,0,0,8,0,14,2,182,350
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 14","Montréal",23,158,1,35,0,0,8,0,20,0,245,411
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 15","Montréal",29,138,1,40,0,0,3,0,24,3,238,377
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 16","Montréal",22,94,2,37,0,0,3,0,18,2,178,290
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 17","Montréal",25,85,1,28,2,0,2,1,10,1,155,251
