Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Zahia El-Masri,Agop Evereklian,Raymonde Folco,Mohamedali Jetha,Brent Neil,Sylvain A. Trottier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Laval--Les Îles/Laval--Les Îles"," 1","Laval",13,15,35,40,11,2,2,118,326
24033,"Laval--Les Îles/Laval--Les Îles"," 1-1","Laval",30,11,32,66,9,1,5,154,310
24033,"Laval--Les Îles/Laval--Les Îles"," 2","Laval",29,41,84,100,15,3,3,275,544
24033,"Laval--Les Îles/Laval--Les Îles"," 3","Laval",31,24,39,85,10,2,4,195,384
24033,"Laval--Les Îles/Laval--Les Îles"," 4","Laval",19,32,55,101,7,1,7,222,460
24033,"Laval--Les Îles/Laval--Les Îles"," 5","Laval",24,26,56,97,13,2,2,220,399
24033,"Laval--Les Îles/Laval--Les Îles"," 6","Laval",35,27,84,110,8,0,5,269,494
24033,"Laval--Les Îles/Laval--Les Îles"," 7","Laval",39,31,89,103,12,3,13,290,477
24033,"Laval--Les Îles/Laval--Les Îles"," 8","Laval",31,26,51,102,8,7,2,227,405
24033,"Laval--Les Îles/Laval--Les Îles"," 9","Laval",34,26,66,103,3,2,7,241,435
24033,"Laval--Les Îles/Laval--Les Îles"," 10","Laval",40,27,54,91,14,1,2,229,435
24033,"Laval--Les Îles/Laval--Les Îles"," 11","Laval",28,26,42,71,7,6,7,187,394
24033,"Laval--Les Îles/Laval--Les Îles"," 12","Laval",29,39,53,73,8,1,2,205,428
24033,"Laval--Les Îles/Laval--Les Îles"," 13","Laval",32,39,59,79,12,4,1,226,436
24033,"Laval--Les Îles/Laval--Les Îles"," 14","Laval",35,37,107,127,17,1,3,327,550
24033,"Laval--Les Îles/Laval--Les Îles"," 15","Laval",17,15,41,43,9,0,4,129,231
24033,"Laval--Les Îles/Laval--Les Îles"," 16","Laval",34,35,59,92,8,5,5,238,472
24033,"Laval--Les Îles/Laval--Les Îles"," 17","Laval",45,30,61,83,5,2,6,232,414
24033,"Laval--Les Îles/Laval--Les Îles"," 18","Laval",21,19,42,77,10,3,4,176,354
24033,"Laval--Les Îles/Laval--Les Îles"," 19","Laval",20,33,67,37,3,1,0,161,300
24033,"Laval--Les Îles/Laval--Les Îles"," 19-1","Laval",27,40,82,81,6,1,1,238,426
24033,"Laval--Les Îles/Laval--Les Îles"," 20","Laval",30,30,64,61,5,1,3,194,370
24033,"Laval--Les Îles/Laval--Les Îles"," 21","Laval",17,23,43,82,7,2,3,177,322
24033,"Laval--Les Îles/Laval--Les Îles"," 22","Laval",44,21,58,118,9,1,3,254,379
24033,"Laval--Les Îles/Laval--Les Îles"," 23","Laval",37,35,75,114,5,3,6,275,480
24033,"Laval--Les Îles/Laval--Les Îles"," 24","Laval",23,25,62,81,8,0,5,204,371
24033,"Laval--Les Îles/Laval--Les Îles"," 25","Laval",16,26,64,86,13,2,8,215,368
24033,"Laval--Les Îles/Laval--Les Îles"," 26","Laval",11,8,23,28,1,1,0,72,509
24033,"Laval--Les Îles/Laval--Les Îles"," 27","Laval",27,49,112,108,8,2,0,306,489
24033,"Laval--Les Îles/Laval--Les Îles"," 28","Laval",41,20,77,119,4,0,8,269,459
24033,"Laval--Les Îles/Laval--Les Îles"," 29A","Laval",26,26,64,68,6,0,1,191,372
24033,"Laval--Les Îles/Laval--Les Îles"," 29B","Laval",36,19,51,67,6,1,3,183,314
24033,"Laval--Les Îles/Laval--Les Îles"," 30","Laval",43,37,73,107,7,1,7,275,439
24033,"Laval--Les Îles/Laval--Les Îles"," 31","Laval",29,32,54,93,11,2,1,222,415
24033,"Laval--Les Îles/Laval--Les Îles"," 32","Laval",34,44,47,109,22,3,0,259,366
24033,"Laval--Les Îles/Laval--Les Îles"," 32-1","Laval",36,53,110,95,15,3,3,315,547
24033,"Laval--Les Îles/Laval--Les Îles"," 33","Laval",25,27,56,83,16,3,2,212,374
24033,"Laval--Les Îles/Laval--Les Îles"," 34","Laval",26,41,35,92,7,4,10,215,398
24033,"Laval--Les Îles/Laval--Les Îles"," 35","Laval",31,29,61,128,8,4,11,272,419
24033,"Laval--Les Îles/Laval--Les Îles"," 36","Laval",35,39,67,106,4,0,7,258,545
24033,"Laval--Les Îles/Laval--Les Îles"," 37","Laval",40,24,62,124,5,1,0,256,451
24033,"Laval--Les Îles/Laval--Les Îles"," 38","Laval",30,23,80,94,10,8,4,249,399
24033,"Laval--Les Îles/Laval--Les Îles"," 39","Laval",41,42,66,66,3,2,0,220,410
24033,"Laval--Les Îles/Laval--Les Îles"," 40","Laval",32,24,76,84,6,1,2,225,381
24033,"Laval--Les Îles/Laval--Les Îles"," 40-1","Laval",31,21,76,65,9,1,4,207,342
24033,"Laval--Les Îles/Laval--Les Îles"," 40-2","Laval",48,42,115,84,4,2,2,297,498
24033,"Laval--Les Îles/Laval--Les Îles"," 41","Laval",34,50,110,87,6,3,6,296,471
24033,"Laval--Les Îles/Laval--Les Îles"," 42","Laval",44,33,111,108,8,4,1,309,480
