Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Côté,Jacques Gourde,Marie-Thérèse Hovington,Shirley Picknell,Antoine Sarrazin-Bourgoin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 1","Leclercville",27,79,26,8,47,0,187,289
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 2","Leclercville",8,26,10,2,21,0,67,134
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 3","Lotbinière",26,128,33,8,86,4,285,450
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 4","Lotbinière",10,77,30,11,45,4,177,262
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 5","Saint-Édouard-de-Lotbinière",8,57,14,2,35,5,121,188
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 6","Saint-Édouard-de-Lotbinière",16,74,19,7,33,1,150,314
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 7","Saint-Édouard-de-Lotbinière",22,140,37,1,36,6,242,432
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 8","Sainte-Croix",9,65,25,2,38,3,142,279
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 9","Sainte-Croix",30,124,25,2,47,3,231,433
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 10","Sainte-Croix",35,83,12,7,61,2,200,399
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 11","Sainte-Croix",27,105,28,8,64,1,233,417
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 12","Sainte-Croix",18,75,16,4,47,1,161,308
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 13","Saint-Antoine-de-Tilly",19,85,29,4,97,3,237,359
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 14","Saint-Antoine-de-Tilly",44,108,46,5,120,2,325,496
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 15","Saint-Antoine-de-Tilly",26,83,35,5,87,2,238,369
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 16","Saint-Apollinaire",27,126,28,5,72,6,264,516
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 17","Saint-Apollinaire",33,138,29,5,61,3,269,450
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 18","Saint-Apollinaire",21,98,26,3,44,0,192,412
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 19","Saint-Apollinaire",18,112,22,3,40,0,195,393
