Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Canada,Yvon Lévesque,Erica Martin,Jean-Maurice Matte,Patrick Rancourt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 1","Ivujivik",33,12,13,15,2,2,77,165
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 2","Salluit",213,24,43,10,10,2,302,618
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 3","Akulivik",61,21,10,11,1,6,110,334
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 4","Puvirnituq",61,17,8,14,5,0,105,131
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 5","Puvirnituq",59,9,15,19,6,0,108,623
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 6","Inukjuak",Void/Supprimé,,,,,,,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 7","Inukjuak",133,24,62,45,23,0,287,728
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 8","Kangiqsujuaq",65,13,39,31,16,3,167,361
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 9","Quaqtaq",36,3,17,19,1,0,76,186
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 10","Kangirsuk",76,11,25,14,3,0,129,219
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 11","Aupaluk",32,2,5,5,3,0,47,99
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 12","Tasiujaq",42,4,6,22,7,0,81,128
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 13A","Kuujjuaq",80,25,23,14,9,0,151,351
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 13B","Kuujjuaq",53,32,23,11,6,1,126,358
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 14","Kuujjuaq",100,19,21,10,10,0,160,295
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 15","Kangiqsualujjuaq",177,18,38,21,8,2,264,437
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 16","Kuujjuaq",83,17,12,8,11,1,132,225
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 17","Kawawachikamach",Void/Supprimé,,,,,,,
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 18","Umiujaq",69,11,12,29,3,2,126,179
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 19","Kuujjuarapik",47,11,37,12,7,2,116,714
24046,"Abitibi--Baie-James--Nunavik--Eeyou/Abitibi--Baie-James--Nunavik--Eeyou"," 20","Whapmagoostui",3,0,0,2,0,0,5,77
