Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bellavance,François Fillion,Gwyneth Helen Grant,Jean Landry,Éric Lefebvre,Stéphane Ricard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 1","Saint-Louis-de-Blandford",60,7,21,2,59,3,2,154,297
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 2","Saint-Louis-de-Blandford",104,2,21,9,82,18,3,239,424
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 3","Maddington",78,4,13,4,70,23,2,194,338
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 4","Daveluyville",109,4,29,3,83,17,5,250,434
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 5","Daveluyville",94,2,21,4,46,20,10,197,381
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 6","Sainte-Anne-du-Sault",83,1,16,1,63,23,4,191,344
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 7","Sainte-Anne-du-Sault",117,4,22,3,84,27,9,266,459
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 8","Sainte-Anne-du-Sault",35,6,26,1,29,15,5,117,213
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 9","Saint-Rosaire",32,3,9,0,37,7,0,88,135
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 10","Saint-Rosaire",117,7,22,1,99,34,1,281,474
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 11","Saint-Valère",116,4,14,14,60,32,4,244,390
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 11-1","Saint-Valère",43,2,11,10,44,5,2,117,181
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 12","Saint-Valère",116,7,17,15,58,18,4,235,383
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 13","Saint-Samuel",89,7,16,3,46,31,2,194,295
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 14","Saint-Samuel",60,1,14,2,46,20,3,146,225
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 15","Sainte-Clothilde-de-Horton",68,9,29,2,37,70,3,218,378
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 16","Sainte-Clotilde-de-Horton",37,7,16,0,21,18,1,100,156
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 17","Saint-Albert",49,0,8,1,25,9,2,94,197
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 18","Saint-Albert",135,5,15,1,73,21,13,263,449
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 19","Saint-Albert",122,1,18,2,79,19,7,248,400
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 20","Sainte-Élisabeth-de-Warwick",131,8,15,1,63,35,2,255,395
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 21","Sainte-Clothilde-de-Horton",84,9,21,3,44,85,2,248,403
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 22","Sainte-Clothilde-de-Horton",63,3,17,0,47,38,0,168,260
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 23","Sainte-Séraphine",63,1,15,1,61,23,4,168,257
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 24","Kingsey Falls",106,7,38,2,63,34,2,252,421
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 25","Kingsey Falls",127,1,30,0,58,22,2,240,361
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 25-1","Kingsey Falls",107,6,29,3,52,30,1,228,340
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 26","Kingsey Falls",133,9,37,1,52,37,3,272,395
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 27A","Victoriaville",75,5,11,1,51,15,1,159,263
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 27B","Victoriaville",66,5,13,2,44,15,6,151,269
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 28","Victoriaville",88,6,14,0,81,9,4,202,349
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 29","Victoriaville",90,5,10,2,122,18,2,249,366
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 30","Victoriaville",118,4,23,1,89,28,6,269,482
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 31","Victoriaville",109,4,35,3,88,13,2,254,395
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 32","Victoriaville",135,3,27,4,73,14,2,258,419
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 33","Victoriaville",60,3,10,3,51,5,3,135,313
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 34","Victoriaville",92,10,18,3,49,17,2,191,388
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 35","Victoriaville",80,5,36,8,70,13,0,212,396
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 36","Victoriaville",99,5,21,2,47,23,3,200,351
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 37","Victoriaville",140,5,24,5,86,13,4,277,453
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 38A","Victoriaville",65,6,17,0,48,7,0,143,272
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 38B","Victoriaville",72,4,17,2,57,18,2,172,300
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 39","Victoriaville",59,3,17,4,67,13,3,166,286
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 40","Victoriaville",115,5,28,4,88,30,2,272,467
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 41","Victoriaville",102,6,39,3,100,30,7,287,435
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 42","Victoriaville",93,6,32,2,91,24,5,253,412
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 43","Victoriaville",120,4,28,1,85,25,4,267,418
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 44","Victoriaville",114,8,36,0,89,10,2,259,392
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 45A","Victoriaville",110,3,13,0,58,17,2,203,313
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 45B","Victoriaville",74,3,22,0,82,15,3,199,305
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 46","Victoriaville",97,9,17,5,91,31,2,252,441
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 47","Victoriaville",107,4,25,4,104,15,2,261,451
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 48","Victoriaville",126,9,22,1,109,19,5,291,494
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 49","Victoriaville",108,5,18,3,95,25,2,256,449
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 49-1","Victoriaville",110,1,22,3,81,24,0,241,353
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 50","Victoriaville",111,3,12,4,65,20,1,216,388
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 51","Victoriaville",131,3,25,5,87,11,4,266,451
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 52","Victoriaville",105,7,22,0,87,21,12,254,434
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 53","Victoriaville",111,4,19,1,79,27,5,246,331
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 54","Victoriaville",54,4,11,6,38,17,3,133,317
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 55A","Victoriaville",61,4,11,5,40,13,4,138,254
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 55B","Victoriaville",58,1,17,2,46,10,2,136,266
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 56A","Victoriaville",88,6,20,1,59,11,2,187,331
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 56B","Victoriaville",73,3,18,1,60,8,1,164,308
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 57","Victoriaville",72,5,14,3,47,12,2,155,242
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 58","Victoriaville",59,4,18,7,49,3,3,143,306
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 59","Victoriaville",52,3,29,2,56,6,1,149,330
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 60","Victoriaville",84,3,50,5,61,13,5,221,437
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 61","Victoriaville",60,4,26,4,41,6,0,141,299
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 62","Victoriaville",87,8,18,7,77,17,4,218,495
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 63","Victoriaville",69,4,12,0,64,7,1,157,241
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 64","Victoriaville",87,6,14,0,49,11,0,167,347
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 65","Victoriaville",70,3,10,6,44,14,10,157,412
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 66","Victoriaville",83,2,11,0,53,14,0,163,295
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 67","Victoriaville",53,4,13,2,28,14,2,116,214
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 68","Victoriaville",54,3,4,0,24,10,0,95,218
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 69","Victoriaville",65,5,17,4,26,6,2,125,259
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 70","Victoriaville",82,6,11,1,48,16,6,170,399
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 71","Victoriaville",73,4,17,0,34,7,0,135,294
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 72","Victoriaville",60,3,17,0,32,15,2,129,265
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 73","Victoriaville",78,4,17,3,50,15,2,169,375
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 74","Victoriaville",74,7,19,2,69,17,3,191,387
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 75","Victoriaville",55,6,27,4,59,8,1,160,336
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 76","Victoriaville",75,1,17,3,55,21,3,175,353
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 77","Victoriaville",72,2,25,0,44,18,3,164,337
