Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel.M. Champagne,Bernard Demers,Simon Gnocchini Messier,Jean Lambert,Robert Vincent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Shefford/Shefford"," 1","Rougemont",14,56,33,51,99,7,260,441
24069,"Shefford/Shefford"," 2","Rougemont",10,32,29,44,87,14,216,367
24069,"Shefford/Shefford"," 3","Rougemont",9,58,42,57,153,5,324,527
24069,"Shefford/Shefford"," 4","Rougemont",7,32,18,37,122,3,219,366
24069,"Shefford/Shefford"," 5","Rougemont",8,33,46,47,131,10,275,457
24069,"Shefford/Shefford"," 6","Saint-Césaire",5,0,37,34,107,3,186,455
24069,"Shefford/Shefford"," 7","Saint-Césaire",8,38,33,30,124,5,238,485
24069,"Shefford/Shefford"," 8A","Saint-Césaire",5,23,13,25,101,2,169,284
24069,"Shefford/Shefford"," 8B","Saint-Césaire",14,31,21,22,62,4,154,300
24069,"Shefford/Shefford"," 9","Saint-Paul-d'Abbotsford",10,62,35,63,102,6,278,470
24069,"Shefford/Shefford"," 10","Saint-Paul-d'Abbotsford",6,54,36,40,107,5,248,383
24069,"Shefford/Shefford"," 11","Saint-Paul-d'Abbotsford",8,44,31,43,107,4,237,401
24069,"Shefford/Shefford"," 12","Saint-Paul-d'Abbotsford",12,64,44,69,120,7,316,505
24069,"Shefford/Shefford"," 13","Saint-Paul-d'Abbotsford",6,37,35,32,98,2,210,413
24069,"Shefford/Shefford"," 14","Saint-Césaire",5,26,21,30,97,2,181,372
24069,"Shefford/Shefford"," 15","Saint-Césaire",2,31,27,22,70,4,156,339
24069,"Shefford/Shefford"," 16","Saint-Césaire",5,18,15,16,85,2,141,324
24069,"Shefford/Shefford"," 17","Saint-Césaire",8,39,14,40,114,3,218,376
24069,"Shefford/Shefford"," 18","Saint-Césaire",10,60,59,50,141,9,329,575
24069,"Shefford/Shefford"," 19","Sainte-Angèle-de-Monnoir",4,20,12,32,68,1,137,235
24069,"Shefford/Shefford"," 20","Sainte-Angèle-de-Monnoir",15,54,46,34,187,6,342,536
24069,"Shefford/Shefford"," 21","Sainte-Angèle-de-Monnoir",12,48,56,39,169,4,328,519
24069,"Shefford/Shefford"," 22","Saint-Césaire",7,27,16,20,65,1,136,270
24069,"Shefford/Shefford"," 23","Saint-Césaire",5,29,21,26,75,3,159,342
24069,"Shefford/Shefford"," 24","Ange-Gardien",11,58,38,74,141,12,334,540
24069,"Shefford/Shefford"," 25","Ange-Gardien",10,61,46,54,90,4,265,477
24069,"Shefford/Shefford"," 26","Ange-Gardien",13,70,43,69,142,4,341,574
24069,"Shefford/Shefford"," 27","Sainte-Cécile-de-Milton",3,28,23,49,144,6,253,502
24069,"Shefford/Shefford"," 28","Sainte-Cécile-de-Milton",13,52,43,68,155,5,336,537
24069,"Shefford/Shefford"," 29","Sainte-Cécile-de-Milton",6,53,38,55,143,9,304,484
24069,"Shefford/Shefford"," 30","Granby",6,31,31,37,120,5,230,484
24069,"Shefford/Shefford"," 31","Granby",12,62,45,63,138,6,326,532
24069,"Shefford/Shefford"," 32","Granby",3,57,52,53,124,8,297,503
24069,"Shefford/Shefford"," 33","Granby",6,62,42,41,159,11,321,519
24069,"Shefford/Shefford"," 34","Granby",3,35,23,46,70,1,178,302
24069,"Shefford/Shefford"," 35","Granby",15,67,42,59,127,6,316,492
24069,"Shefford/Shefford"," 36","Granby",12,56,42,60,145,7,322,533
24069,"Shefford/Shefford"," 36-1","Granby",3,40,28,38,70,1,180,294
24069,"Shefford/Shefford"," 37","Granby",7,35,33,62,108,5,250,436
24069,"Shefford/Shefford"," 38","Granby",9,42,40,37,104,12,244,442
24069,"Shefford/Shefford"," 39A","Granby",6,23,21,17,66,4,137,257
24069,"Shefford/Shefford"," 39B","Granby",5,32,37,13,88,1,176,293
24069,"Shefford/Shefford"," 40","Granby",8,48,33,49,128,0,266,448
24069,"Shefford/Shefford"," 41","Granby",3,66,39,67,137,7,319,501
24069,"Shefford/Shefford"," 42","Granby",5,43,40,82,112,1,283,513
24069,"Shefford/Shefford"," 43A","Granby",1,25,24,20,59,5,134,296
24069,"Shefford/Shefford"," 43B","Granby",2,40,19,21,62,4,148,302
24069,"Shefford/Shefford"," 44","Granby",2,19,12,17,36,2,88,212
24069,"Shefford/Shefford"," 44-1","Granby",1,9,13,17,79,3,122,275
24069,"Shefford/Shefford"," 45","Granby",7,62,33,49,138,3,292,526
24069,"Shefford/Shefford"," 46","Granby",9,73,52,57,111,4,306,507
24069,"Shefford/Shefford"," 47","Granby",9,35,34,20,86,1,185,339
24069,"Shefford/Shefford"," 48","Saint-Alphonse",16,45,37,54,118,0,270,485
24069,"Shefford/Shefford"," 49","Saint-Alphonse",18,53,49,36,147,7,310,428
24069,"Shefford/Shefford"," 50","Saint-Alphonse",7,54,31,56,71,5,224,383
24069,"Shefford/Shefford"," 51","Saint-Alphonse",14,35,46,50,134,17,296,449
24069,"Shefford/Shefford"," 52","Saint-Alphonse",8,49,38,31,159,8,293,452
24069,"Shefford/Shefford"," 53","Granby",5,66,18,61,78,7,235,466
24069,"Shefford/Shefford"," 54","Granby",5,83,23,72,71,9,263,411
24069,"Shefford/Shefford"," 54-1","Granby",6,65,11,67,79,1,229,424
24069,"Shefford/Shefford"," 55","Granby",6,43,22,45,86,1,203,374
24069,"Shefford/Shefford"," 56","Granby",8,48,34,50,104,5,249,469
24069,"Shefford/Shefford"," 57","Granby",3,38,26,42,81,4,194,351
24069,"Shefford/Shefford"," 58","Granby",11,52,26,30,79,6,204,343
24069,"Shefford/Shefford"," 59","Granby",8,51,33,37,103,11,243,430
24069,"Shefford/Shefford"," 60","Granby",7,42,20,47,97,7,220,359
24069,"Shefford/Shefford"," 61","Granby",8,52,50,51,109,4,274,417
24069,"Shefford/Shefford"," 62","Granby",4,60,52,60,95,3,274,473
24069,"Shefford/Shefford"," 63","Granby",8,87,57,42,119,2,315,487
24069,"Shefford/Shefford"," 63-1A","Granby",3,20,17,11,25,0,76,167
24069,"Shefford/Shefford"," 63-1B","Granby",1,40,19,26,33,0,119,160
24069,"Shefford/Shefford"," 63-1C","Granby",Merged with No. 63/Fusionné avec le nº 63,,,,,,,22
24069,"Shefford/Shefford"," 64","Granby",11,94,49,51,108,4,317,510
24069,"Shefford/Shefford"," 65","Granby",3,71,41,56,98,3,272,415
24069,"Shefford/Shefford"," 66A","Granby",97,58,26,38,80,4,303,342
24069,"Shefford/Shefford"," 66B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,10
24069,"Shefford/Shefford"," 67A","Granby",3,63,28,43,101,5,243,362
24069,"Shefford/Shefford"," 67B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,11
24069,"Shefford/Shefford"," 68","Granby",1,55,23,31,104,5,219,336
24069,"Shefford/Shefford"," 69","Granby",10,31,24,21,68,3,157,262
24069,"Shefford/Shefford"," 70","Granby",7,33,16,20,67,9,152,321
24069,"Shefford/Shefford"," 71","Granby",6,50,21,45,69,2,193,389
24069,"Shefford/Shefford"," 72","Granby",5,51,32,57,100,5,250,479
24069,"Shefford/Shefford"," 73","Granby",6,62,25,36,82,5,216,414
24069,"Shefford/Shefford"," 74","Granby",6,73,31,81,102,11,304,498
24069,"Shefford/Shefford"," 75","Granby",5,55,32,49,104,4,249,429
24069,"Shefford/Shefford"," 76","Granby",12,55,24,33,84,0,208,457
24069,"Shefford/Shefford"," 77","Granby",5,16,9,13,37,3,83,266
24069,"Shefford/Shefford"," 78","Granby",6,39,27,24,87,5,188,332
24069,"Shefford/Shefford"," 79","Granby",5,53,22,38,101,5,224,396
24069,"Shefford/Shefford"," 80","Granby",7,55,37,38,78,4,219,359
24069,"Shefford/Shefford"," 81","Granby",10,72,28,43,80,2,235,365
24069,"Shefford/Shefford"," 82","Granby",5,44,21,26,81,4,181,392
24069,"Shefford/Shefford"," 83","Granby",9,17,18,18,64,4,130,321
24069,"Shefford/Shefford"," 84","Granby",11,37,25,35,78,8,194,344
24069,"Shefford/Shefford"," 85","Granby",5,47,28,32,104,5,221,512
24069,"Shefford/Shefford"," 86","Granby",5,23,12,21,70,3,134,372
24069,"Shefford/Shefford"," 87","Granby",4,31,16,18,47,3,119,316
24069,"Shefford/Shefford"," 88","Granby",10,46,19,33,82,3,193,343
24069,"Shefford/Shefford"," 89","Granby",11,54,33,36,74,4,212,425
24069,"Shefford/Shefford"," 90","Granby",8,59,28,23,90,2,210,339
24069,"Shefford/Shefford"," 91","Granby",5,83,28,49,91,4,260,431
24069,"Shefford/Shefford"," 92","Granby",5,71,40,43,114,5,278,479
24069,"Shefford/Shefford"," 93","Granby",3,50,7,33,46,0,139,267
24069,"Shefford/Shefford"," 94A","Granby",8,77,40,40,127,2,294,500
24069,"Shefford/Shefford"," 94B","Granby",15,47,28,47,117,3,257,420
24069,"Shefford/Shefford"," 95","Granby",5,31,29,31,54,3,153,289
24069,"Shefford/Shefford"," 95-1A","Granby",5,52,29,31,59,0,176,294
24069,"Shefford/Shefford"," 95-1B","Granby",3,52,16,43,73,0,187,316
24069,"Shefford/Shefford"," 96","Granby",5,46,31,43,121,3,249,514
24069,"Shefford/Shefford"," 96-1","Granby",6,30,31,35,94,7,203,372
24069,"Shefford/Shefford"," 97A","Granby",3,13,17,15,68,4,120,295
24069,"Shefford/Shefford"," 97B","Granby",2,17,10,13,48,1,91,282
24069,"Shefford/Shefford"," 98A","Granby",1,24,14,23,63,0,125,340
24069,"Shefford/Shefford"," 98B","Granby",4,33,8,26,62,2,135,341
24069,"Shefford/Shefford"," 99","Granby",8,46,22,41,102,5,224,433
24069,"Shefford/Shefford"," 100","Granby",4,28,41,39,109,5,226,493
24069,"Shefford/Shefford"," 101","Granby",10,25,29,21,61,3,149,301
24069,"Shefford/Shefford"," 102","Granby",10,24,18,45,82,1,180,458
24069,"Shefford/Shefford"," 103","Granby",8,37,17,35,81,4,182,386
24069,"Shefford/Shefford"," 104","Granby",8,57,38,48,110,7,268,457
24069,"Shefford/Shefford"," 105","Granby",5,31,12,27,68,4,147,359
24069,"Shefford/Shefford"," 106","Granby",11,26,21,31,79,3,171,393
24069,"Shefford/Shefford"," 107A","Granby",6,32,20,25,77,4,164,379
24069,"Shefford/Shefford"," 107B","Mobile poll/Bureau itinérant",Merged with No. 504B/Fusionné avec le nº 504B,,,,,,,23
24069,"Shefford/Shefford"," 108","Granby",4,37,20,25,68,2,156,362
24069,"Shefford/Shefford"," 109","Granby",9,19,20,31,68,5,152,399
24069,"Shefford/Shefford"," 110A","Granby",5,22,14,27,61,2,131,318
24069,"Shefford/Shefford"," 110B","Mobile poll/Bureau itinérant",Merged with No. 504B/Fusionné avec le nº 504B,,,,,,,57
24069,"Shefford/Shefford"," 111A","Granby",3,21,12,25,51,3,115,290
24069,"Shefford/Shefford"," 111B","Mobile poll/Bureau itinérant",Merged with No. 111D/Fusionné avec le nº 111D,,,,,,,55
24069,"Shefford/Shefford"," 111C","Mobile poll/Bureau itinérant",Merged with No. 111D/Fusionné avec le nº 111D,,,,,,,56
24069,"Shefford/Shefford"," 111D","Mobile poll/Bureau itinérant",3,61,6,39,36,7,152,80
24069,"Shefford/Shefford"," 111E","Mobile poll/Bureau itinérant",Merged with No. 111D/Fusionné avec le nº 111D,,,,,,,70
24069,"Shefford/Shefford"," 112","Granby",8,29,26,28,74,1,166,361
24069,"Shefford/Shefford"," 113","Granby",4,25,9,22,56,2,118,287
24069,"Shefford/Shefford"," 114","Granby",3,36,24,37,82,3,185,413
24069,"Shefford/Shefford"," 115","Granby",7,41,39,18,109,1,215,392
24069,"Shefford/Shefford"," 116","Granby",9,52,40,64,102,1,268,464
24069,"Shefford/Shefford"," 117","Granby",8,42,33,40,112,3,238,398
24069,"Shefford/Shefford"," 118","Granby",3,33,28,35,86,3,188,307
24069,"Shefford/Shefford"," 119","Granby",8,55,24,43,105,2,237,519
24069,"Shefford/Shefford"," 120","Granby",Void/Supprimé,,,,,,,
24069,"Shefford/Shefford"," 121","Granby",8,40,21,25,97,7,198,396
24069,"Shefford/Shefford"," 122","Granby",15,52,25,19,89,3,203,434
24069,"Shefford/Shefford"," 123","Granby",13,34,34,40,93,4,218,388
24069,"Shefford/Shefford"," 124","Granby",5,65,14,80,63,2,229,342
24069,"Shefford/Shefford"," 125","Granby",11,53,52,68,123,7,314,548
24069,"Shefford/Shefford"," 126","Granby",4,62,24,70,74,2,236,395
24069,"Shefford/Shefford"," 127","Granby",15,40,24,26,64,5,174,353
24069,"Shefford/Shefford"," 128A","Granby",8,40,23,33,60,1,165,307
24069,"Shefford/Shefford"," 128B","Granby",4,36,15,35,64,5,159,298
24069,"Shefford/Shefford"," 129","Granby",10,46,27,38,94,5,220,364
24069,"Shefford/Shefford"," 129-1","Granby",1,66,30,88,79,5,269,448
24069,"Shefford/Shefford"," 130","Granby",14,58,56,61,155,4,348,532
24069,"Shefford/Shefford"," 131","Granby",7,34,22,47,103,4,217,412
24069,"Shefford/Shefford"," 132","Granby",10,34,32,34,110,9,229,439
24069,"Shefford/Shefford"," 133","Granby",7,32,26,29,92,3,189,370
24069,"Shefford/Shefford"," 133-1","Granby",11,40,45,54,118,6,274,419
24069,"Shefford/Shefford"," 134","Granby",6,43,35,38,82,5,209,347
24069,"Shefford/Shefford"," 134-1A","Granby",5,28,20,23,68,1,145,301
24069,"Shefford/Shefford"," 134-1B","Granby",4,16,15,17,69,1,122,294
24069,"Shefford/Shefford"," 135","Granby",13,53,46,35,131,4,282,510
24069,"Shefford/Shefford"," 135-1","Granby",7,51,52,36,123,6,275,443
24069,"Shefford/Shefford"," 136A","Granby",4,43,22,34,65,6,174,325
24069,"Shefford/Shefford"," 136B","Granby",8,52,29,33,67,3,192,345
24069,"Shefford/Shefford"," 137","Granby",9,44,36,53,111,2,255,427
24069,"Shefford/Shefford"," 138","Roxton Pond",10,63,31,57,137,4,302,474
24069,"Shefford/Shefford"," 139","Roxton Pond",11,46,29,70,135,13,304,507
24069,"Shefford/Shefford"," 140","Roxton Pond",12,58,36,59,114,8,287,468
24069,"Shefford/Shefford"," 141","Roxton Pond",11,59,30,39,147,5,291,473
24069,"Shefford/Shefford"," 142","Roxton Pond",4,53,37,38,72,6,210,301
24069,"Shefford/Shefford"," 142-1","Roxton Pond",7,31,26,35,66,7,172,317
24069,"Shefford/Shefford"," 143","Roxton Pond",8,24,22,23,61,3,141,211
24069,"Shefford/Shefford"," 144","Saint-Joachim-de-Shefford",12,49,36,25,150,8,280,475
24069,"Shefford/Shefford"," 145","Saint-Joachim-de-Shefford",17,31,17,34,114,1,214,393
24069,"Shefford/Shefford"," 146","Shefford",16,37,45,48,110,6,262,487
24069,"Shefford/Shefford"," 147","Shefford",14,51,34,57,152,10,318,536
24069,"Shefford/Shefford"," 148","Shefford",5,27,31,40,80,1,184,328
24069,"Shefford/Shefford"," 149","Shefford",17,57,40,43,119,3,279,510
24069,"Shefford/Shefford"," 149-1","Shefford",9,38,55,52,115,10,279,498
24069,"Shefford/Shefford"," 150","Shefford",8,45,25,27,57,1,163,300
24069,"Shefford/Shefford"," 151A","Shefford",13,36,24,26,72,0,171,301
24069,"Shefford/Shefford"," 151B","Shefford",6,39,27,21,72,0,165,296
24069,"Shefford/Shefford"," 151-1","Shefford",9,45,22,27,82,4,189,315
24069,"Shefford/Shefford"," 152","Shefford",13,46,44,59,90,2,254,489
24069,"Shefford/Shefford"," 153","Warden",3,32,22,38,52,5,152,257
24069,"Shefford/Shefford"," 154","Shefford",13,51,25,47,55,4,195,350
24069,"Shefford/Shefford"," 155","Shefford",10,50,21,23,65,4,173,399
24069,"Shefford/Shefford"," 156","Waterloo",5,55,28,28,64,3,183,428
24069,"Shefford/Shefford"," 157","Waterloo",10,51,16,25,45,5,152,368
24069,"Shefford/Shefford"," 158","Waterloo",8,46,20,40,56,2,172,366
24069,"Shefford/Shefford"," 159A","Waterloo",5,26,17,17,29,4,98,240
24069,"Shefford/Shefford"," 159B","Waterloo",11,23,15,19,29,3,100,245
24069,"Shefford/Shefford"," 159-1","Waterloo",3,34,14,44,59,3,157,331
24069,"Shefford/Shefford"," 160","Waterloo",5,76,51,60,123,7,322,546
24069,"Shefford/Shefford"," 161","Waterloo",4,34,20,42,70,3,173,389
24069,"Shefford/Shefford"," 162","Waterloo",7,56,25,47,112,8,255,395
24069,"Shefford/Shefford"," 163","Maricourt",8,32,15,48,99,4,206,315
24069,"Shefford/Shefford"," 164","Racine",18,65,27,50,111,4,275,439
24069,"Shefford/Shefford"," 165","Racine",13,85,40,70,168,3,379,570
24069,"Shefford/Shefford"," 166","Valcourt",22,57,21,68,102,7,277,466
24069,"Shefford/Shefford"," 167","Valcourt",12,55,40,67,125,9,308,535
24069,"Shefford/Shefford"," 168","Valcourt",11,36,19,47,52,4,169,307
24069,"Shefford/Shefford"," 169","Valcourt",5,27,10,29,47,2,120,238
24069,"Shefford/Shefford"," 170A","Valcourt",12,53,13,37,54,2,171,328
24069,"Shefford/Shefford"," 170B","Mobile poll/Bureau itinérant",Merged with No. 500A/Fusionné avec le nº 500A,,,,,,,29
24069,"Shefford/Shefford"," 171","Valcourt",8,38,20,41,70,5,182,357
24069,"Shefford/Shefford"," 172","Valcourt",9,41,18,44,78,4,194,362
24069,"Shefford/Shefford"," 173","Sainte-Anne-de-la-Rochelle",11,51,33,47,152,11,305,472
24069,"Shefford/Shefford"," 174","Lawrenceville",18,62,54,62,98,8,302,509
24069,"Shefford/Shefford"," 175","Bonsecours",9,68,39,60,136,1,313,489
24069,"Shefford/Shefford"," 400","Granby",6,79,6,64,64,4,223,310
24069,"Shefford/Shefford"," 500A","Mobile poll/Bureau itinérant",2,29,0,14,15,1,61,57
24069,"Shefford/Shefford"," 500B","Mobile poll/Bureau itinérant",Merged with No. 501A/Fusionné avec le nº 501A,,,,,,,40
