Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bachand,Serge Cardin,Sébastien Côrriveau,Nathalie Goguen,Yves Mondoux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Sherbrooke/Sherbrooke"," 1","Brompton",43,168,1,57,40,2,311,523
24070,"Sherbrooke/Sherbrooke"," 2","Brompton",40,119,1,18,37,4,219,354
24070,"Sherbrooke/Sherbrooke"," 3","Bromptonville",71,187,1,34,45,3,341,546
24070,"Sherbrooke/Sherbrooke"," 4","Bromptonville",44,91,1,18,26,2,182,316
24070,"Sherbrooke/Sherbrooke"," 5","Bromptonville",26,108,1,28,25,6,194,398
24070,"Sherbrooke/Sherbrooke"," 6","Bromptonville",39,149,4,30,42,3,267,509
24070,"Sherbrooke/Sherbrooke"," 6-1","Bromptonville",28,141,1,38,50,3,261,372
24070,"Sherbrooke/Sherbrooke"," 7","Bromptonville",20,96,1,25,17,3,162,295
24070,"Sherbrooke/Sherbrooke"," 8","Bromptonville",22,104,1,30,27,5,189,361
24070,"Sherbrooke/Sherbrooke"," 9","Brompton",23,58,1,12,5,2,101,206
24070,"Sherbrooke/Sherbrooke"," 10","Brompton",48,184,4,60,71,6,373,592
24070,"Sherbrooke/Sherbrooke"," 11","Sherbrooke",59,157,3,80,50,1,350,593
24070,"Sherbrooke/Sherbrooke"," 12","Sherbrooke",39,143,1,50,28,0,261,386
24070,"Sherbrooke/Sherbrooke"," 13","Sherbrooke",39,155,3,66,56,4,323,599
24070,"Sherbrooke/Sherbrooke"," 13-1","Sherbrooke",42,116,6,38,27,0,229,470
24070,"Sherbrooke/Sherbrooke"," 14","Sherbrooke",30,99,2,50,33,0,214,383
24070,"Sherbrooke/Sherbrooke"," 15","Sherbrooke",33,119,1,46,30,1,230,396
24070,"Sherbrooke/Sherbrooke"," 16","Sherbrooke",57,109,0,82,23,3,274,444
24070,"Sherbrooke/Sherbrooke"," 17","Sherbrooke",69,126,1,59,33,2,290,529
24070,"Sherbrooke/Sherbrooke"," 18","Sherbrooke",58,124,4,50,47,5,288,565
24070,"Sherbrooke/Sherbrooke"," 19","Sherbrooke",40,139,5,68,48,3,303,496
24070,"Sherbrooke/Sherbrooke"," 20","Sherbrooke",19,70,0,29,35,1,154,297
24070,"Sherbrooke/Sherbrooke"," 20-1","Sherbrooke",27,101,0,45,31,0,204,319
24070,"Sherbrooke/Sherbrooke"," 21","Sherbrooke",52,104,3,58,35,2,254,526
24070,"Sherbrooke/Sherbrooke"," 22","Sherbrooke",53,140,7,72,39,2,313,647
24070,"Sherbrooke/Sherbrooke"," 23","Sherbrooke",9,23,1,16,3,0,52,120
24070,"Sherbrooke/Sherbrooke"," 24","Sherbrooke",30,83,0,36,45,1,195,442
24070,"Sherbrooke/Sherbrooke"," 25","Sherbrooke",54,114,3,65,40,0,276,534
24070,"Sherbrooke/Sherbrooke"," 25-1","Sherbrooke",19,34,1,22,9,0,85,178
24070,"Sherbrooke/Sherbrooke"," 26","Sherbrooke",59,135,3,60,40,5,302,622
24070,"Sherbrooke/Sherbrooke"," 27","Sherbrooke",42,108,2,79,31,2,264,440
24070,"Sherbrooke/Sherbrooke"," 28","Sherbrooke",35,106,3,61,35,2,242,512
24070,"Sherbrooke/Sherbrooke"," 29","Sherbrooke",42,96,8,56,29,3,234,451
24070,"Sherbrooke/Sherbrooke"," 30","Sherbrooke",53,43,2,47,10,2,157,426
24070,"Sherbrooke/Sherbrooke"," 31","Sherbrooke",51,85,4,66,13,0,219,478
24070,"Sherbrooke/Sherbrooke"," 32","Sherbrooke",33,66,1,39,12,0,151,325
24070,"Sherbrooke/Sherbrooke"," 33","Sherbrooke",34,95,0,53,36,0,218,378
24070,"Sherbrooke/Sherbrooke"," 34","Sherbrooke",20,80,1,29,18,2,150,278
24070,"Sherbrooke/Sherbrooke"," 35","Sherbrooke",29,99,3,51,26,2,210,409
24070,"Sherbrooke/Sherbrooke"," 36","Sherbrooke",44,140,1,34,45,4,268,389
24070,"Sherbrooke/Sherbrooke"," 37","Sherbrooke",40,146,4,99,42,2,333,533
24070,"Sherbrooke/Sherbrooke"," 38","Sherbrooke",31,114,3,94,25,2,269,432
24070,"Sherbrooke/Sherbrooke"," 39","Sherbrooke",46,98,3,79,37,1,264,373
24070,"Sherbrooke/Sherbrooke"," 40","Sherbrooke",37,110,1,58,25,2,233,358
24070,"Sherbrooke/Sherbrooke"," 41","Sherbrooke",28,124,0,55,23,1,231,353
24070,"Sherbrooke/Sherbrooke"," 42","Sherbrooke",24,152,2,34,38,3,253,411
24070,"Sherbrooke/Sherbrooke"," 43","Sherbrooke",29,71,0,71,19,3,193,362
24070,"Sherbrooke/Sherbrooke"," 44","Sherbrooke",18,129,1,65,32,2,247,399
24070,"Sherbrooke/Sherbrooke"," 45","Sherbrooke",18,135,5,59,32,3,252,400
24070,"Sherbrooke/Sherbrooke"," 46","Sherbrooke",22,118,2,34,45,5,226,415
24070,"Sherbrooke/Sherbrooke"," 47","Sherbrooke",22,98,1,59,28,0,208,363
24070,"Sherbrooke/Sherbrooke"," 48","Sherbrooke",20,90,2,37,34,2,185,393
24070,"Sherbrooke/Sherbrooke"," 49","Sherbrooke",21,99,1,50,21,3,195,355
24070,"Sherbrooke/Sherbrooke"," 50","Sherbrooke",35,59,0,68,19,1,182,349
24070,"Sherbrooke/Sherbrooke"," 51","Sherbrooke",69,105,1,98,28,1,302,470
24070,"Sherbrooke/Sherbrooke"," 52","Sherbrooke",50,109,5,48,47,2,261,515
24070,"Sherbrooke/Sherbrooke"," 53","Sherbrooke",42,140,1,71,54,2,310,516
24070,"Sherbrooke/Sherbrooke"," 54","Sherbrooke",38,105,2,87,37,2,271,404
24070,"Sherbrooke/Sherbrooke"," 55","Sherbrooke",32,110,3,56,27,0,228,350
24070,"Sherbrooke/Sherbrooke"," 56","Sherbrooke",33,74,3,40,22,2,174,353
24070,"Sherbrooke/Sherbrooke"," 57","Fleurimont",27,118,1,30,46,2,224,360
24070,"Sherbrooke/Sherbrooke"," 57-1","Fleurimont",38,143,3,44,40,3,271,505
24070,"Sherbrooke/Sherbrooke"," 58","Fleurimont",37,125,0,28,33,0,223,389
24070,"Sherbrooke/Sherbrooke"," 59","Fleurimont",25,102,0,28,28,1,184,402
24070,"Sherbrooke/Sherbrooke"," 60","Fleurimont",22,80,3,36,23,3,167,261
24070,"Sherbrooke/Sherbrooke"," 61","Fleurimont",31,129,3,27,37,2,229,438
24070,"Sherbrooke/Sherbrooke"," 62","Fleurimont",23,99,1,22,26,3,174,295
24070,"Sherbrooke/Sherbrooke"," 62-1","Fleurimont",23,115,1,25,32,3,199,383
24070,"Sherbrooke/Sherbrooke"," 63","Fleurimont",25,139,3,36,55,0,258,453
24070,"Sherbrooke/Sherbrooke"," 64","Fleurimont",36,110,0,30,24,1,201,400
24070,"Sherbrooke/Sherbrooke"," 65","Fleurimont",29,84,2,21,22,3,161,402
24070,"Sherbrooke/Sherbrooke"," 66","Fleurimont",47,141,3,36,36,3,266,533
24070,"Sherbrooke/Sherbrooke"," 67","Fleurimont",59,208,1,61,55,9,393,681
24070,"Sherbrooke/Sherbrooke"," 67-1","Fleurimont",18,74,0,22,27,4,145,308
24070,"Sherbrooke/Sherbrooke"," 68","Fleurimont",Void/Supprimé,,,,,,,
24070,"Sherbrooke/Sherbrooke"," 69","Fleurimont",34,61,0,21,21,1,138,236
24070,"Sherbrooke/Sherbrooke"," 69-1","Fleurimont",69,163,0,52,48,1,333,563
24070,"Sherbrooke/Sherbrooke"," 70","Fleurimont",32,171,0,39,37,4,283,521
24070,"Sherbrooke/Sherbrooke"," 71","Fleurimont",42,120,0,40,23,4,229,398
24070,"Sherbrooke/Sherbrooke"," 72","Fleurimont",43,143,0,48,28,1,263,441
24070,"Sherbrooke/Sherbrooke"," 73","Fleurimont",34,100,2,36,31,0,203,354
24070,"Sherbrooke/Sherbrooke"," 74","Fleurimont",43,110,2,25,24,4,208,428
24070,"Sherbrooke/Sherbrooke"," 75","Fleurimont",35,132,0,38,36,2,243,409
24070,"Sherbrooke/Sherbrooke"," 76","Fleurimont",49,152,3,71,56,3,334,578
24070,"Sherbrooke/Sherbrooke"," 77","Fleurimont",31,122,2,30,25,4,214,373
24070,"Sherbrooke/Sherbrooke"," 78","Fleurimont",29,143,2,53,39,3,269,379
24070,"Sherbrooke/Sherbrooke"," 78-1","Fleurimont",41,154,4,34,33,4,270,389
24070,"Sherbrooke/Sherbrooke"," 79","Fleurimont",48,183,4,51,49,3,338,559
24070,"Sherbrooke/Sherbrooke"," 80","Fleurimont",26,112,2,38,30,4,212,308
24070,"Sherbrooke/Sherbrooke"," 80-1","Fleurimont",30,186,3,41,39,2,301,425
24070,"Sherbrooke/Sherbrooke"," 81","Fleurimont",49,197,2,77,62,3,390,587
24070,"Sherbrooke/Sherbrooke"," 82","Fleurimont",Void/Supprimé,,,,,,,
24070,"Sherbrooke/Sherbrooke"," 83","Fleurimont",79,184,2,68,53,9,395,571
24070,"Sherbrooke/Sherbrooke"," 84","Sherbrooke",45,80,1,41,25,1,193,346
24070,"Sherbrooke/Sherbrooke"," 85","Sherbrooke",29,146,0,38,37,0,250,404
24070,"Sherbrooke/Sherbrooke"," 86","Sherbrooke",20,119,4,25,27,2,197,401
24070,"Sherbrooke/Sherbrooke"," 87A","Sherbrooke",5,29,0,6,4,0,44,169
24070,"Sherbrooke/Sherbrooke"," 87B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,93
24070,"Sherbrooke/Sherbrooke"," 88","Sherbrooke",10,80,2,13,24,3,132,276
24070,"Sherbrooke/Sherbrooke"," 89","Sherbrooke",20,71,0,23,30,4,148,363
24070,"Sherbrooke/Sherbrooke"," 90","Sherbrooke",33,98,2,40,28,2,203,323
24070,"Sherbrooke/Sherbrooke"," 91","Sherbrooke",35,71,4,26,26,0,162,342
24070,"Sherbrooke/Sherbrooke"," 92","Sherbrooke",24,88,0,20,33,4,169,442
24070,"Sherbrooke/Sherbrooke"," 93","Sherbrooke",16,62,2,19,14,2,115,306
24070,"Sherbrooke/Sherbrooke"," 94","Sherbrooke",18,76,1,10,26,0,131,304
24070,"Sherbrooke/Sherbrooke"," 95","Sherbrooke",14,79,0,22,10,1,126,337
24070,"Sherbrooke/Sherbrooke"," 96","Sherbrooke",16,111,7,21,17,3,175,383
