Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ariane Blais,Geneviève Boivin,Paule Brunelle,Claude Durand,Marcos G. Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Trois-Rivières/Trois-Rivières"," 1","Trois-Rivières",9,11,95,69,34,6,224,412
24072,"Trois-Rivières/Trois-Rivières"," 2","Trois-Rivières",17,19,76,53,12,5,182,418
24072,"Trois-Rivières/Trois-Rivières"," 3","Trois-Rivières",4,20,61,39,28,6,158,313
24072,"Trois-Rivières/Trois-Rivières"," 4","Trois-Rivières",12,25,121,56,45,3,262,503
24072,"Trois-Rivières/Trois-Rivières"," 5","Trois-Rivières",17,34,154,68,31,7,311,577
24072,"Trois-Rivières/Trois-Rivières"," 6","Trois-Rivières",4,10,94,50,16,5,179,321
24072,"Trois-Rivières/Trois-Rivières"," 7","Trois-Rivières",5,20,103,46,26,6,206,413
24072,"Trois-Rivières/Trois-Rivières"," 8","Trois-Rivières",11,30,113,63,22,7,246,504
24072,"Trois-Rivières/Trois-Rivières"," 9","Trois-Rivières",8,30,104,49,33,7,231,395
24072,"Trois-Rivières/Trois-Rivières"," 10","Trois-Rivières",12,23,99,49,23,2,208,469
24072,"Trois-Rivières/Trois-Rivières"," 11","Trois-Rivières",11,39,143,54,31,7,285,501
24072,"Trois-Rivières/Trois-Rivières"," 12","Trois-Rivières",4,35,120,43,29,1,232,382
24072,"Trois-Rivières/Trois-Rivières"," 13","Trois-Rivières",6,33,129,68,34,1,271,495
24072,"Trois-Rivières/Trois-Rivières"," 14","Trois-Rivières",13,27,87,66,36,5,234,403
24072,"Trois-Rivières/Trois-Rivières"," 15","Trois-Rivières",16,25,138,62,24,8,273,513
24072,"Trois-Rivières/Trois-Rivières"," 16","Trois-Rivières",22,36,147,56,51,8,320,557
24072,"Trois-Rivières/Trois-Rivières"," 17","Trois-Rivières",7,30,130,61,59,4,291,510
24072,"Trois-Rivières/Trois-Rivières"," 18","Trois-Rivières",8,31,110,44,48,7,248,397
24072,"Trois-Rivières/Trois-Rivières"," 19","Trois-Rivières",9,18,106,46,24,6,209,428
24072,"Trois-Rivières/Trois-Rivières"," 20A","Trois-Rivières",4,30,116,53,45,3,251,499
24072,"Trois-Rivières/Trois-Rivières"," 20B","Trois-Rivières",5,23,106,68,41,9,252,473
24072,"Trois-Rivières/Trois-Rivières"," 21","Trois-Rivières",4,9,62,42,30,4,151,262
24072,"Trois-Rivières/Trois-Rivières"," 22","Trois-Rivières",8,22,81,59,43,4,217,404
24072,"Trois-Rivières/Trois-Rivières"," 23","Trois-Rivières",7,19,92,48,32,8,206,438
24072,"Trois-Rivières/Trois-Rivières"," 24","Trois-Rivières",5,27,120,34,36,2,224,382
24072,"Trois-Rivières/Trois-Rivières"," 25","Trois-Rivières",8,22,99,44,42,0,215,344
24072,"Trois-Rivières/Trois-Rivières"," 26","Trois-Rivières",12,37,128,55,51,6,289,481
24072,"Trois-Rivières/Trois-Rivières"," 27","Trois-Rivières",8,23,127,74,51,5,288,448
24072,"Trois-Rivières/Trois-Rivières"," 28","Trois-Rivières",9,33,109,98,67,4,320,511
24072,"Trois-Rivières/Trois-Rivières"," 29","Trois-Rivières",6,20,53,38,20,2,139,276
24072,"Trois-Rivières/Trois-Rivières"," 29-1","Trois-Rivières",8,43,127,86,62,7,333,603
24072,"Trois-Rivières/Trois-Rivières"," 30","Trois-Rivières",3,16,98,32,36,4,189,328
24072,"Trois-Rivières/Trois-Rivières"," 31","Trois-Rivières",4,35,111,75,60,4,289,459
24072,"Trois-Rivières/Trois-Rivières"," 32","Trois-Rivières",12,21,101,55,65,2,256,389
24072,"Trois-Rivières/Trois-Rivières"," 33","Trois-Rivières",8,19,116,36,26,3,208,342
24072,"Trois-Rivières/Trois-Rivières"," 34","Trois-Rivières",3,23,99,53,22,5,205,352
24072,"Trois-Rivières/Trois-Rivières"," 35","Trois-Rivières",7,22,106,45,32,1,213,355
24072,"Trois-Rivières/Trois-Rivières"," 36","Trois-Rivières",4,13,78,32,28,3,158,316
24072,"Trois-Rivières/Trois-Rivières"," 37","Trois-Rivières",5,22,107,41,20,3,198,323
24072,"Trois-Rivières/Trois-Rivières"," 38","Trois-Rivières",11,20,87,44,42,0,204,300
24072,"Trois-Rivières/Trois-Rivières"," 39","Trois-Rivières",3,9,29,19,17,1,78,286
24072,"Trois-Rivières/Trois-Rivières"," 40","Trois-Rivières",10,27,122,53,30,5,247,522
24072,"Trois-Rivières/Trois-Rivières"," 41","Trois-Rivières",8,21,129,75,40,9,282,518
24072,"Trois-Rivières/Trois-Rivières"," 42","Trois-Rivières",5,16,104,57,45,0,227,455
24072,"Trois-Rivières/Trois-Rivières"," 43","Trois-Rivières",16,31,134,95,35,8,319,581
24072,"Trois-Rivières/Trois-Rivières"," 44","Trois-Rivières",11,37,124,60,47,8,287,476
24072,"Trois-Rivières/Trois-Rivières"," 45","Trois-Rivières",1,16,118,44,35,5,219,423
24072,"Trois-Rivières/Trois-Rivières"," 46","Trois-Rivières",6,37,111,63,34,1,252,466
24072,"Trois-Rivières/Trois-Rivières"," 47","Trois-Rivières",6,28,146,75,53,5,313,593
24072,"Trois-Rivières/Trois-Rivières"," 48","Trois-Rivières",7,33,128,71,51,5,295,556
24072,"Trois-Rivières/Trois-Rivières"," 49","Trois-Rivières",10,30,113,57,50,5,265,490
24072,"Trois-Rivières/Trois-Rivières"," 50","Trois-Rivières",7,26,123,43,42,5,246,431
24072,"Trois-Rivières/Trois-Rivières"," 50-1","Trois-Rivières",5,25,58,49,33,5,175,360
24072,"Trois-Rivières/Trois-Rivières"," 51","Trois-Rivières",14,34,166,83,52,1,350,574
24072,"Trois-Rivières/Trois-Rivières"," 52","Trois-Rivières",7,25,121,61,43,5,262,410
24072,"Trois-Rivières/Trois-Rivières"," 53","Trois-Rivières",8,15,69,29,32,4,157,335
24072,"Trois-Rivières/Trois-Rivières"," 54","Trois-Rivières",5,39,137,77,43,5,306,504
24072,"Trois-Rivières/Trois-Rivières"," 54-1","Trois-Rivières",6,20,48,32,10,0,116,185
24072,"Trois-Rivières/Trois-Rivières"," 55","Trois-Rivières",6,25,109,39,26,4,209,386
24072,"Trois-Rivières/Trois-Rivières"," 56","Trois-Rivières",8,26,114,69,59,0,276,407
24072,"Trois-Rivières/Trois-Rivières"," 57","Trois-Rivières",3,17,66,56,43,0,185,323
24072,"Trois-Rivières/Trois-Rivières"," 58","Trois-Rivières",0,17,63,43,28,4,155,287
24072,"Trois-Rivières/Trois-Rivières"," 59","Trois-Rivières",13,30,115,52,31,2,243,439
24072,"Trois-Rivières/Trois-Rivières"," 59-1","Trois-Rivières",5,14,86,43,34,3,185,310
24072,"Trois-Rivières/Trois-Rivières"," 60","Trois-Rivières",6,31,90,43,41,6,217,400
24072,"Trois-Rivières/Trois-Rivières"," 61","Trois-Rivières",1,15,74,31,17,5,143,298
24072,"Trois-Rivières/Trois-Rivières"," 62","Trois-Rivières",8,13,121,35,27,9,213,403
24072,"Trois-Rivières/Trois-Rivières"," 63","Trois-Rivières",5,22,91,44,32,4,198,378
24072,"Trois-Rivières/Trois-Rivières"," 64","Trois-Rivières",6,12,66,35,20,1,140,354
