Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Frank Chilelli,Gurbax S. Malhi,Mark Pajot,Jash Puniya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 1","Brampton",114,1,59,6,8,0,188,373
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 2","Brampton",124,1,68,17,21,0,231,451
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 3","Brampton",102,4,86,3,12,0,207,410
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 4","Brampton",105,2,78,8,9,0,202,474
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5A","Brampton",36,0,77,0,26,0,139,422
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5B","Brampton",32,0,47,11,17,2,109,255
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5-1","Brampton",52,0,149,5,24,1,231,558
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5-2A","Brampton",60,2,69,4,17,0,152,361
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5-2B","Brampton",77,1,77,6,12,3,176,352
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5-3A","Brampton",38,2,104,7,28,3,182,472
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5-3B","Brampton",21,0,83,7,11,5,127,343
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5-4A","Brampton",38,1,114,10,29,4,196,518
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5-4B","Brampton",50,1,70,4,17,1,143,353
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5-4C","Brampton",38,0,108,1,28,2,177,476
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5-5","Brampton",54,1,200,3,41,8,307,701
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 5-6","Brampton",53,2,188,10,34,2,289,606
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 6","Brampton",72,2,195,6,52,1,328,687
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 7","Brampton",38,0,135,6,32,2,213,497
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 7-1","Brampton",25,0,129,4,24,2,184,417
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 7-2","Brampton",25,2,112,1,31,1,172,482
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 7-3A","Brampton",17,2,59,2,3,0,83,236
35006,"Bramalea--Gore--Malton/Bramalea--Gore--Malton"," 7-3B","Brampton",47,1,130,7,30,0,215,502
