Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alina Abbott,Ron Cadotte,Matt Daudlin,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 1","Leamington",3,44,33,102,2,184,389
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 2","Leamington",12,25,19,70,1,127,250
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 3","Leamington",11,19,40,101,0,171,335
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 4","Leamington",9,33,53,117,1,213,404
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 5","Leamington",8,14,57,97,1,177,414
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 6","Leamington",9,12,57,85,3,166,348
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 7","Leamington",16,28,39,88,0,171,373
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 8","Leamington",5,15,18,85,0,123,247
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 9","Leamington",11,36,21,78,0,146,316
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 10","Leamington",2,19,28,82,0,131,261
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 11","Leamington",7,11,61,87,0,166,345
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 12","Leamington",15,32,95,82,0,224,441
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 13","Leamington",4,24,79,60,2,169,381
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 14","Leamington",9,8,54,104,7,182,320
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 15","Leamington",7,12,52,49,1,121,329
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 16","Leamington",14,36,65,100,4,219,462
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 17","Leamington",14,16,37,47,1,115,323
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 18","Leamington",6,20,44,34,0,104,289
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 19","Leamington",6,28,37,42,8,121,344
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 20","Leamington",15,26,29,49,1,120,266
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 21","Leamington",12,35,26,46,0,119,339
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 22","Leamington",6,12,22,26,0,66,269
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 23","Leamington",8,36,45,54,1,144,370
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 24","Leamington",10,26,93,56,5,190,396
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 25","Leamington",10,20,65,67,5,167,365
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 26","Leamington",11,17,60,86,4,178,414
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 27","Leamington",8,30,14,40,2,94,306
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 28","Leamington",12,36,42,70,3,163,408
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 29","Leamington",8,19,56,48,2,133,261
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 30","Leamington",8,28,41,44,0,121,319
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 31","Leamington",14,16,59,99,5,193,393
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 32","Leamington",6,30,45,82,0,163,365
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 33","Leamington",16,48,63,145,5,277,513
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 34","Leamington",7,21,70,90,1,189,341
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 35","Leamington",9,32,72,64,2,179,424
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 36","Leamington",10,30,68,84,2,194,379
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 37","Leamington",5,23,69,69,1,167,418
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 37-1","Leamington",13,17,38,54,0,122,320
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 38","Leamington",4,29,22,43,2,100,350
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 39","Leamington",18,35,43,118,0,214,490
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 40","Leamington",12,27,42,84,2,167,378
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 41","Leamington",13,24,46,89,1,173,388
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 42","Leamington",7,18,47,69,2,143,281
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 43","Leamington",10,24,62,87,0,183,320
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 44","Leamington",20,28,55,78,2,183,358
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 45","Leamington",16,37,65,111,0,229,458
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 46","Leamington",9,28,34,95,1,167,342
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 47","Leamington",11,26,46,106,0,189,394
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 48","Tilbury",14,23,61,49,1,148,266
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 49","Tilbury",7,39,33,36,1,116,283
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 50","Tilbury",6,29,27,25,0,87,243
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 51","Tilbury",8,36,47,36,0,127,334
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 52","Tilbury",9,40,39,34,2,124,321
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 53","Tilbury",9,36,51,43,0,139,355
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 54","Tilbury",7,27,24,27,0,85,181
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 55","Tilbury",9,49,55,36,0,149,330
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 56","Tilbury",7,21,27,29,0,84,194
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 57","Tilbury",18,42,88,78,0,226,474
