Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Will Arlow,Noel Burgon,Ryan Dolby,Carl Hiemstra,Joe Preston,Suzanne van Bommel,Michael van Holst,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 1","Cherry Grove",0,24,39,6,156,73,1,1,300,465
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 2","Wellburn",0,15,41,2,146,40,0,1,245,400
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 3","Thorndale",2,15,47,0,91,29,0,0,184,313
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 4","Thorndale",1,33,38,1,171,49,0,0,293,519
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 5","Evelyn",0,24,39,3,159,67,0,0,292,542
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 6","Evelyn",0,22,17,1,77,23,1,0,141,230
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 7","London",0,24,36,2,185,81,1,0,329,600
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 8","London",0,15,25,3,170,98,0,1,312,532
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 9","London",1,30,65,0,191,71,1,0,359,565
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 10","London",2,19,18,1,67,42,1,0,150,289
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 11","London",2,16,35,4,163,80,1,2,303,493
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 12","London",2,6,14,0,93,55,0,1,171,339
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 13","London",1,11,28,0,114,55,1,0,210,345
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 14","London",0,22,9,3,159,59,1,0,253,412
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 15","London",2,20,58,1,159,106,1,1,348,638
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 15-1A","London",0,11,40,0,88,78,1,2,220,380
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 15-1B","London",1,18,21,1,86,55,0,2,184,373
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 16","London",0,7,21,0,59,16,0,2,105,268
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 17","London",0,15,32,0,88,48,1,2,186,380
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 18","London",0,13,76,3,51,76,3,1,223,566
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 19","London",0,22,74,0,56,47,2,0,201,362
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 20","London",0,23,78,5,61,50,1,3,221,422
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 21","London",0,9,25,0,42,22,0,0,98,249
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 22","London",0,30,62,6,110,63,4,1,276,529
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 23","London",1,5,29,0,30,19,0,1,85,197
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 24","London",0,14,61,0,66,48,4,1,194,391
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 25","London",0,5,29,3,58,37,2,0,134,273
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 26","London",0,2,8,4,22,15,0,0,51,107
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 27","London",0,14,30,3,101,47,1,0,196,351
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 28","Thames Centre",0,23,23,5,117,31,1,1,201,396
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 29","Thames Centre",0,20,26,10,116,52,1,0,225,364
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 30","Dorchester",0,10,26,1,55,25,0,0,117,181
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 31","Dorchester",0,20,38,2,102,34,1,1,198,335
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 32","Dorchester",0,23,53,6,159,38,1,0,280,510
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 33","Dorchester",0,14,54,2,150,63,1,0,284,500
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 34","Dorchester",0,16,35,4,154,68,1,1,279,441
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 35","Dorchester",1,13,33,0,67,42,1,0,157,257
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 36","Dorchester",0,12,15,2,103,80,0,0,212,385
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 37","Dorchester",0,19,45,2,175,81,1,0,323,561
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 38","Dorchester",0,27,31,0,138,64,2,0,262,456
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 38-1","Dorchester",0,11,41,1,100,66,1,1,221,382
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 39","Nilestown",0,16,25,0,88,66,1,3,199,370
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 40","Dorchester",0,10,53,1,103,51,1,0,219,424
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 41","Putnam",1,20,36,3,136,61,1,2,260,480
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 42","Belmont",0,17,31,2,88,66,1,0,205,341
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 43","Belmont",0,18,42,4,133,53,0,0,250,464
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 44","Belmont",0,10,20,1,60,50,0,0,141,228
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 45","Belmont",0,22,37,2,95,57,0,0,213,324
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 46","Gladstone",0,22,31,2,142,61,1,0,259,426
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 47","Crampton",1,15,30,11,158,68,2,0,285,524
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 48","Wardsville",0,18,24,3,102,43,2,1,193,269
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 49","West Lorne",1,15,36,2,77,54,1,1,187,352
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 50","Rodney",0,24,39,4,138,46,2,1,254,478
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 51","Rodney",0,5,18,2,49,23,0,0,97,195
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 52","Rodney",0,4,3,1,40,30,1,0,79,161
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 53","Rodney",1,14,33,4,75,28,1,2,158,333
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 54","West Lorne",1,18,52,4,112,59,2,1,249,467
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 55","West Lorne",0,21,54,1,50,67,0,0,193,390
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 56","West Lorne",2,9,28,0,45,33,1,0,118,221
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 57","West Lorne",0,12,28,8,72,25,2,0,147,305
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 58","New Glasgow",0,7,21,4,93,44,2,1,172,269
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 59","Eagle",0,14,35,6,88,78,6,1,228,427
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 60","Dunwich",0,18,32,1,101,66,2,1,221,392
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 61","Dunwich",1,10,14,2,93,26,1,0,147,253
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 62","Dutton",0,26,68,2,101,47,2,0,246,439
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 63","Dutton",0,10,82,3,129,94,3,0,321,663
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 64","Dunwich",0,8,51,3,117,34,3,0,216,371
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 65","Wallacetown",1,4,22,1,74,27,0,0,129,203
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 66","Dunwich",1,18,32,4,95,33,1,0,184,316
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 67","Southwold",1,15,29,1,66,29,0,0,141,276
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 68","Southwold",0,8,33,4,112,37,0,0,194,293
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 69","Southwold",0,19,36,2,134,58,1,1,251,366
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 70","Southwold",0,12,33,4,64,32,1,0,146,207
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 71","Southwold",0,21,43,2,116,67,2,0,251,372
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 72","Southwold",1,12,43,7,103,48,4,1,219,419
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 73","Southwold",0,6,35,1,81,43,0,1,167,280
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 74","Southwold",2,16,37,2,138,71,0,3,269,483
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 75","Southwold",0,16,20,0,68,48,0,0,152,261
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 76","Port Stanley",0,20,37,0,72,32,0,0,161,315
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 77","Port Stanley",0,33,71,0,96,75,1,2,278,525
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 78","Port Stanley",0,12,35,0,69,68,1,1,186,331
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 79","Port Stanley",0,5,19,0,40,32,0,0,96,205
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 80","Port Stanley",0,17,23,1,52,35,0,1,129,286
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 81","Port Stanley",0,19,27,3,80,77,1,0,207,362
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 82A","Central Elgin",0,18,76,3,108,49,0,0,254,552
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 82B","Central Elgin",2,1,63,1,127,51,0,0,245,552
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 82-1","Central Elgin",0,4,26,0,76,28,0,2,136,247
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 83","St. Thomas",0,13,81,4,140,62,1,1,302,646
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 84","St. Thomas",1,14,45,3,56,52,1,0,172,290
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 85","St. Thomas",0,13,46,3,84,45,1,0,192,363
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 86","St. Thomas",0,10,31,4,74,58,0,0,177,399
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 87","St. Thomas",0,7,41,0,51,49,1,2,151,278
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 88","St. Thomas",0,6,34,1,10,22,1,1,75,252
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 89","St. Thomas",0,7,52,3,24,23,4,0,113,321
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 90","St. Thomas",0,11,44,1,62,53,0,0,171,325
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 91","St. Thomas",1,7,52,1,59,38,2,0,160,297
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 92","St. Thomas",0,16,73,1,133,56,0,2,281,514
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 93","Central Elgin",0,10,24,1,88,45,0,0,168,259
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 94","Central Elgin",0,14,46,3,123,75,1,0,262,507
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 94-1","Central Elgin",1,14,66,1,105,64,4,3,258,471
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 95","St. Thomas",1,21,55,1,63,24,0,0,165,364
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 96","St. Thomas",0,13,71,3,52,37,2,1,179,464
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 97","St. Thomas",1,20,54,4,56,26,4,0,165,412
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 98","St. Thomas",0,14,42,2,46,28,0,0,132,327
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 99","St. Thomas",0,6,43,2,25,30,2,0,108,299
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 100","St. Thomas",0,9,63,2,52,24,2,3,155,378
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 101","St. Thomas",1,11,36,4,50,20,1,0,123,323
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 102","St. Thomas",0,17,66,1,76,24,1,0,185,440
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 103","St. Thomas",0,13,50,0,45,30,1,1,140,331
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 104","St. Thomas",0,11,63,0,53,35,0,1,163,328
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 105","St. Thomas",0,21,40,0,71,71,3,1,207,390
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 106","St. Thomas",0,11,31,4,89,63,1,0,199,330
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 107","St. Thomas",0,3,38,2,53,18,1,2,117,290
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 108","St. Thomas",0,18,36,1,42,28,1,0,126,276
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 109","St. Thomas",0,17,37,1,59,45,2,1,162,375
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 110","St. Thomas",0,17,35,0,38,28,0,0,118,248
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 111","St. Thomas",0,15,39,4,64,42,0,0,164,301
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 112","St. Thomas",1,6,40,2,48,27,1,0,125,314
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 113","St. Thomas",0,9,57,2,49,32,0,0,149,355
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 114","St. Thomas",0,14,38,3,43,34,0,3,135,357
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 115","St. Thomas",0,6,60,4,64,35,0,0,169,346
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 116","St. Thomas",1,18,51,1,74,39,1,3,188,380
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 117","St. Thomas",0,21,50,0,52,40,2,0,165,430
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 118","St. Thomas",0,10,72,4,80,47,4,0,217,463
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 119","St. Thomas",0,5,35,0,52,29,0,1,122,314
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 120","St. Thomas",1,5,56,0,65,35,2,2,166,380
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 121","St. Thomas",0,9,47,1,90,44,2,1,194,453
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 122","St. Thomas",0,9,57,5,69,59,2,0,201,405
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 123","St. Thomas",0,4,37,2,85,38,1,1,168,260
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 124","St. Thomas",1,4,32,11,64,39,0,3,154,297
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 125","St. Thomas",0,9,45,2,62,43,0,1,162,346
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 126","St. Thomas",0,12,20,1,52,31,0,1,117,216
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 127","St. Thomas",0,12,74,5,95,54,3,0,243,432
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 128","St. Thomas",0,10,55,1,102,44,0,0,212,382
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 129","Central Elgin",1,16,51,3,122,67,2,2,264,446
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 130","Central Elgin",0,17,36,1,77,57,1,0,189,311
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 131","St. Thomas",1,13,79,1,97,45,0,0,236,480
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 132","St. Thomas",1,19,61,3,97,48,2,1,232,405
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 133","St. Thomas",1,15,56,1,72,47,0,1,193,340
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 134","St. Thomas",0,11,67,0,69,25,2,1,175,307
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 135","Springfield",0,10,59,3,70,58,2,2,204,388
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 136","St. Thomas",2,15,36,0,78,61,1,0,193,341
