Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Axel Kuhn,Marion Schaffer,Joseph Schwartz,Borys Wrzesnewskyj,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35022,"Etobicoke Centre/Etobicoke-Centre"," 1","Etobicoke",85,15,18,101,0,219,356
35022,"Etobicoke Centre/Etobicoke-Centre"," 2","Etobicoke",79,10,30,134,1,254,413
35022,"Etobicoke Centre/Etobicoke-Centre"," 3","Etobicoke",57,5,20,86,1,169,427
35022,"Etobicoke Centre/Etobicoke-Centre"," 4","Etobicoke",54,7,20,80,3,164,334
35022,"Etobicoke Centre/Etobicoke-Centre"," 5","Etobicoke",98,10,17,94,1,220,321
35022,"Etobicoke Centre/Etobicoke-Centre"," 6","Etobicoke",82,15,29,115,0,241,364
35022,"Etobicoke Centre/Etobicoke-Centre"," 7","Etobicoke",47,7,18,122,2,196,325
35022,"Etobicoke Centre/Etobicoke-Centre"," 8","Etobicoke",71,11,28,106,2,218,345
35022,"Etobicoke Centre/Etobicoke-Centre"," 9","Etobicoke",27,5,21,38,0,91,255
35022,"Etobicoke Centre/Etobicoke-Centre"," 10","Etobicoke",Void/Supprimé,,,,,,
35022,"Etobicoke Centre/Etobicoke-Centre"," 11","Etobicoke",44,9,18,118,0,189,504
35022,"Etobicoke Centre/Etobicoke-Centre"," 12","Etobicoke",75,16,17,91,2,201,343
35022,"Etobicoke Centre/Etobicoke-Centre"," 13","Etobicoke",83,12,11,113,3,222,380
35022,"Etobicoke Centre/Etobicoke-Centre"," 14","Etobicoke",58,17,20,101,2,198,302
35022,"Etobicoke Centre/Etobicoke-Centre"," 15","Etobicoke",74,14,44,141,0,273,495
35022,"Etobicoke Centre/Etobicoke-Centre"," 16","Etobicoke",25,6,18,68,0,117,392
35022,"Etobicoke Centre/Etobicoke-Centre"," 17","Etobicoke",84,12,19,118,1,234,333
35022,"Etobicoke Centre/Etobicoke-Centre"," 18","Etobicoke",65,9,24,117,1,216,332
35022,"Etobicoke Centre/Etobicoke-Centre"," 19","Etobicoke",48,9,29,57,1,144,528
35022,"Etobicoke Centre/Etobicoke-Centre"," 20","Etobicoke",37,8,16,57,0,118,243
35022,"Etobicoke Centre/Etobicoke-Centre"," 21","Etobicoke",56,14,22,139,3,234,392
35022,"Etobicoke Centre/Etobicoke-Centre"," 22","Etobicoke",75,12,17,121,0,225,342
35022,"Etobicoke Centre/Etobicoke-Centre"," 23","Etobicoke",90,8,9,93,1,201,322
35022,"Etobicoke Centre/Etobicoke-Centre"," 24","Etobicoke",67,7,14,100,5,193,364
35022,"Etobicoke Centre/Etobicoke-Centre"," 25","Etobicoke",49,10,23,93,0,175,415
35022,"Etobicoke Centre/Etobicoke-Centre"," 26A","Etobicoke",74,16,13,106,2,211,369
35022,"Etobicoke Centre/Etobicoke-Centre"," 26B","Etobicoke",60,10,24,76,2,172,303
35022,"Etobicoke Centre/Etobicoke-Centre"," 27","Etobicoke",45,11,13,62,1,132,257
35022,"Etobicoke Centre/Etobicoke-Centre"," 28","Etobicoke",89,13,32,143,0,277,585
35022,"Etobicoke Centre/Etobicoke-Centre"," 29","Etobicoke",68,7,23,117,1,216,467
35022,"Etobicoke Centre/Etobicoke-Centre"," 30","Etobicoke",84,9,9,115,2,219,356
35022,"Etobicoke Centre/Etobicoke-Centre"," 31","Etobicoke",61,17,5,137,0,220,391
35022,"Etobicoke Centre/Etobicoke-Centre"," 32","Etobicoke",80,11,16,99,0,206,457
35022,"Etobicoke Centre/Etobicoke-Centre"," 33","Etobicoke",85,14,13,160,1,273,443
35022,"Etobicoke Centre/Etobicoke-Centre"," 34","Etobicoke",93,15,22,162,1,293,451
35022,"Etobicoke Centre/Etobicoke-Centre"," 35","Etobicoke",84,11,23,82,0,200,355
35022,"Etobicoke Centre/Etobicoke-Centre"," 36","Etobicoke",72,12,16,131,1,232,361
35022,"Etobicoke Centre/Etobicoke-Centre"," 37","Etobicoke",103,11,16,146,0,276,466
35022,"Etobicoke Centre/Etobicoke-Centre"," 38","Etobicoke",92,3,16,133,2,246,389
35022,"Etobicoke Centre/Etobicoke-Centre"," 39","Etobicoke",60,10,6,115,1,192,319
35022,"Etobicoke Centre/Etobicoke-Centre"," 40","Etobicoke",77,15,13,112,1,218,370
35022,"Etobicoke Centre/Etobicoke-Centre"," 41","Etobicoke",82,11,8,172,2,275,455
35022,"Etobicoke Centre/Etobicoke-Centre"," 42","Etobicoke",Void/Supprimé,,,,,,
35022,"Etobicoke Centre/Etobicoke-Centre"," 43A","Etobicoke",52,9,11,100,3,175,377
35022,"Etobicoke Centre/Etobicoke-Centre"," 43B","Etobicoke",57,5,6,189,4,261,384
35022,"Etobicoke Centre/Etobicoke-Centre"," 43C","Etobicoke",Merged with No. 45/Fusionné avec le nº 45,,,,,,218
35022,"Etobicoke Centre/Etobicoke-Centre"," 44","Etobicoke",Void/Supprimé,,,,,,
35022,"Etobicoke Centre/Etobicoke-Centre"," 45","Etobicoke",47,24,26,96,2,195,222
35022,"Etobicoke Centre/Etobicoke-Centre"," 46A","Etobicoke",42,5,16,68,1,132,339
35022,"Etobicoke Centre/Etobicoke-Centre"," 46B","Etobicoke",48,6,17,72,0,143,346
35022,"Etobicoke Centre/Etobicoke-Centre"," 47","Etobicoke",59,22,45,81,1,208,449
35022,"Etobicoke Centre/Etobicoke-Centre"," 48","Etobicoke",90,25,61,107,2,285,580
35022,"Etobicoke Centre/Etobicoke-Centre"," 49A","Etobicoke",40,13,15,92,1,161,359
35022,"Etobicoke Centre/Etobicoke-Centre"," 49B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,122
35022,"Etobicoke Centre/Etobicoke-Centre"," 50","Etobicoke",67,13,10,134,0,224,385
35022,"Etobicoke Centre/Etobicoke-Centre"," 51","Etobicoke",45,11,10,112,1,179,378
35022,"Etobicoke Centre/Etobicoke-Centre"," 52","Etobicoke",68,5,6,96,0,175,316
35022,"Etobicoke Centre/Etobicoke-Centre"," 53","Etobicoke",97,5,3,77,1,183,340
35022,"Etobicoke Centre/Etobicoke-Centre"," 54","Etobicoke",71,5,13,128,2,219,406
35022,"Etobicoke Centre/Etobicoke-Centre"," 55","Etobicoke",72,12,8,110,2,204,340
35022,"Etobicoke Centre/Etobicoke-Centre"," 56","Etobicoke",84,5,1,113,0,203,365
35022,"Etobicoke Centre/Etobicoke-Centre"," 57","Etobicoke",102,9,14,111,0,236,434
35022,"Etobicoke Centre/Etobicoke-Centre"," 58","Etobicoke",89,8,7,107,0,211,360
35022,"Etobicoke Centre/Etobicoke-Centre"," 59","Etobicoke",59,11,16,113,2,201,340
35022,"Etobicoke Centre/Etobicoke-Centre"," 60","Etobicoke",85,5,7,125,0,222,363
35022,"Etobicoke Centre/Etobicoke-Centre"," 61","Etobicoke",88,8,34,83,0,213,349
35022,"Etobicoke Centre/Etobicoke-Centre"," 62","Etobicoke",75,11,17,121,5,229,426
35022,"Etobicoke Centre/Etobicoke-Centre"," 63","Etobicoke",55,13,8,81,0,157,249
35022,"Etobicoke Centre/Etobicoke-Centre"," 64","Etobicoke",50,5,11,73,2,141,266
35022,"Etobicoke Centre/Etobicoke-Centre"," 65","Etobicoke",64,17,66,137,2,286,635
35022,"Etobicoke Centre/Etobicoke-Centre"," 66","Etobicoke",118,13,10,91,0,232,411
35022,"Etobicoke Centre/Etobicoke-Centre"," 67","Etobicoke",44,4,15,109,0,172,277
35022,"Etobicoke Centre/Etobicoke-Centre"," 67-1","Etobicoke",28,7,7,61,0,103,140
35022,"Etobicoke Centre/Etobicoke-Centre"," 68","Etobicoke",37,4,8,73,2,124,204
35022,"Etobicoke Centre/Etobicoke-Centre"," 69","Etobicoke",69,14,28,130,2,243,419
35022,"Etobicoke Centre/Etobicoke-Centre"," 70","Etobicoke",35,7,24,93,0,159,329
35022,"Etobicoke Centre/Etobicoke-Centre"," 71","Etobicoke",43,6,46,86,2,183,404
35022,"Etobicoke Centre/Etobicoke-Centre"," 72","Etobicoke",40,6,14,90,1,151,243
35022,"Etobicoke Centre/Etobicoke-Centre"," 73","Etobicoke",19,1,15,68,1,104,332
35022,"Etobicoke Centre/Etobicoke-Centre"," 74","Etobicoke",53,7,31,133,1,225,496
35022,"Etobicoke Centre/Etobicoke-Centre"," 75","Etobicoke",71,18,32,90,0,211,343
35022,"Etobicoke Centre/Etobicoke-Centre"," 76","Etobicoke",95,10,25,84,0,214,355
35022,"Etobicoke Centre/Etobicoke-Centre"," 77","Etobicoke",79,6,31,91,0,207,338
35022,"Etobicoke Centre/Etobicoke-Centre"," 78","Etobicoke",88,18,29,93,0,228,373
35022,"Etobicoke Centre/Etobicoke-Centre"," 79","Etobicoke",84,9,29,77,0,199,325
35022,"Etobicoke Centre/Etobicoke-Centre"," 80","Etobicoke",111,20,24,167,1,323,585
35022,"Etobicoke Centre/Etobicoke-Centre"," 81","Etobicoke",89,12,22,110,0,233,448
35022,"Etobicoke Centre/Etobicoke-Centre"," 82","Etobicoke",97,20,23,148,0,288,482
35022,"Etobicoke Centre/Etobicoke-Centre"," 83A","Etobicoke",24,4,14,46,2,90,137
35022,"Etobicoke Centre/Etobicoke-Centre"," 83B","Etobicoke",55,4,12,64,0,135,263
35022,"Etobicoke Centre/Etobicoke-Centre"," 83-1","Etobicoke",Merged with No. 83A/Fusionné avec le nº 83A,,,,,,48
35022,"Etobicoke Centre/Etobicoke-Centre"," 84","Etobicoke",102,20,17,69,0,208,344
35022,"Etobicoke Centre/Etobicoke-Centre"," 85","Etobicoke",88,14,15,81,3,201,365
35022,"Etobicoke Centre/Etobicoke-Centre"," 86","Etobicoke",57,7,22,104,0,190,382
35022,"Etobicoke Centre/Etobicoke-Centre"," 87","Etobicoke",75,15,34,85,1,210,369
35022,"Etobicoke Centre/Etobicoke-Centre"," 88","Etobicoke",76,16,12,129,0,233,382
35022,"Etobicoke Centre/Etobicoke-Centre"," 89","Etobicoke",73,18,14,84,1,190,365
35022,"Etobicoke Centre/Etobicoke-Centre"," 90","Etobicoke",110,21,15,160,1,307,538
35022,"Etobicoke Centre/Etobicoke-Centre"," 91","Etobicoke",70,13,21,145,0,249,413
35022,"Etobicoke Centre/Etobicoke-Centre"," 92","Etobicoke",68,9,9,101,1,188,335
35022,"Etobicoke Centre/Etobicoke-Centre"," 93","Etobicoke",62,10,14,98,2,186,301
35022,"Etobicoke Centre/Etobicoke-Centre"," 94","Etobicoke",58,11,21,85,0,175,324
35022,"Etobicoke Centre/Etobicoke-Centre"," 95","Etobicoke",71,6,17,110,1,205,364
35022,"Etobicoke Centre/Etobicoke-Centre"," 96","Etobicoke",68,10,20,107,0,205,334
35022,"Etobicoke Centre/Etobicoke-Centre"," 97","Etobicoke",70,6,17,94,0,187,297
35022,"Etobicoke Centre/Etobicoke-Centre"," 98","Etobicoke",43,13,18,82,2,158,334
35022,"Etobicoke Centre/Etobicoke-Centre"," 99","Etobicoke",40,6,46,72,2,166,607
35022,"Etobicoke Centre/Etobicoke-Centre"," 100","Etobicoke",53,10,25,76,1,165,450
35022,"Etobicoke Centre/Etobicoke-Centre"," 101","Etobicoke",66,16,14,122,1,219,346
35022,"Etobicoke Centre/Etobicoke-Centre"," 102","Etobicoke",67,8,19,89,0,183,326
35022,"Etobicoke Centre/Etobicoke-Centre"," 103","Etobicoke",85,13,15,96,1,210,323
35022,"Etobicoke Centre/Etobicoke-Centre"," 104","Etobicoke",79,15,12,73,2,181,309
35022,"Etobicoke Centre/Etobicoke-Centre"," 105","Etobicoke",68,10,14,69,0,161,273
35022,"Etobicoke Centre/Etobicoke-Centre"," 106","Etobicoke",63,6,9,79,1,158,251
35022,"Etobicoke Centre/Etobicoke-Centre"," 107","Etobicoke",86,16,17,86,0,205,299
35022,"Etobicoke Centre/Etobicoke-Centre"," 108","Etobicoke",77,14,12,80,2,185,320
35022,"Etobicoke Centre/Etobicoke-Centre"," 109","Etobicoke",53,8,34,124,1,220,408
35022,"Etobicoke Centre/Etobicoke-Centre"," 110","Etobicoke",98,15,20,88,1,222,337
35022,"Etobicoke Centre/Etobicoke-Centre"," 111","Etobicoke",33,4,36,92,6,171,423
35022,"Etobicoke Centre/Etobicoke-Centre"," 112","Etobicoke",68,7,16,106,1,198,327
35022,"Etobicoke Centre/Etobicoke-Centre"," 113","Etobicoke",90,3,2,112,6,213,359
35022,"Etobicoke Centre/Etobicoke-Centre"," 114","Etobicoke",58,12,9,87,0,166,297
35022,"Etobicoke Centre/Etobicoke-Centre"," 115","Etobicoke",34,8,18,71,0,131,397
35022,"Etobicoke Centre/Etobicoke-Centre"," 116","Etobicoke",66,13,23,121,2,225,490
35022,"Etobicoke Centre/Etobicoke-Centre"," 117","Etobicoke",95,8,6,103,5,217,365
35022,"Etobicoke Centre/Etobicoke-Centre"," 118","Etobicoke",82,18,14,136,0,250,397
35022,"Etobicoke Centre/Etobicoke-Centre"," 119","Etobicoke",130,16,9,136,2,293,445
35022,"Etobicoke Centre/Etobicoke-Centre"," 120","Etobicoke",58,12,32,100,1,203,566
35022,"Etobicoke Centre/Etobicoke-Centre"," 121","Etobicoke",106,2,3,103,1,215,354
35022,"Etobicoke Centre/Etobicoke-Centre"," 122","Etobicoke",Void/Supprimé,,,,,,
35022,"Etobicoke Centre/Etobicoke-Centre"," 123","Etobicoke",75,8,11,85,0,179,287
35022,"Etobicoke Centre/Etobicoke-Centre"," 124","Etobicoke",120,9,7,112,2,250,376
35022,"Etobicoke Centre/Etobicoke-Centre"," 125","Etobicoke",77,9,15,121,0,222,321
35022,"Etobicoke Centre/Etobicoke-Centre"," 126","Etobicoke",116,11,13,117,2,259,395
35022,"Etobicoke Centre/Etobicoke-Centre"," 127","Etobicoke",69,16,14,75,1,175,270
35022,"Etobicoke Centre/Etobicoke-Centre"," 128","Etobicoke",87,11,14,102,0,214,331
35022,"Etobicoke Centre/Etobicoke-Centre"," 129","Etobicoke",68,9,11,68,1,157,269
35022,"Etobicoke Centre/Etobicoke-Centre"," 130","Etobicoke",83,15,3,79,0,180,292
35022,"Etobicoke Centre/Etobicoke-Centre"," 131","Etobicoke",82,7,4,80,1,174,347
35022,"Etobicoke Centre/Etobicoke-Centre"," 132","Etobicoke",95,14,15,124,0,248,393
