Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Boudria,Jean-Sébastien Caron,Pierre Lemieux,Sylvie Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1","Cumberland",135,24,146,19,0,324,518
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-1","Cumberland",117,26,122,10,0,275,470
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-2","Ottawa",128,36,130,13,0,307,466
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-3A","Cumberland",88,11,95,4,2,200,326
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-3B","Cumberland",88,26,104,19,1,238,364
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-3C","Cumberland",78,22,86,6,2,194,323
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 1-4","Ottawa",139,34,176,17,0,366,597
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 2","Cumberland",103,17,130,8,2,260,453
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 3","Cumberland",91,20,146,25,0,282,482
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 4","Cumberland",118,30,157,22,1,328,544
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 5","Cumberland",74,21,170,17,0,282,473
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 5-1","Ottawa",26,11,41,8,0,86,148
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 6","Cumberland",88,19,131,22,3,263,461
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 7","Cumberland",93,17,150,12,0,272,503
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 8","Cumberland",67,23,81,11,0,182,278
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 9","Cumberland",148,45,124,25,1,343,514
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 10","Cumberland",102,26,208,33,6,375,499
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 11","Cumberland",74,18,145,9,0,246,346
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 12","Cumberland",75,13,193,24,1,306,423
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 13","Cumberland",92,18,141,13,1,265,415
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 13-1","Cumberland",33,12,78,6,0,129,202
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 14","Cumberland",127,22,161,10,0,320,521
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 15","Cumberland",110,24,153,20,3,310,527
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 16","Cumberland",109,41,193,25,1,369,610
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 17","Cumberland",53,23,118,8,3,205,395
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 18","Cumberland",64,20,122,21,2,229,359
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 19","Clarence-Rockland",89,23,96,7,2,217,432
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 20","Clarence-Rockland",88,40,166,21,0,315,560
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 21","Clarence-Rockland",77,20,42,8,1,148,217
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 22","Clarence-Rockland",48,13,58,11,3,133,244
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 23","Clarence-Rockland",54,10,82,6,1,153,280
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 23-1","Clarence-Rockland",66,25,83,11,1,186,369
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 24","Clarence-Rockland",119,33,112,15,3,282,490
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 25","Clarence-Rockland",66,16,84,20,0,186,341
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 25-1","Clarence-Rockland",42,21,41,6,3,113,328
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 26","Clarence-Rockland",131,37,139,22,1,330,525
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 27","Clarence-Rockland",65,16,50,12,1,144,231
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 27-1","Clarence-Rockland",85,32,75,13,0,205,366
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 28","Clarence-Rockland",87,32,108,21,4,252,395
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 28-1","Clarence-Rockland",32,10,69,3,0,114,204
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 29","Clarence-Rockland",111,32,108,19,1,271,439
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 30","Clarence-Rockland",79,15,85,10,0,189,331
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 30-1","Clarence",74,17,114,7,1,213,348
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 31","Clarence-Rockland",121,36,93,11,2,263,402
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 32","Clarence-Rockland",92,33,127,12,4,268,435
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 33","Clarence-Rockland",65,14,89,14,0,182,291
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 34","Clarence-Rockland",75,22,51,14,0,162,277
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 35","Clarence-Rockland",127,22,108,4,1,262,409
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 36","Clarence-Rockland",87,30,118,14,5,254,441
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 37","Clarence-Rockland",105,28,104,20,0,257,535
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 38","Clarence-Rockland",85,20,58,7,0,170,420
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 39","Clarence-Rockland",26,14,43,7,1,91,290
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 39-1","Clarence-Rockland",79,20,90,12,2,203,445
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 40","Clarence-Rockland",67,19,85,12,1,184,322
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 41","Clarence-Rockland",64,26,59,8,0,157,277
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 41-1","Clarence-Rockland",123,31,146,16,3,319,587
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 42","Clarence-Rockland",99,29,94,15,0,237,496
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 43","Clarence-Rockland",99,32,107,17,0,255,520
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 44","Clarence-Rockland",86,18,65,12,0,181,386
