Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Bell,Barry Devolin,Dave Switzer,Marlene White,Stephen Yardy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 1","Oxtongue Lake",10,49,0,12,9,0,80,110
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 2","Sherborne",27,104,1,57,24,0,213,419
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 3","Stanhope",28,114,2,43,45,0,232,374
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 4","Maple Lake",27,126,2,43,25,0,223,342
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 5","Carnarvon",20,130,1,56,30,1,238,458
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 5-1","Minden Hills",4,23,0,14,12,1,54,135
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 6","Minden Hills",19,96,0,59,11,0,185,286
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 7","Minden Hills",17,134,1,37,28,4,221,494
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 8","Minden Hills",2,29,0,17,18,1,67,215
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 9","Minden Hills",5,37,0,28,30,0,100,305
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 9-1","Minden Hills",2,47,0,29,12,0,90,183
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 10","Minden Hills",9,79,0,30,28,0,146,309
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 10-1","Minden Hills",7,53,0,29,15,0,104,245
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 11","Minden Hills",27,145,1,64,31,0,268,535
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 12","Minden Hills",6,48,1,18,11,0,84,143
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 13","Snowdon",10,104,1,40,19,0,174,392
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 14","Lutterworth",9,117,1,33,28,0,188,390
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 15","Lutterworth",19,116,0,31,41,0,207,437
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 16","Irondale",15,56,1,17,7,2,98,213
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 17","Glamorgan",22,116,4,32,43,1,218,371
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 18","Dysart and Others",24,96,2,40,12,0,174,337
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 18-1","Highlands East",3,45,3,13,7,0,71,207
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 19","Dysart and Others",24,124,0,52,31,0,231,522
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 20","Haliburton",15,65,0,27,12,1,120,268
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 21","Haliburton",11,94,1,43,18,0,167,344
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 22","Haliburton",15,69,1,43,29,0,157,319
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 22-1","Dysart and Others",2,17,0,5,9,0,33,120
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 23","Dysart and Others",22,116,0,54,35,0,227,451
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 24","Dysart and Others",25,125,4,58,18,1,231,476
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 25","Dysart and Others",19,141,2,47,33,0,242,418
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 26","Harburn",27,97,0,53,38,1,216,455
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 27","Harburn",9,66,0,21,7,1,104,182
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 28","Dysart and Others",21,133,2,53,24,1,234,419
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 29","Harcourt",22,159,5,63,34,1,284,474
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 30","Wilberforce",11,168,2,70,38,1,290,515
