Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Joslin,Ben Lobb,Greg McClinchey,Tony McQuail,Glen Smith,Dennis Valenta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Huron--Bruce/Huron--Bruce"," 1","Port Elgin--Saugeen--Southampton",1,94,73,23,13,1,0,205,366
35034,"Huron--Bruce/Huron--Bruce"," 2","Port Elgin--Saugeen--Southampton",0,44,50,17,13,0,0,124,216
35034,"Huron--Bruce/Huron--Bruce"," 3","Port Elgin--Saugeen--Southampton",3,59,78,37,24,1,1,203,386
35034,"Huron--Bruce/Huron--Bruce"," 4","Port Elgin--Saugeen--Southampton",2,75,74,32,16,0,0,199,340
35034,"Huron--Bruce/Huron--Bruce"," 5","Port Elgin--Saugeen--Southampton",3,103,83,34,18,1,2,244,440
35034,"Huron--Bruce/Huron--Bruce"," 6","Port Elgin--Saugeen--Southampton",2,39,31,17,11,0,0,100,185
35034,"Huron--Bruce/Huron--Bruce"," 7","Port Elgin--Saugeen--Southampton",3,116,110,25,24,1,0,279,413
35034,"Huron--Bruce/Huron--Bruce"," 8","Port Elgin--Saugeen--Southampton",2,163,118,24,40,1,1,349,689
35034,"Huron--Bruce/Huron--Bruce"," 9","Port Elgin--Saugeen--Southampton",3,104,88,20,9,0,0,224,490
35034,"Huron--Bruce/Huron--Bruce"," 10","Port Elgin--Saugeen--Southampton",0,118,151,26,17,1,0,313,589
35034,"Huron--Bruce/Huron--Bruce"," 11","Port Elgin--Saugeen--Southampton",3,104,125,44,15,0,0,291,532
35034,"Huron--Bruce/Huron--Bruce"," 12","Port Elgin--Saugeen--Southampton",1,62,70,19,12,2,1,167,292
35034,"Huron--Bruce/Huron--Bruce"," 13","Port Elgin--Saugeen--Southampton",0,83,68,21,9,1,1,183,354
35034,"Huron--Bruce/Huron--Bruce"," 14","Port Elgin--Saugeen--Southampton",1,43,60,30,14,1,1,150,310
35034,"Huron--Bruce/Huron--Bruce"," 15","Port Elgin--Saugeen--Southampton",4,97,92,29,12,1,1,236,440
35034,"Huron--Bruce/Huron--Bruce"," 16","Port Elgin--Saugeen--Southampton",2,107,100,44,23,0,0,276,581
35034,"Huron--Bruce/Huron--Bruce"," 17","Port Elgin--Saugeen--Southampton",1,62,72,27,15,8,3,188,383
35034,"Huron--Bruce/Huron--Bruce"," 18","Port Elgin--Saugeen--Southampton",8,100,81,38,18,0,1,246,458
35034,"Huron--Bruce/Huron--Bruce"," 19","Port Elgin--Saugeen--Southampton",0,118,130,48,18,0,1,315,613
35034,"Huron--Bruce/Huron--Bruce"," 20","Port Elgin--Saugeen--Southampton",0,70,29,16,10,0,1,126,326
35034,"Huron--Bruce/Huron--Bruce"," 21","Port Elgin--Saugeen--Southampton",0,86,115,19,15,1,0,236,449
35034,"Huron--Bruce/Huron--Bruce"," 22","Port Elgin--Saugeen--Southampton",1,71,68,25,10,2,1,178,348
35034,"Huron--Bruce/Huron--Bruce"," 23","Port Elgin--Saugeen--Southampton",0,105,66,38,14,2,0,225,359
35034,"Huron--Bruce/Huron--Bruce"," 24","Underwood",0,123,70,33,11,0,0,237,364
35034,"Huron--Bruce/Huron--Bruce"," 25","Underwood",1,55,55,30,11,1,2,155,248
35034,"Huron--Bruce/Huron--Bruce"," 26","Cargill",0,83,62,34,12,1,3,195,377
35034,"Huron--Bruce/Huron--Bruce"," 27","Underwood",4,95,66,38,4,1,0,208,341
35034,"Huron--Bruce/Huron--Bruce"," 28","Kincardine",2,108,99,33,15,0,0,257,429
35034,"Huron--Bruce/Huron--Bruce"," 29","Tiverton",0,41,42,28,9,1,2,123,233
35034,"Huron--Bruce/Huron--Bruce"," 30","Tiverton",2,89,60,37,7,1,0,196,301
35034,"Huron--Bruce/Huron--Bruce"," 31","Kincardine",2,60,45,22,7,0,0,136,226
35034,"Huron--Bruce/Huron--Bruce"," 32","Kincardine",1,97,83,27,13,0,0,221,437
35034,"Huron--Bruce/Huron--Bruce"," 33","Kincardine",5,76,36,24,15,4,0,160,250
35034,"Huron--Bruce/Huron--Bruce"," 34","Kincardine",0,46,67,20,10,2,0,145,306
35034,"Huron--Bruce/Huron--Bruce"," 35","Kincardine",0,82,72,18,10,0,3,185,334
35034,"Huron--Bruce/Huron--Bruce"," 36","Kincardine",2,55,71,26,23,1,0,178,394
35034,"Huron--Bruce/Huron--Bruce"," 37","Kincardine",0,68,47,27,8,1,2,153,278
35034,"Huron--Bruce/Huron--Bruce"," 38","Kincardine",0,61,91,25,16,0,0,193,359
