Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mary Ann Hodge,Steve Holmes,Glen Pearson,Paul Van Meerbergen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"London North Centre/London-Centre-Nord"," 1","London",28,41,110,95,0,274,456
35043,"London North Centre/London-Centre-Nord"," 2","London",18,13,134,151,0,316,589
35043,"London North Centre/London-Centre-Nord"," 2-1","London",21,12,111,145,0,289,520
35043,"London North Centre/London-Centre-Nord"," 3","London",8,12,86,91,0,197,341
35043,"London North Centre/London-Centre-Nord"," 3-1","London",10,15,114,121,0,260,472
35043,"London North Centre/London-Centre-Nord"," 4A","London",17,9,128,135,2,291,509
35043,"London North Centre/London-Centre-Nord"," 4B","Mobile poll/Bureau itinérant",Merged with No. 79B/Fusionné avec le nº 79B,,,,,,59
35043,"London North Centre/London-Centre-Nord"," 5","London",18,14,142,166,1,341,577
35043,"London North Centre/London-Centre-Nord"," 6A","London",14,11,99,115,1,240,428
35043,"London North Centre/London-Centre-Nord"," 6B","London",7,24,127,109,0,267,464
35043,"London North Centre/London-Centre-Nord"," 6-1","London",10,32,123,109,2,276,499
35043,"London North Centre/London-Centre-Nord"," 6-2","London",13,28,75,66,1,183,383
35043,"London North Centre/London-Centre-Nord"," 7","London",16,22,109,113,1,261,478
35043,"London North Centre/London-Centre-Nord"," 8","London",22,7,132,123,0,284,493
35043,"London North Centre/London-Centre-Nord"," 9","London",17,26,100,100,4,247,496
35043,"London North Centre/London-Centre-Nord"," 10","London",18,13,96,134,3,264,400
35043,"London North Centre/London-Centre-Nord"," 11","London",19,11,106,84,1,221,386
35043,"London North Centre/London-Centre-Nord"," 12","London",19,13,129,71,0,232,394
35043,"London North Centre/London-Centre-Nord"," 13","London",8,9,98,96,0,211,393
35043,"London North Centre/London-Centre-Nord"," 14","London",15,11,134,117,3,280,441
35043,"London North Centre/London-Centre-Nord"," 15","London",14,8,93,164,1,280,259
35043,"London North Centre/London-Centre-Nord"," 16","London",Merged with No. 15/Fusionné avec le nº 15,,,,,,194
35043,"London North Centre/London-Centre-Nord"," 17","London",40,17,124,108,2,291,414
35043,"London North Centre/London-Centre-Nord"," 18","London",26,24,154,84,1,289,408
35043,"London North Centre/London-Centre-Nord"," 19","London",28,25,108,52,0,213,309
35043,"London North Centre/London-Centre-Nord"," 20","London",31,16,151,75,1,274,409
35043,"London North Centre/London-Centre-Nord"," 21","London",23,19,144,95,1,282,517
35043,"London North Centre/London-Centre-Nord"," 22","London",23,31,59,38,0,151,201
35043,"London North Centre/London-Centre-Nord"," 23","London",16,29,149,105,1,300,458
35043,"London North Centre/London-Centre-Nord"," 24","London",13,22,108,97,0,240,400
35043,"London North Centre/London-Centre-Nord"," 25","London",16,20,138,100,0,274,465
35043,"London North Centre/London-Centre-Nord"," 26","London",23,10,150,114,0,297,428
35043,"London North Centre/London-Centre-Nord"," 27","London",23,47,100,87,1,258,467
35043,"London North Centre/London-Centre-Nord"," 28","London",20,33,105,108,1,267,444
35043,"London North Centre/London-Centre-Nord"," 29","London",20,33,132,127,3,315,481
35043,"London North Centre/London-Centre-Nord"," 30","London",21,25,92,101,0,239,394
35043,"London North Centre/London-Centre-Nord"," 31","London",24,13,64,84,0,185,271
35043,"London North Centre/London-Centre-Nord"," 32","London",15,11,82,69,0,177,308
35043,"London North Centre/London-Centre-Nord"," 33","London",18,18,134,104,0,274,475
35043,"London North Centre/London-Centre-Nord"," 34","London",13,23,103,40,0,179,421
35043,"London North Centre/London-Centre-Nord"," 35","London",20,30,128,89,0,267,450
35043,"London North Centre/London-Centre-Nord"," 36","London",11,17,145,84,0,257,450
35043,"London North Centre/London-Centre-Nord"," 37","London",8,9,67,81,2,167,315
35043,"London North Centre/London-Centre-Nord"," 38","London",7,5,81,106,1,200,313
35043,"London North Centre/London-Centre-Nord"," 39","London",19,19,90,98,0,226,411
35043,"London North Centre/London-Centre-Nord"," 40A","London",17,19,77,78,4,195,378
35043,"London North Centre/London-Centre-Nord"," 40B","London",19,21,93,82,0,215,378
35043,"London North Centre/London-Centre-Nord"," 41","London",27,41,99,100,1,268,483
35043,"London North Centre/London-Centre-Nord"," 41-1","London",44,53,130,131,1,359,624
35043,"London North Centre/London-Centre-Nord"," 41-2","London",22,34,93,84,2,235,411
35043,"London North Centre/London-Centre-Nord"," 41-3","London",22,44,84,78,2,230,456
35043,"London North Centre/London-Centre-Nord"," 42","London",12,43,108,101,1,265,446
35043,"London North Centre/London-Centre-Nord"," 43A","London",18,25,81,72,0,196,351
35043,"London North Centre/London-Centre-Nord"," 43B","London",13,29,78,88,0,208,384
35043,"London North Centre/London-Centre-Nord"," 44","London",14,19,43,55,1,132,285
35043,"London North Centre/London-Centre-Nord"," 45","London",19,41,76,60,0,196,493
35043,"London North Centre/London-Centre-Nord"," 46","London",16,33,61,43,3,156,380
35043,"London North Centre/London-Centre-Nord"," 47","London",19,34,106,85,0,244,463
35043,"London North Centre/London-Centre-Nord"," 48","London",19,70,71,72,2,234,540
35043,"London North Centre/London-Centre-Nord"," 49","London",18,34,91,84,0,227,377
35043,"London North Centre/London-Centre-Nord"," 50","London",21,28,101,95,1,246,393
35043,"London North Centre/London-Centre-Nord"," 51","London",26,24,115,99,2,266,392
