Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Bob Dechert,Richard Pietro,Mustafa Rizvi,Dagmar Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Mississauga--Erindale/Mississauga--Erindale"," 1","Mississauga",75,67,9,16,0,0,167,278
35049,"Mississauga--Erindale/Mississauga--Erindale"," 2","Mississauga",77,41,3,14,0,0,135,301
35049,"Mississauga--Erindale/Mississauga--Erindale"," 3","Mississauga",58,48,8,18,1,0,133,325
35049,"Mississauga--Erindale/Mississauga--Erindale"," 4","Mississauga",63,25,5,5,1,0,99,206
35049,"Mississauga--Erindale/Mississauga--Erindale"," 5","Mississauga",130,78,21,27,0,0,256,472
35049,"Mississauga--Erindale/Mississauga--Erindale"," 6","Mississauga",118,67,14,14,1,0,214,383
35049,"Mississauga--Erindale/Mississauga--Erindale"," 7","Mississauga",34,21,4,7,0,0,66,158
35049,"Mississauga--Erindale/Mississauga--Erindale"," 8","Mississauga",72,31,6,8,1,1,119,211
35049,"Mississauga--Erindale/Mississauga--Erindale"," 9","Mississauga",36,25,2,4,0,0,67,197
35049,"Mississauga--Erindale/Mississauga--Erindale"," 10","Mississauga",74,45,1,12,0,0,132,240
35049,"Mississauga--Erindale/Mississauga--Erindale"," 11","Mississauga",128,68,13,34,1,0,244,498
35049,"Mississauga--Erindale/Mississauga--Erindale"," 12","Mississauga",43,27,0,11,0,0,81,176
35049,"Mississauga--Erindale/Mississauga--Erindale"," 13","Mississauga",103,69,9,18,2,1,202,489
35049,"Mississauga--Erindale/Mississauga--Erindale"," 14A","Mississauga",68,55,3,7,0,0,133,278
35049,"Mississauga--Erindale/Mississauga--Erindale"," 14B","Mississauga",50,71,15,10,0,2,148,280
35049,"Mississauga--Erindale/Mississauga--Erindale"," 15A","Mississauga",49,56,7,13,0,2,127,266
35049,"Mississauga--Erindale/Mississauga--Erindale"," 15B","Mississauga",46,63,12,7,0,0,128,280
35049,"Mississauga--Erindale/Mississauga--Erindale"," 16","Mississauga",76,100,10,23,1,2,212,488
35049,"Mississauga--Erindale/Mississauga--Erindale"," 17","Mississauga",71,83,14,28,1,2,199,438
35049,"Mississauga--Erindale/Mississauga--Erindale"," 18","Mississauga",92,91,10,17,1,1,212,496
35049,"Mississauga--Erindale/Mississauga--Erindale"," 19","Mississauga",35,28,2,8,0,0,73,289
35049,"Mississauga--Erindale/Mississauga--Erindale"," 20","Mississauga",41,69,6,22,0,0,138,349
35049,"Mississauga--Erindale/Mississauga--Erindale"," 21","Mississauga",88,76,13,18,1,2,198,447
35049,"Mississauga--Erindale/Mississauga--Erindale"," 22","Mississauga",83,59,10,17,2,0,171,442
35049,"Mississauga--Erindale/Mississauga--Erindale"," 23","Mississauga",62,53,7,17,1,2,142,413
35049,"Mississauga--Erindale/Mississauga--Erindale"," 24","Mississauga",128,67,16,24,1,2,238,518
