Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ralph Bunag,Otto Casanova,Bonnie Crombie,Wajid Khan,Keith Pinto,Viktor Spanovic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 1","Mississauga",3,11,94,88,23,0,0,219,510
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 1-1A","Mississauga",5,16,104,51,20,2,0,198,454
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 1-1B","Mississauga",4,10,66,71,26,0,0,177,376
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 1-2","Mississauga",4,8,80,73,29,2,4,200,458
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 2","Mississauga",1,10,91,81,30,2,4,219,516
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 3","Mississauga",1,8,71,71,8,4,0,163,381
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 4","Mississauga",2,15,108,97,23,1,1,247,545
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 5","Mississauga",1,16,79,71,22,6,3,198,426
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 6","Mississauga",0,14,71,48,12,2,0,147,311
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 6-1","Mississauga",0,8,54,47,15,1,2,127,283
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 7","Mississauga",0,22,105,129,28,0,1,285,498
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 8","Mississauga",1,23,86,84,32,0,0,226,393
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 9","Mississauga",1,26,106,109,29,3,2,276,505
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 10","Mississauga",1,16,117,92,18,3,0,247,439
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 11","Mississauga",2,16,103,88,38,2,1,250,483
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 12","Mississauga",0,7,96,84,16,0,3,206,360
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 13","Mississauga",5,14,98,73,31,4,2,227,460
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 14","Mississauga",7,11,101,63,14,1,0,197,397
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 14-1","Mississauga",0,4,82,56,15,0,1,158,342
35051,"Mississauga--Streetsville/Mississauga--Streetsville"," 15","Mississauga",0,10,56,27,15,0,0,108,228
