Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Phil Brown,Lori Gadzala,Ed Mahfouz,Pierre Poilievre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"Nepean--Carleton/Nepean--Carleton"," 1","Sandra",23,23,44,149,3,242,370
35052,"Nepean--Carleton/Nepean--Carleton"," 2","Nepean",34,14,17,122,1,188,385
35052,"Nepean--Carleton/Nepean--Carleton"," 3","Nepean",27,43,58,140,1,269,459
35052,"Nepean--Carleton/Nepean--Carleton"," 4","Nepean",37,31,47,103,1,219,429
35052,"Nepean--Carleton/Nepean--Carleton"," 5","Nepean",32,32,53,106,1,224,381
35052,"Nepean--Carleton/Nepean--Carleton"," 6","Nepean",31,29,38,76,1,175,304
35052,"Nepean--Carleton/Nepean--Carleton"," 7","Nepean",44,43,114,122,4,327,507
35052,"Nepean--Carleton/Nepean--Carleton"," 8","Nepean",37,28,45,96,0,206,365
35052,"Nepean--Carleton/Nepean--Carleton"," 8-1","Nepean",28,22,48,99,0,197,342
35052,"Nepean--Carleton/Nepean--Carleton"," 9","Nepean",47,13,39,119,1,219,430
35052,"Nepean--Carleton/Nepean--Carleton"," 10","Nepean",32,19,26,59,0,136,340
35052,"Nepean--Carleton/Nepean--Carleton"," 11","Nepean",35,18,65,136,1,255,503
35052,"Nepean--Carleton/Nepean--Carleton"," 12","Nepean",18,18,29,75,0,140,280
35052,"Nepean--Carleton/Nepean--Carleton"," 13","Nepean",15,22,55,91,0,183,317
35052,"Nepean--Carleton/Nepean--Carleton"," 14","Nepean",23,37,47,91,2,200,317
35052,"Nepean--Carleton/Nepean--Carleton"," 15","Nepean",19,46,68,140,0,273,413
35052,"Nepean--Carleton/Nepean--Carleton"," 16","Nepean",15,19,18,105,1,158,259
35052,"Nepean--Carleton/Nepean--Carleton"," 17","Nepean",29,42,55,141,1,268,442
35052,"Nepean--Carleton/Nepean--Carleton"," 18","Nepean",17,34,50,120,4,225,311
35052,"Nepean--Carleton/Nepean--Carleton"," 19","Nepean",20,36,53,146,1,256,396
35052,"Nepean--Carleton/Nepean--Carleton"," 20","Nepean",8,12,52,111,0,183,299
35052,"Nepean--Carleton/Nepean--Carleton"," 21","Nepean",Void/Supprimé,,,,,,
35052,"Nepean--Carleton/Nepean--Carleton"," 22","Nepean",21,25,54,111,0,211,366
35052,"Nepean--Carleton/Nepean--Carleton"," 23","Nepean",10,13,53,102,0,178,276
35052,"Nepean--Carleton/Nepean--Carleton"," 24","Nepean",15,21,37,69,0,142,243
35052,"Nepean--Carleton/Nepean--Carleton"," 25","Nepean",27,34,86,113,0,260,393
35052,"Nepean--Carleton/Nepean--Carleton"," 26","Nepean",9,36,68,99,1,213,335
35052,"Nepean--Carleton/Nepean--Carleton"," 27","Nepean",34,27,40,93,0,194,318
35052,"Nepean--Carleton/Nepean--Carleton"," 28","Nepean",25,39,57,107,0,228,376
35052,"Nepean--Carleton/Nepean--Carleton"," 29","Nepean",15,47,59,81,0,202,363
35052,"Nepean--Carleton/Nepean--Carleton"," 30","Nepean",14,37,58,77,0,186,329
35052,"Nepean--Carleton/Nepean--Carleton"," 31","Nepean",17,27,43,107,0,194,372
35052,"Nepean--Carleton/Nepean--Carleton"," 32","Nepean",27,35,60,75,1,198,337
35052,"Nepean--Carleton/Nepean--Carleton"," 33","Nepean",16,25,44,98,0,183,297
35052,"Nepean--Carleton/Nepean--Carleton"," 34","Nepean",52,26,47,102,0,227,503
35052,"Nepean--Carleton/Nepean--Carleton"," 35","Nepean",36,30,55,131,1,253,491
35052,"Nepean--Carleton/Nepean--Carleton"," 36","Nepean",21,22,64,119,2,228,459
35052,"Nepean--Carleton/Nepean--Carleton"," 37","Nepean",32,21,98,108,2,261,443
35052,"Nepean--Carleton/Nepean--Carleton"," 38","Nepean",16,18,43,90,0,167,291
35052,"Nepean--Carleton/Nepean--Carleton"," 39","Nepean",22,34,63,90,1,210,435
35052,"Nepean--Carleton/Nepean--Carleton"," 40","Nepean",18,12,58,77,0,165,327
35052,"Nepean--Carleton/Nepean--Carleton"," 41","Nepean",24,20,74,117,0,235,466
35052,"Nepean--Carleton/Nepean--Carleton"," 42","Nepean",5,11,37,81,0,134,273
35052,"Nepean--Carleton/Nepean--Carleton"," 43","Nepean",45,19,42,65,0,171,319
35052,"Nepean--Carleton/Nepean--Carleton"," 44","Nepean",44,23,60,80,0,207,403
35052,"Nepean--Carleton/Nepean--Carleton"," 45","Nepean",11,15,32,38,0,96,256
35052,"Nepean--Carleton/Nepean--Carleton"," 46","Nepean",43,13,40,67,2,165,403
35052,"Nepean--Carleton/Nepean--Carleton"," 47","Nepean",30,18,68,85,0,201,413
35052,"Nepean--Carleton/Nepean--Carleton"," 48","Nepean",29,20,43,136,0,228,369
35052,"Nepean--Carleton/Nepean--Carleton"," 49","Nepean",16,24,45,141,2,228,355
35052,"Nepean--Carleton/Nepean--Carleton"," 50","Nepean",7,26,58,167,1,259,406
35052,"Nepean--Carleton/Nepean--Carleton"," 51","Nepean",17,18,24,63,1,123,327
35052,"Nepean--Carleton/Nepean--Carleton"," 52","Nepean",28,17,80,85,2,212,405
35052,"Nepean--Carleton/Nepean--Carleton"," 53","Nepean",33,25,79,93,1,231,417
35052,"Nepean--Carleton/Nepean--Carleton"," 54","Nepean",23,24,50,114,0,211,377
35052,"Nepean--Carleton/Nepean--Carleton"," 55","Nepean",38,25,62,117,2,244,423
35052,"Nepean--Carleton/Nepean--Carleton"," 56","Nepean",22,7,52,73,2,156,352
35052,"Nepean--Carleton/Nepean--Carleton"," 57","Nepean",32,14,55,70,1,172,334
35052,"Nepean--Carleton/Nepean--Carleton"," 58","Nepean",21,17,106,109,3,256,446
35052,"Nepean--Carleton/Nepean--Carleton"," 59","Nepean",21,26,45,102,0,194,298
35052,"Nepean--Carleton/Nepean--Carleton"," 60","Nepean",39,28,51,67,2,187,339
35052,"Nepean--Carleton/Nepean--Carleton"," 61","Nepean",18,17,34,106,0,175,314
35052,"Nepean--Carleton/Nepean--Carleton"," 62","Nepean",21,55,77,181,2,336,526
35052,"Nepean--Carleton/Nepean--Carleton"," 63","Nepean",Void/Supprimé,,,,,,
35052,"Nepean--Carleton/Nepean--Carleton"," 64","Nepean",25,32,75,144,1,277,396
35052,"Nepean--Carleton/Nepean--Carleton"," 65","Nepean",15,33,88,153,1,290,413
35052,"Nepean--Carleton/Nepean--Carleton"," 66","Nepean",15,38,75,136,1,265,410
35052,"Nepean--Carleton/Nepean--Carleton"," 67","Nepean",11,33,121,100,1,266,430
35052,"Nepean--Carleton/Nepean--Carleton"," 68","Nepean",Merged with No. 68-1/Fusionné avec le nº 68-1,,,,,,168
35052,"Nepean--Carleton/Nepean--Carleton"," 68-1","Nepean",19,11,59,131,4,224,238
35052,"Nepean--Carleton/Nepean--Carleton"," 69A","Nepean",26,21,84,89,1,221,430
35052,"Nepean--Carleton/Nepean--Carleton"," 69B","Nepean",29,18,86,103,1,237,433
35052,"Nepean--Carleton/Nepean--Carleton"," 69-1","Nepean",12,11,59,91,1,174,313
35052,"Nepean--Carleton/Nepean--Carleton"," 69-2A","Nepean",22,31,78,115,1,247,458
35052,"Nepean--Carleton/Nepean--Carleton"," 69-2B","Nepean",26,25,74,107,1,233,387
35052,"Nepean--Carleton/Nepean--Carleton"," 69-3","Nepean",13,14,62,74,2,165,323
35052,"Nepean--Carleton/Nepean--Carleton"," 70","Nepean",29,12,96,105,0,242,484
35052,"Nepean--Carleton/Nepean--Carleton"," 70-1","Nepean",72,23,115,120,0,330,631
35052,"Nepean--Carleton/Nepean--Carleton"," 71","Nepean",33,15,132,149,0,329,653
35052,"Nepean--Carleton/Nepean--Carleton"," 71-1A","Nepean",27,15,100,89,1,232,346
35052,"Nepean--Carleton/Nepean--Carleton"," 71-1B","Nepean",12,10,54,65,0,141,275
35052,"Nepean--Carleton/Nepean--Carleton"," 71-2","Nepean",Merged with No. 71-1A/Fusionné avec le nº 71-1A,,,,,,114
35052,"Nepean--Carleton/Nepean--Carleton"," 72","Nepean",31,23,73,128,0,255,407
35052,"Nepean--Carleton/Nepean--Carleton"," 73","Nepean",22,27,54,141,3,247,422
35052,"Nepean--Carleton/Nepean--Carleton"," 74","Nepean",33,33,64,143,1,274,485
35052,"Nepean--Carleton/Nepean--Carleton"," 75","Nepean",30,20,45,83,1,179,340
35052,"Nepean--Carleton/Nepean--Carleton"," 76","Nepean",Void/Supprimé,,,,,,
35052,"Nepean--Carleton/Nepean--Carleton"," 77","Nepean",31,24,53,164,0,272,470
35052,"Nepean--Carleton/Nepean--Carleton"," 78","Nepean",19,22,85,147,1,274,462
35052,"Nepean--Carleton/Nepean--Carleton"," 79","Nepean",29,22,61,132,0,244,444
35052,"Nepean--Carleton/Nepean--Carleton"," 80","Nepean",39,19,49,175,1,283,454
35052,"Nepean--Carleton/Nepean--Carleton"," 81","Nepean",27,24,68,155,2,276,445
35052,"Nepean--Carleton/Nepean--Carleton"," 82","Nepean",42,28,110,175,1,356,589
35052,"Nepean--Carleton/Nepean--Carleton"," 83","Nepean",39,33,100,141,3,316,491
35052,"Nepean--Carleton/Nepean--Carleton"," 84","Nepean",64,41,84,171,2,362,584
35052,"Nepean--Carleton/Nepean--Carleton"," 85A","Nepean",29,18,62,111,0,220,510
35052,"Nepean--Carleton/Nepean--Carleton"," 85B","Nepean",22,19,80,105,0,226,478
35052,"Nepean--Carleton/Nepean--Carleton"," 85-1","Nepean",22,32,92,165,0,311,534
35052,"Nepean--Carleton/Nepean--Carleton"," 85-2","Nepean",38,24,89,128,1,280,489
35052,"Nepean--Carleton/Nepean--Carleton"," 86","Nepean",29,31,89,179,0,328,545
35052,"Nepean--Carleton/Nepean--Carleton"," 87","Nepean",14,28,77,129,3,251,422
35052,"Nepean--Carleton/Nepean--Carleton"," 88A","Nepean",25,20,69,104,0,218,368
35052,"Nepean--Carleton/Nepean--Carleton"," 88B","Nepean",26,22,55,88,1,192,304
35052,"Nepean--Carleton/Nepean--Carleton"," 88-1","Nepean",34,20,94,159,0,307,521
35052,"Nepean--Carleton/Nepean--Carleton"," 89","Nepean",41,45,127,172,0,385,603
35052,"Nepean--Carleton/Nepean--Carleton"," 89-1","Nepean",35,22,80,175,2,314,458
35052,"Nepean--Carleton/Nepean--Carleton"," 90","Nepean",32,16,78,98,0,224,368
35052,"Nepean--Carleton/Nepean--Carleton"," 91","Nepean",21,14,80,121,0,236,391
35052,"Nepean--Carleton/Nepean--Carleton"," 91-1","Nepean",7,13,66,107,0,193,310
35052,"Nepean--Carleton/Nepean--Carleton"," 92","Nepean",36,32,123,189,0,380,622
35052,"Nepean--Carleton/Nepean--Carleton"," 93","Nepean",23,26,98,149,0,296,484
35052,"Nepean--Carleton/Nepean--Carleton"," 93-1","Nepean",26,17,65,148,0,256,413
35052,"Nepean--Carleton/Nepean--Carleton"," 93-2","Nepean",32,35,122,173,2,364,557
35052,"Nepean--Carleton/Nepean--Carleton"," 94","Nepean",33,34,79,150,2,298,586
35052,"Nepean--Carleton/Nepean--Carleton"," 95","Nepean",23,27,76,126,2,254,366
35052,"Nepean--Carleton/Nepean--Carleton"," 96","Nepean",39,35,91,176,2,343,565
35052,"Nepean--Carleton/Nepean--Carleton"," 97","Nepean",24,32,98,149,1,304,477
35052,"Nepean--Carleton/Nepean--Carleton"," 98","Nepean",36,43,73,167,0,319,531
35052,"Nepean--Carleton/Nepean--Carleton"," 99","Nepean",26,25,38,103,0,192,349
35052,"Nepean--Carleton/Nepean--Carleton"," 100","Nepean",14,14,59,97,0,184,322
35052,"Nepean--Carleton/Nepean--Carleton"," 101","Nepean",32,25,138,156,1,352,616
35052,"Nepean--Carleton/Nepean--Carleton"," 102","Nepean",43,33,70,162,1,309,478
35052,"Nepean--Carleton/Nepean--Carleton"," 103","Nepean",32,34,55,132,0,253,413
35052,"Nepean--Carleton/Nepean--Carleton"," 104","Nepean",17,22,45,135,0,219,395
35052,"Nepean--Carleton/Nepean--Carleton"," 105","Nepean",13,38,60,124,0,235,385
35052,"Nepean--Carleton/Nepean--Carleton"," 106","Nepean",29,44,57,123,1,254,431
35052,"Nepean--Carleton/Nepean--Carleton"," 107","Nepean",25,44,47,120,1,237,393
35052,"Nepean--Carleton/Nepean--Carleton"," 108","Nepean",21,34,41,142,0,238,400
35052,"Nepean--Carleton/Nepean--Carleton"," 109","Nepean",27,16,30,100,2,175,319
35052,"Nepean--Carleton/Nepean--Carleton"," 110","Nepean",25,22,48,98,2,195,394
35052,"Nepean--Carleton/Nepean--Carleton"," 111","Nepean",39,32,43,109,2,225,401
35052,"Nepean--Carleton/Nepean--Carleton"," 112","Nepean",40,25,51,101,2,219,438
35052,"Nepean--Carleton/Nepean--Carleton"," 113","Nepean",35,30,53,105,0,223,407
35052,"Nepean--Carleton/Nepean--Carleton"," 114","Nepean",42,51,58,132,1,284,492
35052,"Nepean--Carleton/Nepean--Carleton"," 115","Nepean",30,30,34,99,0,193,357
35052,"Nepean--Carleton/Nepean--Carleton"," 116","Nepean",32,32,41,146,1,252,411
35052,"Nepean--Carleton/Nepean--Carleton"," 117","Nepean",39,30,41,113,2,225,417
35052,"Nepean--Carleton/Nepean--Carleton"," 118","Nepean",43,34,28,168,1,274,451
35052,"Nepean--Carleton/Nepean--Carleton"," 119","Nepean",40,43,108,175,1,367,518
35052,"Nepean--Carleton/Nepean--Carleton"," 120","Nepean",15,34,45,126,1,221,332
35052,"Nepean--Carleton/Nepean--Carleton"," 121","Nepean",18,26,53,141,0,238,362
35052,"Nepean--Carleton/Nepean--Carleton"," 122","Nepean",40,34,58,135,0,267,471
35052,"Nepean--Carleton/Nepean--Carleton"," 123","Nepean",41,40,84,196,1,362,536
35052,"Nepean--Carleton/Nepean--Carleton"," 124","Nepean",21,27,25,85,0,158,253
35052,"Nepean--Carleton/Nepean--Carleton"," 125","Nepean",26,38,68,171,0,303,441
35052,"Nepean--Carleton/Nepean--Carleton"," 126","Nepean",21,32,84,130,1,268,408
35052,"Nepean--Carleton/Nepean--Carleton"," 127","Nepean",36,29,50,111,1,227,336
35052,"Nepean--Carleton/Nepean--Carleton"," 128","Nepean",34,32,95,135,0,296,468
35052,"Nepean--Carleton/Nepean--Carleton"," 129","Nepean",21,25,59,108,4,217,363
35052,"Nepean--Carleton/Nepean--Carleton"," 130","Nepean",30,33,47,85,0,195,374
35052,"Nepean--Carleton/Nepean--Carleton"," 131","Nepean",34,36,54,149,2,275,449
35052,"Nepean--Carleton/Nepean--Carleton"," 132","Nepean",39,13,30,60,0,142,246
35052,"Nepean--Carleton/Nepean--Carleton"," 133","Nepean",43,28,41,118,2,232,391
35052,"Nepean--Carleton/Nepean--Carleton"," 134","Nepean",18,9,17,152,0,196,330
35052,"Nepean--Carleton/Nepean--Carleton"," 134-1","Nepean",37,18,76,150,0,281,465
35052,"Nepean--Carleton/Nepean--Carleton"," 135A","Nepean",39,47,118,202,1,407,693
35052,"Nepean--Carleton/Nepean--Carleton"," 135B","Nepean",27,43,90,247,0,407,651
35052,"Nepean--Carleton/Nepean--Carleton"," 135-1","Nepean",25,50,89,190,0,354,628
35052,"Nepean--Carleton/Nepean--Carleton"," 136","Nepean",19,33,38,97,1,188,340
35052,"Nepean--Carleton/Nepean--Carleton"," 136-1A","Nepean",25,20,89,113,3,250,492
