Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,Dave Bylsma,Heather Carter,Sid Frere,Dave Heatley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 1","Glanbrook",137,4,89,20,39,2,291,551
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 2A","Glanbrook",164,0,86,6,45,1,302,366
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 2B","Glanbrook",149,6,72,6,29,0,262,311
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 3A","Glanbrook",131,2,45,6,34,2,220,324
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 3B","Glanbrook",157,1,75,10,36,1,280,397
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 3C","Glanbrook",157,3,67,9,45,1,282,388
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 4","Glanbrook",49,0,17,7,20,0,93,196
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 5","Glanbrook",123,2,89,9,52,1,276,515
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 6","Glanbrook",104,3,61,17,47,0,232,448
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 6-1","Glanbrook",165,1,76,15,65,0,322,460
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 7","Glanbrook",123,2,42,16,54,0,237,403
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 8","Glanbrook",58,3,27,12,20,0,120,262
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 9","Glanbrook",45,2,20,18,29,0,114,258
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 10","Glanbrook",71,5,18,3,27,1,125,245
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 11","Glanbrook",87,1,23,9,31,1,152,373
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 12","Glanbrook",104,1,40,16,35,0,196,369
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 13","Glanbrook",73,6,32,9,32,0,152,340
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 14","Glanbrook",79,8,26,13,26,0,152,357
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 15","Glanbrook",79,6,27,12,30,1,155,302
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 16","Glanbrook",104,4,34,14,32,1,189,366
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 16-1A","Glanbrook",56,2,43,6,36,0,143,339
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 16-1B","Glanbrook",86,0,57,4,44,0,191,453
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 17","Glanbrook",123,4,57,23,44,1,252,530
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 17-1","Glanbrook",94,5,39,16,67,0,221,490
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 18","Glanbrook",88,6,30,16,23,0,163,318
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 19","Glanbrook",145,6,53,21,56,0,281,530
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 19-1A","Glanbrook",69,1,31,9,57,1,168,319
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 19-1B","Glanbrook",104,5,51,19,50,0,229,464
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 19-1C","Glanbrook",109,1,41,11,45,0,207,397
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 20A","Glanbrook",90,6,38,10,18,1,163,323
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 20B","Glanbrook",84,0,52,11,42,1,190,348
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 21","Glanbrook",104,2,36,18,38,2,200,384
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 22","Glanbrook",119,1,55,27,41,0,243,420
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 22-1","Glanbrook",120,1,41,10,30,0,202,334
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 23","Glanbrook",105,3,36,14,44,0,202,347
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 24","Glanbrook",90,4,16,14,26,0,150,287
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 25","Glanbrook",119,9,35,15,37,2,217,419
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 26","Glanbrook",125,3,30,24,31,0,213,427
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 27","Hamilton ",65,2,35,3,19,0,124,251
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 28","Stoney Creek",94,5,58,8,35,0,200,452
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 28-1","Stoney Creek",65,6,47,21,49,0,188,350
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 29","Stoney Creek",92,4,41,4,40,0,181,385
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 30","Stoney Creek",57,0,61,11,18,0,147,297
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 31A","Stoney Creek",79,3,52,9,44,0,187,357
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 31B","Stoney Creek",68,1,41,8,44,0,162,299
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 32A","Stoney Creek",85,3,61,9,34,0,192,347
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 32B","Stoney Creek",75,2,61,8,30,0,176,291
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 33","Stoney Creek",101,1,87,12,60,2,263,450
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 34","Stoney Creek",144,0,95,21,49,1,310,502
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 35","Stoney Creek",115,1,73,11,39,0,239,443
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 36","Stoney Creek",72,1,31,14,69,0,187,401
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 37A","Stoney Creek",80,1,44,9,49,0,183,343
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 37B","Stoney Creek",48,0,45,9,23,1,126,291
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 38","Stoney Creek",118,3,60,10,32,3,226,395
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 38-1","Stoney Creek",79,2,43,8,31,3,166,311
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 38-2","Stoney Creek",91,2,92,11,33,1,230,458
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 39","Stoney Creek",121,5,71,9,42,1,249,504
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 40","Stoney Creek",124,3,90,25,74,0,316,536
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 41","Stoney Creek",107,6,62,12,60,3,250,493
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 42","Stoney Creek",101,0,71,16,34,0,222,356
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 43","Stoney Creek",85,2,54,17,65,2,225,428
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 44","Stoney Creek",119,3,78,20,60,2,282,504
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 45","Stoney Creek",107,1,51,16,75,1,251,433
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 46","Stoney Creek",47,1,28,7,41,1,125,312
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 47","Stoney Creek",100,2,55,17,74,1,249,443
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 48","Stoney Creek",86,4,51,21,66,1,229,431
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 49","Stoney Creek",71,3,50,7,28,2,161,356
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 50","Stoney Creek",42,2,37,5,38,4,128,221
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 50-1","Stoney Creek",83,2,82,18,43,2,230,481
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 51","Stoney Creek",78,2,48,8,49,3,188,385
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 52","Stoney Creek",46,0,31,10,47,0,134,392
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 53","Stoney Creek",73,7,63,15,60,3,221,400
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 54","Stoney Creek",96,0,54,13,35,1,199,399
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 55","Stoney Creek",90,3,58,11,47,0,209,389
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 56","Stoney Creek",98,3,65,19,29,1,215,400
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 57","Stoney Creek",Void/Supprimé,,,,,,,
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 58","West Lincoln",122,4,42,28,24,1,221,431
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 59","West Lincoln",111,13,29,9,26,0,188,332
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 60","Fulton",107,5,35,12,19,3,181,295
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 61","West Lincoln",124,9,30,9,39,1,212,354
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 61-1","West Lincoln",110,8,18,16,16,2,170,366
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 62","West Lincoln",82,11,21,7,10,0,131,254
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 63","West Lincoln",72,6,21,22,25,0,146,310
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 63-1","West Lincoln",66,7,34,13,27,0,147,318
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 64A","West Lincoln",104,2,11,8,21,0,146,286
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 64B","West Lincoln",94,7,23,10,36,0,170,312
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 65","Smithville",105,10,34,16,23,0,188,330
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 66","West Lincoln",157,10,41,7,27,0,242,529
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 67","West Lincoln",84,5,13,11,17,0,130,257
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 68","West Lincoln",138,8,23,20,45,1,235,414
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 69","West Lincoln",128,6,35,16,31,1,217,394
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 70","West Lincoln",115,2,30,13,27,0,187,332
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 71","Caistorville",144,0,44,15,33,0,236,377
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 72","West Lincoln",134,12,45,18,38,2,249,435
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 73","Grimsby",90,6,57,23,50,0,226,432
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 74","Grimsby",113,2,70,9,32,1,227,379
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 75","Grimsby",99,2,44,15,37,1,198,335
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 76","Grimsby",111,1,33,13,23,1,182,337
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 77","Grimsby",91,6,62,14,27,3,203,338
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 78","Grimsby",84,4,37,20,46,0,191,335
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 79","Grimsby",91,1,58,21,53,1,225,392
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 80","Grimsby",79,2,50,8,40,0,179,409
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 81","Grimsby",106,2,45,26,41,0,220,378
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 82","Grimsby",106,5,49,17,40,1,218,364
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 83","Grimsby",157,3,80,16,36,1,293,553
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 84","Grimsby",112,7,61,16,38,1,235,449
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 84-1","Grimsby",144,3,74,28,31,1,281,501
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 85","Grimsby",82,3,55,15,20,0,175,293
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 86","Grimsby",76,2,44,26,37,0,185,387
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 87","Grimsby",88,5,86,12,30,1,222,434
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 88","Grimsby",114,3,55,19,41,0,232,420
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 89","Grimsby",144,0,93,24,43,1,305,590
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 90","Grimsby",139,5,37,15,35,0,231,460
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 91","Grimsby",103,9,47,15,22,0,196,355
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 92","Grimsby",134,3,70,32,25,1,265,471
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 93","Grimsby",162,1,79,21,40,0,303,436
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 94","Grimsby",147,2,64,23,28,0,264,483
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 95","Grimsby",63,0,27,12,15,0,117,222
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 96","Grimsby",96,6,55,47,43,1,248,447
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 97","Grimsby",66,6,39,16,34,3,164,290
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 98","Grimsby",106,4,42,21,41,3,217,379
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 99","Grimsby",100,3,72,22,25,1,223,381
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 100","Grimsby",140,3,48,17,39,1,248,435
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 101A","Grimsby",104,11,51,24,27,0,217,356
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 101B","Grimsby",97,3,53,16,19,1,189,288
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 102","Grimsby",134,2,50,15,24,2,227,422
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 103","Grimsby",155,3,84,28,49,0,319,578
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 104","Grimsby",97,4,66,25,27,0,219,398
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 105","Grimsby",93,3,52,15,36,1,200,322
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 106","Grimsby",108,3,88,17,24,1,241,412
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 107","Grimsby",182,0,83,32,25,1,323,532
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 108","Grimsby",127,3,82,13,19,0,244,411
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 109","Grimsby",148,2,67,10,25,0,252,396
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 110A","Grimsby",102,2,50,22,31,1,208,319
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 110B","Grimsby",81,0,35,20,12,0,148,253
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 111","Grimsby",196,27,55,16,15,3,312,502
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 111-1","Grimsby",104,1,90,27,12,0,234,385
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 112","Grimsby",126,6,44,20,28,0,224,398
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 113","Grimsby",107,3,52,19,14,0,195,320
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 114","Lincoln",107,7,55,23,19,0,211,407
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 115","Lincoln",135,4,55,21,21,0,236,423
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 116","Lincoln",114,4,41,19,13,0,191,340
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 117","Lincoln",63,3,47,14,14,0,141,248
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 117-1","Lincoln",128,1,79,23,31,0,262,425
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 118","Lincoln",148,7,74,28,37,2,296,471
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 119","Lincoln",38,4,18,10,23,1,94,188
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 119-1","Lincoln",158,3,72,20,37,1,291,477
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 120","Lincoln",146,3,50,25,23,2,249,448
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 121","Lincoln",141,3,76,20,37,0,277,474
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 122","Lincoln",134,16,44,8,51,2,255,445
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 122-1","Lincoln",165,3,52,20,36,3,279,488
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 123A","Lincoln",76,4,44,18,37,1,180,383
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 123B","Lincoln",68,4,24,9,21,0,126,273
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 124","Lincoln",82,13,26,15,36,0,172,338
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 124-1","Lincoln",78,3,35,21,33,0,170,318
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 125","Lincoln",91,9,27,18,37,1,183,359
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 126","Lincoln",110,8,54,22,34,1,229,419
35055,"Niagara West--Glanbrook/Niagara-Ouest--Glanbrook"," 127A","Lincoln",163,1,41,19,19,0,243,416
